,date_0days,cases_0days,deaths_0days,date_60days,cases_60days,deaths_60days,fips,icu_beds,kaiser_total_population,kaiser_60plus_population,commuting_within,commuting_out,commuting_in,density,pop_2019
0,2020-01-21,1,0,2020-03-21,446,9,53061,72,771904,143234,233454,130657,54070,393.99641884,822083
1,2020-01-24,1,0,2020-03-24,1194,12,17031,1606,5238541,1005046,2095418,317505,489235,5450.3843595,5150233
2,2020-01-25,1,0,2020-03-25,187,1,6059,651,3155816,598030,1242712,235247,317959,4005.6166459,3175692
3,2020-01-26,1,0,2020-03-26,1216,21,6037,2126,10105722,1800341,4182123,334665,483659,2473.5073498,10039107
4,2020-01-26,1,0,2020-03-26,299,4,4013,1004,4155501,808534,1752902,40810,79525,487.50954904,4485414
5,2020-01-31,1,0,2020-03-31,890,31,6085,313,1911226,338720,774537,118222,240720,1493.2046662,1927852
6,2020-02-01,1,0,2020-04-01,1624,15,25025,447,780685,125537,270497,123140,371770,13801.32086,803907
7,2020-02-02,2,0,2020-04-02,450,7,6075,337,864263,179193,353484,114866,307615,18795.223512,881549
8,2020-02-05,1,0,2020-04-05,269,8,55025,39,522837,93985,266491,15371,52187,456.91738082,546695
9,2020-02-10,1,0,2020-04-10,1696,44,6073,570,3283665,604412,1461512,43025,72833,792.91438376,3338330
10,2020-02-12,1,0,2020-04-12,734,27,48029,648,1892004,307269,783313,45372,89600,1615.3697451,2003554
11,2020-02-17,10,0,2020-04-17,287,8,31055,187,549706,95539,236643,36735,89375,1750.3315009,571327
12,2020-02-20,1,0,2020-04-20,52,0,6023,32,135490,31200,55393,1146,1575,37.99127697,135558
13,2020-02-21,1,0,2020-04-21,954,35,6067,396,1495400,279005,500893,115932,120790,1607.9350016,1552058
14,2020-02-24,4,0,2020-04-24,330,19,53063,113,490764,105082,199020,10084,18916,296.38858142,522798
15,2020-02-24,1,0,2020-04-24,199,4,6095,92,434981,90069,109059,75812,31582,544.70103033,447643
16,2020-02-25,1,0,2020-04-25,2051,25,49035,282,1106700,164497,490467,38273,116130,1563.7909353,1160437
17,2020-02-26,1,0,2020-04-26,220,2,6097,82,500943,124291,197589,37428,17940,313.74622239,494336
18,2020-02-26,1,0,2020-04-26,61,2,6055,32,141005,33686,51743,15258,22730,184.08552018,137744
19,2020-02-26,1,0,2020-04-26,224,12,6041,66,260814,72684,81726,43886,46516,497.3152999,258826
20,2020-02-28,1,0,2020-04-28,474,11,41067,85,572071,100693,188061,83258,84068,830.61446109,601592
21,2020-02-28,1,0,2020-04-28,6056,429,53033,450,2118119,386511,977642,81556,247854,1065.0027467,2252782
22,2020-03-01,1,0,2020-04-30,580,55,12081,90,363542,120595,96829,41125,19780,542.27582552,403253
23,2020-03-01,1,0,2020-04-30,1124,23,12057,432,1351087,257269,531016,74071,131673,1440.3883066,1471968
24,2020-03-01,1,0,2020-04-30,1624,63,6001,282,1629615,300276,462479,256588,237262,2266.8038359,1671329
25,2020-03-02,1,0,2020-05-01,6065,522,25021,59,694389,155147,154853,196195,175598,1784.3023037,706775
26,2020-03-02,1,0,2020-05-01,51,1,33009,54,89280,23734,35656,8356,20420,52.607970005,89886
27,2020-03-02,1,0,2020-05-01,86,0,53071,28,59862,13443,22801,2866,6521,47.841294958,60760
28,2020-03-02,2,0,2020-05-01,2880,122,13121,538,1010420,159840,341073,123502,496827,2019.9144194,1063937
29,2020-03-02,1,0,2020-05-01,150,8,6061,70,374985,92327,99291,60392,56930,283.09018519,398329
30,2020-03-02,1,0,2020-05-01,1197,52,6081,131,763450,161619,218300,160184,162092,1708.6818505,766573
31,2020-03-03,1,0,2020-05-02,870,19,37183,175,1023811,157546,403532,88562,113096,1331.7237897,1111761
32,2020-03-03,1,0,2020-05-02,934,28,6013,163,1123678,231404,283769,212044,88933,1608.6423209,1153526
33,2020-03-04,1,0,2020-05-03,16185,1210,34003,147,937920,211672,250231,199786,177837,4004.5571387,932202
34,2020-03-04,9,0,2020-05-03,29884,1203,36119,179,975321,214443,282569,171896,152533,2246.9377106,967506
35,2020-03-04,1,0,2020-05-03,1183,28,48157,128,711421,107897,112952,196726,57252,941.89227299,811688
36,2020-03-04,1,0,2020-05-03,123,6,53007,20,75138,18408,27608,4605,9594,26.427687744,77200
37,2020-03-05,1,0,2020-05-04,36965,2221,36059,461,1363069,318040,377465,276223,193326,4767.2768183,1356924
38,2020-03-05,1,0,2020-05-04,988,35,32031,331,445551,95558,189113,15056,14255,74.652791386,471519
39,2020-03-05,1,0,2020-05-04,4411,223,32003,535,2112436,405618,896544,15993,21468,287.22956575,2266715
40,2020-03-05,4,0,2020-05-04,6967,140,48201,918,4525519,651673,1886183,159527,461890,2762.5492191,4713325
41,2020-03-05,1,0,2020-05-04,431,9,47187,28,212161,37356,57299,38360,58838,409.03186847,238412
42,2020-03-05,1,0,2020-05-04,15757,997,25017,216,1582857,319971,548665,268960,337744,1970.6497636,1611699
43,2020-03-05,3,0,2020-05-04,5411,301,24031,150,1039198,209461,318911,213804,179278,2130.9408448,1050688
44,2020-03-05,1,0,2020-05-04,158,8,12113,16,166778,34353,33660,35923,7801,182.05920707,184313
45,2020-03-05,1,0,2020-05-04,1431,85,8059,94,564029,124374,140839,149058,96322,762.59696552,582881
46,2020-03-05,1,0,2020-05-04,531,23,8035,54,320940,50139,67951,89579,47964,417.91548841,351154
47,2020-03-06,1,0,2020-05-05,645,36,40143,379,637123,120771,274047,23216,85413,1142.9119618,651552
48,2020-03-06,1,0,2020-05-05,403,11,37037,4,68364,20511,11803,17017,5570,109.23828497,74470
49,2020-03-06,2,0,2020-05-05,12144,383,36087,39,325027,66379,84101,58448,31002,1878.3505416,325789
50,2020-03-06,1,0,2020-05-05,4251,180,34007,199,510996,104370,120977,114556,75864,2288.1000494,506471
51,2020-03-06,1,0,2020-05-05,4326,320,42045,100,563384,123831,138021,124591,75980,3083.2498462,566747
52,2020-03-06,1,0,2020-05-05,109,5,42127,8,51656,15447,11696,8969,5510,70.784131107,51361
53,2020-03-06,1,0,2020-05-05,368,22,53011,90,457474,92850,129918,67262,21720,776.85533336,488241
54,2020-03-06,1,0,2020-05-05,463,8,45019,221,387847,82073,160740,21435,81036,448.18214778,411406
55,2020-03-06,1,0,2020-05-05,583,37,27123,135,537893,102817,143064,118682,180547,3614.7495441,550321
56,2020-03-06,1,0,2020-05-05,1558,54,53053,189,845193,157501,263500,109312,63098,542.53805418,904980
57,2020-03-06,1,0,2020-05-05,28,0,53031,6,30524,13626,9318,1783,1326,17.863595903,32221
58,2020-03-06,1,0,2020-05-05,302,2,49011,22,334977,45623,79324,68831,34746,1188.6425946,355481
59,2020-03-06,1,0,2020-05-05,247,10,45055,10,63734,15574,13630,12433,5901,91.590862268,66551
60,2020-03-06,1,0,2020-05-05,85,0,49053,32,155577,40002,53020,3587,2954,73.145411344,177556
61,2020-03-06,1,0,2020-05-05,478,15,4021,22,405537,100086,66064,65672,17022,86.243934534,462789
62,2020-03-06,2,0,2020-05-05,3546,188,8031,227,678467,109403,210947,132233,280068,4743.9552682,727211
63,2020-03-06,1,0,2020-05-05,172,19,6113,14,212605,34981,57362,32756,46807,217.29866745,220500
64,2020-03-06,1,0,2020-05-05,298,9,21067,260,315109,55235,130876,23461,53687,1139.3160414,323152
65,2020-03-06,1,0,2020-05-05,6469,398,18097,526,939964,160942,349286,79876,205245,2432.3168245,964582
66,2020-03-06,1,0,2020-05-05,404,11,15003,148,990060,218287,481909,3507,4773,1622.7267286,974563
67,2020-03-06,1,0,2020-05-05,61,0,13233,0,41444,8705,9288,6548,3535,137.31381163,42613
68,2020-03-06,1,1,2020-05-05,1159,49,12071,141,700165,239488,225044,33214,18353,986.07766533,770577
69,2020-03-06,2,0,2020-05-05,5492,215,12011,587,1890416,406732,668801,204778,129438,1623.499921,1952778
70,2020-03-06,1,0,2020-05-05,1028,78,8041,95,674826,116223,294394,17796,17830,338.71841276,720403
71,2020-03-06,1,0,2020-05-05,547,7,8037,5,53726,8107,26068,5064,3654,32.726608698,55127
72,2020-03-07,1,0,2020-05-06,39,0,41035,0,66018,18095,23764,1658,911,11.482571274,68238
73,2020-03-07,2,0,2020-05-06,371,3,36091,19,226632,52232,61985,51176,24432,283.78298772,229863
74,2020-03-07,2,0,2020-05-06,49,0,41029,50,212070,60113,81318,4002,4806,79.383302602,220944
75,2020-03-07,1,0,2020-05-06,903,43,33015,43,302479,69798,88226,74176,58826,445.46308918,309769
76,2020-03-07,1,0,2020-05-06,3539,204,29189,468,999539,235062,343934,139112,234558,1959.2565868,994205
77,2020-03-07,1,0,2020-05-06,15,0,53037,6,43726,9312,16359,2949,1288,20.865716698,47935
78,2020-03-07,1,0,2020-05-06,4834,201,51059,178,1142004,205097,324518,278265,289947,2934.8116361,1147532
79,2020-03-07,1,0,2020-05-06,53,1,50003,10,36054,10413,14897,1709,4494,52.548430542,35470
80,2020-03-07,2,0,2020-05-06,4827,471,42091,215,818677,190034,261962,148959,213123,1720.4403096,830915
81,2020-03-07,1,0,2020-05-06,138,2,6087,22,273263,57232,99105,29040,18034,613.82863485,273213
82,2020-03-07,1,0,2020-05-06,4672,190,6065,351,2355002,437180,622846,275801,104732,342.703209,2470546
83,2020-03-07,1,0,2020-05-06,55,2,6039,10,154440,28392,30551,13657,13802,73.62298192,157327
84,2020-03-07,1,0,2020-05-06,777,9,6019,164,971616,157757,328935,31408,32321,167.6799017,999101
85,2020-03-07,1,0,2020-05-06,461,37,25003,24,127751,37339,57613,4495,5606,134.8010402,124944
86,2020-03-07,1,0,2020-05-06,521,45,20091,110,578797,110038,207529,89627,110002,1271.9107791,602401
87,2020-03-07,1,0,2020-05-06,2222,81,13135,82,889954,122430,235117,165900,119359,2174.1752753,936250
88,2020-03-07,1,0,2020-05-06,1998,107,13067,119,739072,120689,206626,154218,133345,2237.0896015,760141
89,2020-03-07,1,0,2020-05-06,526,27,12127,148,518660,160876,156522,39807,18643,502.41804154,553284
90,2020-03-07,1,0,2020-05-06,161,5,12091,57,197591,41694,81035,10334,19014,226.54514971,210738
91,2020-03-07,1,0,2020-05-06,294,29,12015,51,173236,81236,39077,16049,9928,277.35736469,188910
93,2020-03-08,1,0,2020-05-07,1416,27,36111,25,180129,45203,55761,27571,12261,157.94992078,177573
94,2020-03-08,1,0,2020-05-07,613,21,41047,68,330453,68700,107484,27187,33410,294.62141393,347818
95,2020-03-08,1,0,2020-05-07,24,0,41019,32,107576,35360,35686,2827,2002,22.038774258,110980
96,2020-03-08,1,0,2020-05-07,35892,1599,36103,281,1497595,326104,548500,172968,85628,1619.4232899,1476601
97,2020-03-08,1,0,2020-05-07,14133,703,34031,97,510563,98279,104794,120448,79428,2697.8238848,501826
98,2020-03-08,1,0,2020-05-07,58,0,27019,25,98799,15454,20578,30997,19578,296.69689409,105089
99,2020-03-08,1,0,2020-05-07,7197,385,25027,169,818249,170081,280406,114917,63512,549.84556659,830622
100,2020-03-08,1,0,2020-05-07,154,2,53035,20,258903,59433,95235,22252,11747,687.05358709,271473
101,2020-03-08,1,0,2020-05-07,3066,64,47157,277,937847,169553,394448,24184,100530,1227.364354,937166
102,2020-03-08,1,0,2020-05-07,3432,35,47037,614,678322,113356,274809,59608,160867,1378.7692334,694144
103,2020-03-08,1,0,2020-05-07,325,12,45083,39,297732,63159,97703,27260,33712,395.89874684,319785
104,2020-03-08,1,0,2020-05-07,12679,977,9001,173,947328,197334,353280,99708,114321,1509.4086275,943332
105,2020-03-08,1,0,2020-05-07,556,22,24025,19,250132,53295,70291,56384,28274,584.36625333,255441
106,2020-03-08,1,0,2020-05-07,1578,113,21111,366,764378,161771,323606,30982,113202,2014.0227305,766757
107,2020-03-08,1,0,2020-05-07,18,0,21097,6,18630,4370,3644,3541,1274,61.635932237,18886
108,2020-03-08,3,0,2020-05-07,543,6,19103,95,144425,21650,66966,10306,19830,246.56142631,151140
109,2020-03-08,1,0,2020-05-07,910,60,18063,39,158170,28822,30601,45437,27824,418.56402865,170311
110,2020-03-08,1,0,2020-05-07,569,17,13057,15,235896,42210,46339,61677,17233,614.54094882,258773
111,2020-03-09,3,0,2020-05-08,2668,143,39035,680,1257401,297844,502361,63282,197691,2701.4936537,1235072
112,2020-03-09,2,0,2020-05-08,6752,429,34025,152,627551,142622,184953,115632,79987,1321.6980276,618795
113,2020-03-09,1,0,2020-05-08,16520,940,34017,105,679756,109974,146202,186657,130370,14555.938983,672391
114,2020-03-09,1,0,2020-05-08,13917,844,34039,80,557320,106249,119361,141927,114860,5413.6512622,556341
115,2020-03-09,1,0,2020-05-08,12,0,55093,0,41226,8070,7989,14118,3335,74.481945647,42754
117,2020-03-09,1,0,2020-05-08,1198,63,42089,44,167306,37614,45602,28938,16986,279.9324603,170271
118,2020-03-09,1,0,2020-05-08,889,27,48085,195,914075,135322,249848,188848,139962,1229.7687086,1034730
119,2020-03-09,1,0,2020-05-08,3148,177,8005,127,626612,111767,149755,157731,148283,822.83599885,656590
120,2020-03-09,1,0,2020-05-08,31,4,6089,81,178919,47900,62873,4740,5957,47.697443513,180080
121,2020-03-09,1,0,2020-05-08,1520,131,4019,296,1007257,245814,404526,13519,12374,113.97478676,1047279
122,2020-03-09,1,0,2020-05-08,437,19,8069,55,330976,67199,131908,28664,21060,137.4922924,356899
123,2020-03-09,1,0,2020-05-08,8917,339,24033,89,905161,159437,178243,280538,157790,1884.0230157,909327
124,2020-03-09,1,0,2020-05-08,6610,392,22051,215,437038,96599,130310,75933,68478,1462.6262651,432493
125,2020-03-09,1,0,2020-05-08,76,2,19155,29,93287,21265,24991,20897,14359,98.058840781,93206
126,2020-03-09,1,0,2020-05-08,128,15,18113,0,47421,9969,12379,9147,7064,116.20954268,47744
127,2020-03-09,2,0,2020-05-08,2445,69,13089,168,736066,121505,150749,186634,153183,2836.041489,759297
128,2020-03-09,1,0,2020-05-08,190,12,13113,37,110306,25277,22248,26597,22858,588.65191144,114421
129,2020-03-09,1,0,2020-05-08,155,12,13115,65,96471,20941,31895,7241,11865,193.20052674,98498
130,2020-03-10,1,0,2020-05-09,863,53,41051,165,788459,143926,301648,84388,183411,1885.5092324,812855
131,2020-03-10,1,0,2020-05-09,7692,841,26125,409,1241860,273867,411569,182537,260568,1450.2364112,1257584
132,2020-03-10,1,0,2020-05-09,17881,891,42101,528,1569657,287348,473736,152389,257222,11796.782748,1584064
133,2020-03-10,1,0,2020-05-09,17960,2082,26163,586,1763822,362535,503375,177211,236937,2859.4342735,1749343
134,2020-03-10,1,0,2020-05-09,518,29,27003,35,344861,63313,70006,108166,49427,845.85743528,356921
135,2020-03-10,2,0,2020-05-09,3531,194,34005,82,449192,98530,121868,98526,81719,557.17907045,445349
136,2020-03-10,2,0,2020-05-09,1127,30,51107,33,374558,46809,88973,94986,66466,801.79464032,413538
137,2020-03-10,1,0,2020-05-09,397,14,53057,18,121725,31915,40913,10286,12078,74.675423726,129205
138,2020-03-10,1,0,2020-05-09,330,33,53073,24,212738,47353,88867,8039,4827,108.75731788,229247
139,2020-03-10,1,0,2020-05-09,175,2,49057,64,244101,38967,75108,33475,26163,451.5456437,260213
140,2020-03-10,1,0,2020-05-09,21,2,46005,6,18163,4501,8162,939,982,14.660260714,18453
141,2020-03-10,1,0,2020-05-09,5,0,46023,0,9319,2183,3510,276,595,8.4666060845,9292
142,2020-03-10,2,1,2020-05-09,7,1,46035,8,19753,4889,9061,1083,2388,45.393685402,19775
143,2020-03-10,1,0,2020-05-09,2767,29,46099,54,183660,32585,87284,9996,27019,239.37250132,193134
144,2020-03-10,1,0,2020-05-09,54,1,47163,103,156519,44012,45185,19625,28710,383.02309985,158348
145,2020-03-10,2,0,2020-05-09,5619,143,48113,614,2552213,377154,972140,200152,520617,3021.0825913,2635516
146,2020-03-10,1,0,2020-05-09,699,16,48339,97,535187,96577,127445,99131,50804,582.74698473,607391
147,2020-03-10,1,0,2020-05-09,3210,101,48439,409,1983675,306980,707436,204110,196723,2434.4302532,2102515
148,2020-03-10,1,0,2020-05-09,666,19,6111,139,847834,167777,302890,87247,43603,459.16825553,846006
149,2020-03-10,1,0,2020-05-09,173,6,8051,0,16215,2905,8517,337,1083,5.3909343068,17462
150,2020-03-10,1,0,2020-05-09,308,5,12001,210,259865,47766,106996,7691,23134,307.28851819,269043
151,2020-03-10,1,0,2020-05-09,605,28,6077,121,724153,123774,196956,74539,45166,547.38885704,762148
152,2020-03-10,3,0,2020-05-09,734,27,12021,73,356774,132129,123480,14503,23366,192.74608394,384902
153,2020-03-10,1,0,2020-05-09,233,33,18011,8,63013,11259,12310,17626,11381,160.41872841,67843
154,2020-03-10,5,0,2020-05-09,6674,468,22071,111,388182,74618,124891,42962,93799,2302.6374138,390144
155,2020-03-10,1,0,2020-05-09,11211,625,25009,98,775860,173485,239294,137692,81347,1602.0491904,789034
156,2020-03-10,1,0,2020-05-09,8,1,18001,4,35018,7140,10067,4624,4048,105.55976829,35777
157,2020-03-10,1,0,2020-05-09,936,52,17111,33,308043,58774,77236,77129,29243,510.07020571,307774
158,2020-03-10,1,0,2020-05-09,60,1,12089,0,78435,21894,16062,15098,3967,136.62350377,88625
159,2020-03-10,1,0,2020-05-09,2818,88,17089,103,529402,93411,134506,115998,84946,1025.1137169,532403
160,2020-03-10,1,0,2020-05-09,293,9,12101,166,498136,142985,99664,85479,26165,741.97917716,553947
161,2020-03-10,2,0,2020-05-09,848,59,12103,279,949842,293786,359649,57420,69317,3561.2781285,974996
162,2020-03-10,1,0,2020-05-09,17,0,13049,0,12963,2473,2217,2394,506,17.167318689,13392
163,2020-03-11,1,0,2020-05-10,86,0,41017,36,175321,45371,68435,4390,4425,65.512630726,197692
164,2020-03-11,1,0,2020-05-10,27,1,38101,19,69628,11458,35907,2492,4686,33.603256116,67641
165,2020-03-11,1,0,2020-05-10,500,67,39151,128,374273,94437,130386,41942,34866,644.18021868,370606
166,2020-03-11,1,0,2020-05-10,84,5,41053,0,79666,18539,13400,18564,6781,116.18606273,86085
167,2020-03-11,1,0,2020-05-10,85,1,41059,3,76736,15752,26015,5376,4232,24.242337186,77950
168,2020-03-11,2,0,2020-05-10,3966,341,42017,90,626486,151809,177479,137230,84117,1039.4906596,628270
169,2020-03-11,2,0,2020-05-10,102,8,41043,11,121074,29548,32608,15413,11039,56.72720331,129749
170,2020-03-11,1,0,2020-05-10,314,21,28035,48,75835,13870,22139,10322,19347,160.7087323,74897
171,2020-03-11,2,0,2020-05-10,13937,793,34023,185,837288,164627,212671,181765,164948,2668.2428893,825062
172,2020-03-11,1,0,2020-05-10,1073,46,35001,138,674855,140933,285122,20496,49381,584.81475658,679121
173,2020-03-11,1,0,2020-05-10,111,1,35049,22,147514,42681,58308,11301,13493,78.705888768,150358
174,2020-03-11,2,0,2020-05-10,48,2,35053,0,17098,4106,4761,794,661,2.5031646355,16637
175,2020-03-11,1,0,2020-05-10,1822,143,36055,191,748680,166403,331559,21639,53539,1129.2528105,741770
176,2020-03-11,1,0,2020-05-10,179,9,53029,6,80323,24585,23694,11342,2422,408.32643903,85141
177,2020-03-11,2,0,2020-05-10,1368,61,51013,32,229534,32701,46784,95316,143245,9110.2137123,236842
178,2020-03-11,1,0,2020-05-10,123,1,53067,72,269885,60028,87085,33437,20262,402.13160725,290536
179,2020-03-11,2,0,2020-05-10,93,3,55039,15,102082,24000,36669,15246,11107,143.7019072,103403
180,2020-03-11,1,0,2020-05-10,400,23,55133,64,396731,95193,130178,75613,102388,735.27858448,404198
181,2020-03-11,1,0,2020-05-10,16,0,56033,11,29964,8337,13011,1066,607,12.08110855,30485
182,2020-03-11,1,0,2020-05-10,368,9,27109,218,151685,29861,72977,5849,21652,242.17997944,158293
183,2020-03-11,1,0,2020-05-10,432,37,50007,46,160985,31691,80046,7097,21236,305.21506861,163774
184,2020-03-11,1,0,2020-05-10,110,4,45057,20,86544,22468,16927,15821,6978,178.50602283,98012
185,2020-03-11,1,0,2020-05-10,4,0,46009,0,6972,1925,1784,980,385,12.245598379,6901
186,2020-03-11,1,0,2020-05-10,118,0,48183,66,123402,24309,45442,9274,30297,453.37909142,123945
187,2020-03-11,2,0,2020-05-10,501,21,6099,88,535684,92698,155348,47052,29055,368.08392539,550660
188,2020-03-11,9,0,2020-05-10,54,2,8097,4,17747,4417,8594,1361,8014,18.303260404,17767
189,2020-03-11,1,0,2020-05-10,2331,95,10003,119,555036,112051,214222,48971,64703,1310.6490387,558753
190,2020-03-11,1,0,2020-05-10,14006,487,12086,593,2702602,563748,1094476,90005,160166,1430.0879913,2716940
191,2020-03-11,1,0,2020-05-10,234,19,5069,34,71373,15529,23023,4595,6925,76.80457988,66824
192,2020-03-11,1,0,2020-05-10,817,30,18141,74,268613,57385,97400,23338,26119,593.64377524,271826
193,2020-03-11,1,0,2020-05-10,1751,133,22017,107,251069,54633,88858,19047,34494,273.24871047,240204
194,2020-03-11,3,0,2020-05-10,822,89,18081,6,149359,29234,30232,40052,19099,493.58716198,158167
195,2020-03-11,1,0,2020-05-10,3878,191,24005,123,828637,186412,203341,201087,147893,1382.729562,827370
196,2020-03-11,1,0,2020-05-10,222,4,12109,47,226578,57092,52288,42441,20308,440.7050343,264672
197,2020-03-11,1,0,2020-05-10,246,10,18067,13,82457,20461,27973,7102,11957,281.64884456,82544
198,2020-03-11,3,0,2020-05-10,363,31,13015,21,102623,18389,25153,18824,11993,234.76983541,107738
199,2020-03-11,1,0,2020-05-10,5245,173,17097,108,704476,131932,238062,105860,121367,1569.1260633,696535
200,2020-03-11,1,0,2020-05-10,185,4,13185,48,113941,17921,43083,4215,11896,236.15375655,117406
201,2020-03-11,1,0,2020-05-10,340,22,13177,0,29216,4964,2766,10239,2099,84.275042377,29992
202,2020-03-12,1,0,2020-05-11,408,35,39155,42,203341,55450,56050,30651,22006,320.30123638,197974
203,2020-03-12,2,0,2020-05-11,379,5,37067,259,368362,76042,127617,32577,56582,937.43532337,382295
204,2020-03-12,2,0,2020-05-11,2134,63,37119,173,1034290,156489,427208,64533,196508,2120.6952358,1110356
205,2020-03-12,1,0,2020-05-11,209,18,37101,24,186308,33619,38086,41190,12826,264.5772215,209339
206,2020-03-12,1,0,2020-05-11,350,17,37025,25,196716,35521,43300,43571,27845,599.16695849,216453
207,2020-03-12,1,0,2020-05-11,54,2,37133,14,192685,22983,80641,8455,10846,259.73695195,197938
208,2020-03-12,1,0,2020-05-11,268,9,41005,54,399962,94656,88787,92970,60620,223.54826862,418187
209,2020-03-12,1,0,2020-05-11,9599,318,36071,76,378174,70347,113930,57378,32193,473.88006089,384940
210,2020-03-12,1,0,2020-05-11,11,0,31025,0,25513,5904,4419,8507,2071,47.094049154,26248
211,2020-03-12,1,0,2020-05-11,55,2,32510,24,54219,14410,17086,6179,12793,386.53062391,55916
212,2020-03-12,1,0,2020-05-11,15602,1426,34013,267,800401,146732,179720,169949,184721,6336.819561,798975
213,2020-03-12,2,0,2020-05-11,1456,112,36001,120,308580,67673,121668,30876,100266,584.33256541,305506
214,2020-03-12,1,0,2020-05-11,65,0,36025,0,45950,14201,13542,5786,5658,30.597824625,44135
215,2020-03-12,1,0,2020-05-11,3378,106,36027,51,295685,66971,93869,46244,24809,369.78375908,294218
216,2020-03-12,1,0,2020-05-11,81,1,36043,0,62943,16310,14842,13484,3897,43.441185009,61319
217,2020-03-12,1,0,2020-05-11,5876,518,34027,91,498847,110520,146538,106385,142549,1067.0035589,491845
218,2020-03-12,1,0,2020-05-11,2465,160,42095,64,300941,74273,76455,65203,40841,825.58117284,305285
219,2020-03-12,1,0,2020-05-11,433,21,42103,0,55687,15643,9167,14484,4265,102.40925076,55809
220,2020-03-12,1,0,2020-05-11,171,16,51085,24,103218,23448,20488,31420,23758,230.32549044,107766
221,2020-03-12,3,0,2020-05-11,173,15,51095,26,73028,22611,14372,17165,13759,537.51192904,76523
222,2020-03-12,1,0,2020-05-11,66,2,51147,8,22903,5017,6281,2233,4275,65.155746788,22802
223,2020-03-12,1,0,2020-05-11,2991,53,51153,24,450763,60739,80821,145173,56592,1400.8710868,470335
224,2020-03-12,1,0,2020-05-11,1,0,53013,0,3999,1371,1178,363,384,4.5879216491,3985
225,2020-03-12,1,0,2020-05-11,13,0,53027,0,71454,19476,21346,4350,2687,39.475394474,75061
226,2020-03-12,2,0,2020-05-11,1966,63,53077,52,248279,44560,93481,5607,4829,58.417117784,250873
228,2020-03-12,1,0,2020-05-11,280,5,47093,254,452286,93686,177598,33860,61760,925.21884364,470313
229,2020-03-12,1,0,2020-05-11,103,8,29077,163,286759,60988,121979,11112,46400,433.99134554,293086
230,2020-03-12,1,0,2020-05-11,3744,398,27053,311,1224763,229263,517269,122188,345901,2285.5562907,1265843
231,2020-03-12,2,0,2020-05-11,1443,6,27145,41,155300,30193,65828,15609,26104,119.95486531,161075
232,2020-03-12,1,0,2020-05-11,1161,109,9005,21,184454,50170,53208,42734,16681,195.90467325,180333
233,2020-03-12,1,0,2020-05-11,302,21,12019,28,203291,41495,36161,49589,13035,362.63057436,219252
234,2020-03-12,1,0,2020-05-11,1171,29,12031,412,912043,171837,382476,29379,107565,1255.8590575,957755
235,2020-03-12,2,0,2020-05-11,3887,238,12099,401,1426772,414928,536190,71229,88700,761.99313226,1496770
236,2020-03-12,2,0,2020-05-11,430,57,12115,118,404839,174026,128704,23991,41468,780.13055204,433742
237,2020-03-12,2,0,2020-05-11,2278,81,8001,168,487850,69778,89263,136460,86255,443.64116675,517421
