,date_0days,cases_0days,deaths_0days,fips,date_60days,cases_60days,deaths_60days,date_70days,cases_70days,deaths_70days,date_80days,cases_80days,deaths_80days,icu_beds,kaiser_total_population,kaiser_60plus_population,commuting_within,commuting_out,commuting_in
2073,2020-03-19,2,0,13127,2020-05-18,77.0,1.0,2020-05-28,112.0,1.0,2020-06-07,155.0,2.0,24,83467,20679,32462,2914,8545
2076,2020-03-19,2,0,13175,2020-05-18,95.0,1.0,2020-05-28,104.0,1.0,2020-06-07,109.0,1.0,16,47451,10610,13845,2823,4242
2079,2020-03-19,1,0,13225,2020-05-18,69.0,2.0,2020-05-28,70.0,4.0,2020-06-07,78.0,5.0,0,27027,5201,4475,6909,4801
2082,2020-03-19,1,0,13247,2020-05-18,250.0,7.0,2020-05-28,278.0,8.0,2020-06-07,308.0,8.0,16,88482,17124,15750,20905,21381
2085,2020-03-19,2,1,13099,2020-05-18,231.0,28.0,2020-05-28,238.0,30.0,2020-06-07,249.0,31.0,0,10405,2739,2210,1510,1431
2088,2020-03-19,1,0,13103,2020-05-18,45.0,1.0,2020-05-28,75.0,1.0,2020-06-07,78.0,1.0,0,57087,9061,7973,17210,3272
2091,2020-03-19,1,0,13021,2020-05-18,397.0,17.0,2020-05-28,444.0,25.0,2020-06-07,503.0,30.0,117,153923,31993,49040,9724,32298
2094,2020-03-19,1,0,4023,2020-05-18,78.0,0.0,2020-05-28,225.0,0.0,2020-06-07,634.0,5.0,0,46358,10530,14694,2386,2759
2097,2020-03-19,1,0,4025,2020-05-18,267.0,5.0,2020-05-28,294.0,6.0,2020-06-07,327.0,6.0,39,220972,85127,72357,7088,3255
2100,2020-03-19,1,0,5007,2020-05-18,150.0,0.0,2020-05-28,428.0,0.0,2020-06-07,956.0,3.0,30,251823,44616,91493,17659,24896
2103,2020-03-19,1,0,5009,2020-05-18,4.0,0.0,2020-05-28,6.0,0.0,2020-06-07,7.0,0.0,24,37212,9809,12544,2495,3638
2106,2020-03-19,1,0,5019,2020-05-18,35.0,0.0,2020-05-28,38.0,0.0,2020-06-07,40.0,0.0,0,22495,5000,6875,2741,2292
2109,2020-03-19,1,0,5035,2020-05-18,237.0,7.0,2020-05-28,318.0,9.0,2020-06-07,463.0,9.0,0,49278,9487,11635,8133,4136
2112,2020-03-19,1,0,5053,2020-05-18,16.0,0.0,2020-05-28,18.0,0.0,2020-06-07,19.0,0.0,0,18076,4063,3002,4478,1101
2115,2020-03-19,1,0,5055,2020-05-18,24.0,0.0,2020-05-28,60.0,0.0,2020-06-07,67.0,0.0,8,44197,9006,12786,4553,3909
2118,2020-03-19,1,0,5063,2020-05-18,26.0,0.0,2020-05-28,29.0,0.0,2020-06-07,33.0,0.0,12,37097,8706,12752,2148,3995
2121,2020-03-19,1,0,5031,2020-05-18,141.0,0.0,2020-05-28,203.0,0.0,2020-06-07,302.0,1.0,66,104246,19242,39576,5122,9614
2124,2020-03-19,1,0,5111,2020-05-18,27.0,2.0,2020-05-28,31.0,2.0,2020-06-07,44.0,2.0,0,24098,5793,4623,4281,1533
2127,2020-03-19,1,0,1017,2020-05-18,329.0,22.0,2020-05-28,349.0,24.0,2020-06-07,390.0,26.0,0,33895,8501,5403,8129,2950
2130,2020-03-19,1,0,1097,2020-05-18,1735.0,101.0,2020-05-28,2124.0,112.0,2020-06-07,2450.0,125.0,157,414328,88103,153297,15422,26164
2133,2020-03-19,1,0,1127,2020-05-18,139.0,0.0,2020-05-28,299.0,1.0,2020-06-07,462.0,3.0,12,64927,16386,16221,7287,4537
2136,2020-03-19,1,0,5113,2020-05-18,8.0,0.0,2020-05-28,12.0,0.0,2020-06-07,41.0,0.0,6,20212,5939,6602,780,871
2139,2020-03-19,1,0,5115,2020-05-18,76.0,0.0,2020-05-28,129.0,1.0,2020-06-07,204.0,2.0,11,63372,12757,22103,4903,5863
2142,2020-03-19,1,1,8025,2020-05-18,39.0,1.0,2020-05-28,63.0,1.0,2020-06-07,66.0,1.0,0,5514,1074,863,593,670
2145,2020-03-19,1,0,5129,2020-05-18,6.0,0.0,2020-05-28,7.0,0.0,2020-06-07,7.0,0.0,0,7925,2684,1695,1109,331
2148,2020-03-19,1,0,5131,2020-05-18,16.0,0.0,2020-05-28,24.0,0.0,2020-06-07,85.0,1.0,69,127362,26807,45773,8554,23619
2151,2020-03-19,1,0,5133,2020-05-18,32.0,1.0,2020-05-28,131.0,2.0,2020-06-07,339.0,2.0,0,17206,3266,4548,2430,1111
2154,2020-03-19,1,0,5141,2020-05-18,28.0,2.0,2020-05-28,28.0,2.0,2020-06-07,30.0,2.0,0,16751,5519,3319,1985,1226
2157,2020-03-19,1,0,24009,2020-05-18,246.0,13.0,2020-05-28,321.0,17.0,2020-06-07,359.0,21.0,4,90824,18153,17293,27776,6497
2160,2020-03-19,1,0,24045,2020-05-18,837.0,21.0,2020-05-28,919.0,27.0,2020-06-07,977.0,32.0,24,102014,21277,35400,11573,12400
2163,2020-03-19,1,0,22047,2020-05-18,527.0,38.0,2020-05-28,563.0,41.0,2020-06-07,596.0,42.0,0,33122,6966,6645,6033,9518
2166,2020-03-19,3,0,22055,2020-05-18,598.0,23.0,2020-05-28,695.0,25.0,2020-06-07,880.0,29.0,80,238230,41592,97772,16544,44255
2169,2020-03-19,1,0,22063,2020-05-18,350.0,25.0,2020-05-28,408.0,27.0,2020-06-07,464.0,31.0,0,137096,24235,20422,39778,7222
2172,2020-03-19,1,0,22075,2020-05-18,194.0,16.0,2020-05-28,201.0,17.0,2020-06-07,218.0,17.0,0,23394,4024,6301,3997,12319
2175,2020-03-19,1,1,22093,2020-05-18,284.0,23.0,2020-05-28,294.0,25.0,2020-06-07,304.0,27.0,0,21485,4921,4305,4535,4898
2178,2020-03-19,2,0,22097,2020-05-18,235.0,51.0,2020-05-28,252.0,54.0,2020-06-07,309.0,54.0,16,83580,17636,17473,12940,6358
2181,2020-03-19,1,0,22119,2020-05-18,117.0,5.0,2020-05-28,143.0,6.0,2020-06-07,182.0,8.0,16,40043,10020,9749,5310,3332
2184,2020-03-19,2,0,22121,2020-05-18,148.0,30.0,2020-05-28,159.0,31.0,2020-06-07,185.0,31.0,0,25518,4884,3906,7518,7610
2187,2020-03-19,1,0,22045,2020-05-18,355.0,33.0,2020-05-28,404.0,37.0,2020-06-07,424.0,41.0,11,73346,14679,21749,9296,10301
2190,2020-03-19,1,0,25015,2020-05-18,774.0,72.0,2020-05-28,845.0,83.0,2020-06-07,905.0,98.0,11,161197,34945,53456,28444,23080
2193,2020-03-19,1,0,27099,2020-05-18,65.0,0.0,2020-05-28,231.0,1.0,2020-06-07,504.0,2.0,0,39386,9579,14320,4386,3555
2196,2020-03-19,1,0,27139,2020-05-18,259.0,1.0,2020-05-28,383.0,2.0,2020-06-07,486.0,2.0,0,141463,20208,26843,46413,21822
2199,2020-03-19,1,0,26037,2020-05-18,135.0,10.0,2020-05-28,139.0,10.0,2020-06-07,182.0,11.0,2,77321,16938,11591,24101,8849
2202,2020-03-19,2,0,26045,2020-05-18,165.0,6.0,2020-05-28,183.0,6.0,2020-06-07,245.0,7.0,0,108586,26110,23230,27456,23523
2205,2020-03-19,1,0,26049,2020-05-18,1869.0,231.0,2020-05-28,1983.0,249.0,2020-06-07,2544.0,280.0,151,410881,93094,117459,40777,27124
2208,2020-03-19,3,0,26093,2020-05-18,386.0,25.0,2020-05-28,391.0,26.0,2020-06-07,536.0,28.0,8,186946,41663,39999,50428,17571
2211,2020-03-19,1,0,26111,2020-05-18,71.0,8.0,2020-05-28,81.0,8.0,2020-06-07,121.0,9.0,26,83489,19242,26558,10117,13168
2214,2020-03-19,1,0,18119,2020-05-18,27.0,1.0,2020-05-28,35.0,1.0,2020-06-07,36.0,1.0,0,20957,5415,3556,5564,1974
2217,2020-03-19,1,0,22019,2020-05-18,520.0,40.0,2020-05-28,588.0,45.0,2020-06-07,637.0,51.0,75,198753,39284,78135,6626,11948
2220,2020-03-19,1,0,18157,2020-05-18,308.0,2.0,2020-05-28,384.0,3.0,2020-06-07,455.0,5.0,30,186081,28594,77406,7340,18141
2223,2020-03-19,1,0,18177,2020-05-18,170.0,5.0,2020-05-28,221.0,6.0,2020-06-07,248.0,6.0,30,66972,16958,23107,4930,6729
2226,2020-03-19,1,0,21047,2020-05-18,97.0,3.0,2020-05-28,111.0,3.0,2020-06-07,142.0,3.0,18,72438,11300,25771,4623,27864
2229,2020-03-19,1,0,21059,2020-05-18,293.0,4.0,2020-05-28,313.0,6.0,2020-06-07,340.0,7.0,32,99258,22152,37475,5506,7582
2232,2020-03-19,1,0,21199,2020-05-18,50.0,2.0,2020-05-28,56.0,2.0,2020-06-07,65.0,2.0,38,63974,15846,22605,2592,4507
2235,2020-03-19,1,0,21209,2020-05-18,34.0,0.0,2020-05-28,35.0,0.0,2020-06-07,37.0,0.0,6,52322,8436,14962,9835,13419
2238,2020-03-19,1,0,22007,2020-05-18,230.0,11.0,2020-05-28,248.0,13.0,2020-06-07,257.0,13.0,0,22881,5211,2879,6299,853
2241,2020-03-19,1,0,20173,2020-05-18,536.0,20.0,2020-05-28,573.0,21.0,2020-06-07,654.0,21.0,236,510484,97508,225669,12313,29940
2244,2020-03-19,1,0,21101,2020-05-18,95.0,3.0,2020-05-28,112.0,4.0,2020-06-07,121.0,4.0,12,46252,10871,13751,6185,5249
2247,2020-03-19,1,0,20107,2020-05-18,7.0,0.0,2020-05-28,8.0,0.0,2020-06-07,10.0,0.0,0,9602,2635,1650,2288,1058
2250,2020-03-19,2,0,20127,2020-05-18,3.0,0.0,2020-05-28,5.0,0.0,2020-06-07,5.0,0.0,0,5605,1854,1756,1058,474
2253,2020-03-19,1,0,19061,2020-05-18,276.0,10.0,2020-05-28,338.0,18.0,2020-06-07,364.0,21.0,18,96571,22155,45996,3440,11755
2256,2020-03-19,1,0,19139,2020-05-18,532.0,33.0,2020-05-28,549.0,41.0,2020-06-07,566.0,41.0,5,42923,9608,15933,4887,6530
2259,2020-03-19,1,0,20021,2020-05-18,8.0,0.0,2020-05-28,9.0,0.0,2020-06-07,10.0,0.0,0,20501,5088,4647,4651,2007
2262,2020-03-20,1,0,37159,2020-05-19,560.0,27.0,2020-05-29,630.0,37.0,2020-06-08,772.0,39.0,20,138940,31195,36067,19524,13361
2265,2020-03-20,3,0,37135,2020-05-19,283.0,37.0,2020-05-29,326.0,40.0,2020-06-08,405.0,40.0,13,141812,25896,39013,29518,36906
2268,2020-03-20,1,0,37167,2020-05-19,32.0,4.0,2020-05-29,57.0,4.0,2020-06-08,117.0,4.0,10,60875,14861,16849,8751,4120
2271,2020-03-20,1,0,37147,2020-05-19,221.0,2.0,2020-05-29,286.0,2.0,2020-06-08,397.0,2.0,71,176484,30269,66702,12827,14358
2274,2020-03-20,1,0,37139,2020-05-19,87.0,7.0,2020-05-29,104.0,10.0,2020-06-08,114.0,13.0,10,39546,8584,12063,5203,5598
2277,2020-03-20,1,0,39007,2020-05-19,244.0,26.0,2020-05-29,330.0,34.0,2020-06-08,374.0,38.0,19,98622,25127,27895,11839,4704
2280,2020-03-20,1,0,38069,2020-05-19,3.0,0.0,2020-05-29,3.0,0.0,2020-06-08,3.0,0.0,0,4272,1309,1752,417,412
2283,2020-03-20,1,0,38071,2020-05-19,8.0,1.0,2020-05-29,8.0,1.0,2020-06-08,8.0,1.0,0,11574,2909,5289,750,1097
2286,2020-03-20,1,0,39029,2020-05-19,453.0,45.0,2020-05-29,739.0,51.0,2020-06-08,899.0,54.0,20,104584,27542,24601,19643,8194
2289,2020-03-20,1,0,37031,2020-05-19,35.0,3.0,2020-05-29,36.0,3.0,2020-06-08,40.0,3.0,8,68699,21116,22325,7536,4737
2292,2020-03-20,1,0,37057,2020-05-19,306.0,11.0,2020-05-29,385.0,12.0,2020-06-08,520.0,13.0,29,164118,37797,33122,36648,11900
2295,2020-03-20,4,0,37069,2020-05-19,129.0,20.0,2020-05-29,157.0,20.0,2020-06-08,190.0,21.0,0,63866,14275,9803,16307,4417
2298,2020-03-20,1,0,41023,2020-05-19,1.0,0.0,2020-05-29,1.0,0.0,2020-06-08,1.0,0.0,0,7209,2694,2611,214,97
2301,2020-03-20,1,0,41061,2020-05-19,6.0,0.0,2020-05-29,6.0,0.0,2020-06-08,6.0,0.0,4,25810,6683,10137,719,744
2304,2020-03-20,1,0,42027,2020-05-19,132.0,5.0,2020-05-29,151.0,6.0,2020-06-08,157.0,7.0,0,160646,29386,66332,7497,14725
2307,2020-03-20,1,0,39101,2020-05-19,2524.0,15.0,2020-05-29,2657.0,28.0,2020-06-08,2694.0,32.0,15,65483,15039,18282,6635,7022
2310,2020-03-20,1,0,39159,2020-05-19,36.0,0.0,2020-05-29,51.0,1.0,2020-06-08,58.0,1.0,7,54688,8714,13211,11717,18629
2313,2020-03-20,2,0,39165,2020-05-19,285.0,15.0,2020-05-29,359.0,20.0,2020-06-08,427.0,20.0,57,223868,42520,42607,61477,45630
2316,2020-03-20,1,0,40049,2020-05-19,15.0,1.0,2020-05-29,17.0,1.0,2020-06-08,20.0,1.0,0,27751,6609,7847,2690,3993
2319,2020-03-20,1,0,31019,2020-05-19,136.0,1.0,2020-05-29,153.0,1.0,2020-06-08,174.0,1.0,34,48834,9288,23998,2793,3887
2322,2020-03-20,1,0,31109,2020-05-19,912.0,7.0,2020-05-29,1176.0,9.0,2020-06-08,1372.0,10.0,108,306357,55100,149092,9902,17975
2325,2020-03-20,1,0,32023,2020-05-19,57.0,1.0,2020-05-29,63.0,2.0,2020-06-08,67.0,2.0,0,43296,15960,10647,3137,2491
2328,2020-03-20,1,0,33005,2020-05-19,49.0,2.0,2020-05-29,57.0,2.0,2020-06-08,59.0,2.0,27,76109,19389,30058,8784,6177
2331,2020-03-20,1,0,28129,2020-05-19,120.0,9.0,2020-05-29,148.0,11.0,2020-06-08,168.0,11.0,0,16114,3931,2313,3934,1577
2334,2020-03-20,3,0,28139,2020-05-19,69.0,11.0,2020-05-29,71.0,11.0,2020-06-08,84.0,11.0,0,21993,4899,5406,2804,1525
2337,2020-03-20,2,0,29043,2020-05-19,21.0,0.0,2020-05-29,22.0,0.0,2020-06-08,28.0,0.0,0,83028,16810,11735,25363,6502
2340,2020-03-20,1,0,29069,2020-05-19,26.0,2.0,2020-05-29,33.0,2.0,2020-06-08,49.0,2.0,0,30905,7240,8051,3454,1992
2343,2020-03-20,1,0,29169,2020-05-19,36.0,1.0,2020-05-29,36.0,1.0,2020-06-08,39.0,1.0,0,53132,6246,26306,1805,5973
2346,2020-03-20,1,0,29201,2020-05-19,86.0,7.0,2020-05-29,100.0,9.0,2020-06-08,123.0,10.0,12,38858,9126,10512,6452,6405
2349,2020-03-20,1,0,36021,2020-05-19,350.0,32.0,2020-05-29,382.0,37.0,2020-06-08,414.0,39.0,9,61481,18429,17728,11552,6976
2352,2020-03-20,1,0,36035,2020-05-19,182.0,11.0,2020-05-29,206.0,12.0,2020-06-08,227.0,17.0,8,53955,13782,14241,9295,4552
2355,2020-03-20,1,0,36037,2020-05-19,182.0,4.0,2020-05-29,199.0,5.0,2020-06-08,208.0,6.0,10,58537,13935,18056,11097,7281
2358,2020-03-20,3,0,36063,2020-05-19,845.0,39.0,2020-05-29,1008.0,50.0,2020-06-08,1116.0,57.0,32,212675,52917,59899,38903,15712
2361,2020-03-20,2,0,36065,2020-05-19,785.0,38.0,2020-05-29,988.0,54.0,2020-06-08,1170.0,67.0,51,232324,56184,88331,13137,20130
2364,2020-03-20,1,0,34011,2020-05-19,1759.0,56.0,2020-05-29,2209.0,69.0,2020-06-08,2575.0,90.0,36,154952,30141,45043,16311,16690
2370,2020-03-20,1,0,35031,2020-05-19,1987.0,79.0,2020-05-29,2348.0,104.0,2020-06-08,2746.0,133.0,5,72849,11923,20212,2238,2561
2373,2020-03-20,1,0,42049,2020-05-19,147.0,4.0,2020-05-29,253.0,4.0,2020-06-08,378.0,6.0,88,277794,63334,121059,5351,10146
2385,2020-03-20,2,0,53015,2020-05-19,69.0,0.0,2020-05-29,73.0,0.0,2020-06-08,86.0,0.0,18,103590,26255,31339,8261,6942
2388,2020-03-20,1,0,50001,2020-05-19,62.0,2.0,2020-05-29,62.0,2.0,2020-06-08,65.0,2.0,0,36825,9459,13547,5481,2569
2391,2020-03-20,1,0,50021,2020-05-19,50.0,1.0,2020-05-29,55.0,1.0,2020-06-08,57.0,1.0,13,59676,16414,25530,3971,3432
2394,2020-03-20,1,0,51001,2020-05-19,701.0,9.0,2020-05-29,827.0,12.0,2020-06-08,983.0,13.0,10,32840,9713,10922,3289,2214
2397,2020-03-20,1,0,51073,2020-05-19,28.0,1.0,2020-05-29,30.0,1.0,2020-06-08,33.0,1.0,7,37035,9239,7401,10428,3306
2400,2020-03-20,1,0,55055,2020-05-19,62.0,2.0,2020-05-29,101.0,3.0,2020-06-08,130.0,3.0,4,84586,18308,23222,20226,9790
2403,2020-03-20,1,0,55073,2020-05-19,34.0,1.0,2020-05-29,46.0,1.0,2020-06-08,64.0,1.0,52,135293,30856,58518,10462,12548
2406,2020-03-20,1,0,55105,2020-05-19,438.0,14.0,2020-05-29,620.0,18.0,2020-06-08,792.0,21.0,33,161226,34912,51579,22609,11201
2409,2020-03-20,2,0,55109,2020-05-19,48.0,0.0,2020-05-29,77.0,0.0,2020-06-08,106.0,0.0,0,87142,16229,21903,23315,11749
2412,2020-03-20,1,0,56005,2020-05-19,29.0,0.0,2020-05-29,31.0,0.0,2020-06-08,35.0,0.0,14,48116,6482,25287,722,4307
2415,2020-03-20,1,0,56025,2020-05-19,64.0,0.0,2020-05-29,76.0,1.0,2020-06-08,87.0,1.0,14,81023,16036,38831,1794,2705
2418,2020-03-20,3,0,28121,2020-05-19,295.0,6.0,2020-05-29,399.0,7.0,2020-06-08,485.0,9.0,18,149645,29151,34397,33787,25412
2421,2020-03-20,1,0,55045,2020-05-19,46.0,0.0,2020-05-29,65.0,0.0,2020-06-08,71.0,0.0,6,36869,8908,11936,7568,5174
2424,2020-03-20,1,0,55033,2020-05-19,20.0,0.0,2020-05-29,24.0,0.0,2020-06-08,29.0,0.0,0,44260,9015,14363,7623,4291
2427,2020-03-20,1,0,53055,2020-05-19,15.0,0.0,2020-05-29,15.0,0.0,2020-06-08,15.0,0.0,0,16221,6649,6962,381,438
2430,2020-03-20,1,0,53065,2020-05-19,10.0,1.0,2020-05-29,11.0,1.0,2020-06-08,13.0,1.0,0,43858,13171,10517,5076,1381
2433,2020-03-20,1,0,54035,2020-05-19,135.0,17.0,2020-05-29,136.0,18.0,2020-06-08,140.0,18.0,0,29123,7844,6150,4622,2078
2436,2020-03-20,1,0,54039,2020-05-19,203.0,16.0,2020-05-29,223.0,18.0,2020-06-08,242.0,19.0,156,187827,49628,73749,8336,28928
2439,2020-03-20,1,0,55017,2020-05-19,42.0,0.0,2020-05-29,55.0,0.0,2020-06-08,59.0,0.0,6,63445,14882,18128,12549,7841
2442,2020-03-20,1,0,55031,2020-05-19,15.0,0.0,2020-05-29,19.0,0.0,2020-06-08,20.0,0.0,0,43503,10444,12633,8383,5134
2445,2020-03-20,1,1,45041,2020-05-19,547.0,29.0,2020-05-29,637.0,37.0,2020-06-08,724.0,40.0,98,138537,30487,48416,9134,18844
2448,2020-03-20,2,0,45075,2020-05-19,115.0,2.0,2020-05-29,168.0,3.0,2020-06-08,273.0,5.0,20,89116,22393,25025,8041,7684
2451,2020-03-20,1,0,45077,2020-05-19,94.0,3.0,2020-05-29,138.0,3.0,2020-06-08,207.0,4.0,15,121449,25531,27285,22386,13060
2454,2020-03-20,1,0,47001,2020-05-19,37.0,1.0,2020-05-29,39.0,1.0,2020-06-08,48.0,2.0,25,75538,19563,20319,10745,26619
2457,2020-03-20,1,0,47009,2020-05-19,76.0,3.0,2020-05-29,89.0,3.0,2020-06-08,94.0,3.0,16,127135,32770,34264,21158,12612
2460,2020-03-20,1,0,47011,2020-05-19,84.0,1.0,2020-05-29,113.0,1.0,2020-06-08,219.0,2.0,27,103666,22968,31837,10966,10165
2463,2020-03-20,1,0,45085,2020-05-19,323.0,17.0,2020-05-29,365.0,18.0,2020-06-08,472.0,19.0,17,107379,22798,35121,8162,8715
2466,2020-03-20,1,0,45031,2020-05-19,227.0,5.0,2020-05-29,276.0,9.0,2020-06-08,330.0,12.0,12,67572,16204,14632,10822,6932
2469,2020-03-20,1,0,45027,2020-05-19,293.0,34.0,2020-05-29,296.0,38.0,2020-06-08,306.0,41.0,6,34156,10223,5511,5586,2577
2472,2020-03-20,1,0,42055,2020-05-19,644.0,27.0,2020-05-29,762.0,34.0,2020-06-08,798.0,39.0,24,153003,38030,48776,21366,12306
2475,2020-03-20,1,0,42105,2020-05-19,4.0,0.0,2020-05-29,4.0,0.0,2020-06-08,11.0,0.0,4,17070,5099,4828,1964,1740
2478,2020-03-20,1,0,45003,2020-05-19,156.0,7.0,2020-05-29,191.0,7.0,2020-06-08,212.0,8.0,35,165707,41209,47319,21058,17252
2481,2020-03-20,1,0,45015,2020-05-19,203.0,15.0,2020-05-29,228.0,16.0,2020-06-08,282.0,18.0,0,204632,37127,38077,49369,20935
2484,2020-03-20,2,0,47043,2020-05-19,93.0,0.0,2020-05-29,109.0,0.0,2020-06-08,125.0,0.0,6,51341,10824,11773,9759,4946
2487,2020-03-20,1,0,48147,2020-05-19,27.0,2.0,2020-05-29,38.0,2.0,2020-06-08,43.0,2.0,2,33787,8521,7039,5984,2301
2490,2020-03-20,1,0,48219,2020-05-19,24.0,1.0,2020-05-29,27.0,1.0,2020-06-08,27.0,1.0,0,23273,4565,7263,3136,2882
2493,2020-03-20,1,0,48459,2020-05-19,18.0,0.0,2020-05-29,21.0,0.0,2020-06-08,31.0,0.0,0,40506,9637,6339,10028,2388
2496,2020-03-20,1,0,47059,2020-05-19,46.0,2.0,2020-05-29,49.0,2.0,2020-06-08,52.0,2.0,6,68520,18918,21775,5232,4417
2499,2020-03-20,1,0,47063,2020-05-19,24.0,2.0,2020-05-29,34.0,2.0,2020-06-08,58.0,2.0,20,63465,14917,19050,5745,10890
2502,2020-03-20,1,0,47119,2020-05-19,71.0,0.0,2020-05-29,88.0,0.0,2020-06-08,116.0,1.0,65,87606,18777,22431,15790,10646
2505,2020-03-20,1,0,47167,2020-05-19,407.0,2.0,2020-05-29,437.0,3.0,2020-06-08,480.0,3.0,7,61434,11660,10056,16764,2620
2508,2020-03-20,1,0,48049,2020-05-19,51.0,7.0,2020-05-29,58.0,9.0,2020-06-08,59.0,10.0,12,37787,9428,13457,1363,1818
2511,2020-03-20,1,0,48067,2020-05-19,21.0,0.0,2020-05-29,29.0,0.0,2020-06-08,31.0,1.0,0,30118,8380,7105,4676,1969
2514,2020-03-20,1,0,28113,2020-05-19,184.0,11.0,2020-05-29,202.0,11.0,2020-06-08,211.0,11.0,28,39763,8664,11208,2920,4048
2517,2020-03-20,1,0,12087,2020-05-19,99.0,3.0,2020-05-29,108.0,4.0,2020-06-08,114.0,4.0,14,76745,22310,36257,2315,5832
2520,2020-03-20,1,0,8113,2020-05-19,22.0,0.0,2020-05-29,23.0,0.0,2020-06-08,23.0,0.0,0,7804,1475,4054,318,1021
2523,2020-03-20,1,0,9011,2020-05-19,880.0,66.0,2020-05-29,1068.0,85.0,2020-06-08,1120.0,96.0,32,270772,63495,110317,26738,28148
2526,2020-03-20,14,0,13045,2020-05-19,418.0,21.0,2020-05-29,517.0,24.0,2020-06-08,585.0,28.0,18,114898,20423,28306,18342,13592
2529,2020-03-20,1,0,13201,2020-05-19,36.0,0.0,2020-05-29,41.0,0.0,2020-06-08,42.0,0.0,0,5884,1561,1093,1236,607
2532,2020-03-20,1,0,13207,2020-05-19,102.0,7.0,2020-05-29,120.0,8.0,2020-06-08,123.0,11.0,0,26795,6594,3994,6505,3728
2535,2020-03-20,1,0,13215,2020-05-19,451.0,16.0,2020-05-29,602.0,17.0,2020-06-08,808.0,22.0,61,198647,34483,72814,13290,39853
2538,2020-03-20,1,0,13219,2020-05-19,81.0,3.0,2020-05-29,116.0,5.0,2020-06-08,125.0,9.0,0,35972,7602,4966,11004,7305
2541,2020-03-20,2,0,13227,2020-05-19,39.0,3.0,2020-05-29,47.0,3.0,2020-06-08,52.0,4.0,6,30343,8464,6572,5945,4049
2544,2020-03-20,1,0,13243,2020-05-19,169.0,21.0,2020-05-29,179.0,19.0,2020-06-08,183.0,19.0,0,7206,2258,1937,537,487
2547,2020-03-20,2,0,13255,2020-05-19,246.0,14.0,2020-05-29,275.0,21.0,2020-06-08,296.0,21.0,22,64192,14777,11503,11411,9451
2550,2020-03-20,2,0,13261,2020-05-19,421.0,39.0,2020-05-29,476.0,42.0,2020-06-08,496.0,46.0,10,30687,6539,8473,2562,3551
2553,2020-03-20,2,0,13273,2020-05-19,199.0,24.0,2020-05-29,213.0,26.0,2020-06-08,217.0,26.0,0,8978,2148,1495,1557,810
2556,2020-03-20,1,0,13277,2020-05-19,188.0,14.0,2020-05-29,255.0,17.0,2020-06-08,320.0,20.0,20,40531,8091,13154,2630,7687
2559,2020-03-20,1,0,13287,2020-05-19,85.0,12.0,2020-05-29,115.0,12.0,2020-06-08,140.0,13.0,0,8036,2004,1532,1298,679
2562,2020-03-20,2,0,13321,2020-05-19,201.0,18.0,2020-05-29,209.0,21.0,2020-06-08,240.0,21.0,0,20809,5131,2681,5586,1388
2565,2020-03-20,1,0,13181,2020-05-19,13.0,1.0,2020-05-29,16.0,0.0,2020-06-08,16.0,1.0,0,7768,2318,1206,1845,183
2568,2020-03-20,2,0,13051,2020-05-19,379.0,16.0,2020-05-29,491.0,24.0,2020-06-08,552.0,28.0,78,285506,56014,115610,10130,36649
2571,2020-03-20,1,0,13085,2020-05-19,86.0,1.0,2020-05-29,109.0,1.0,2020-06-08,114.0,1.0,0,23397,6208,3263,6428,4634
2574,2020-03-20,1,0,13097,2020-05-19,445.0,19.0,2020-05-29,539.0,24.0,2020-06-08,601.0,25.0,8,140152,22028,22953,37459,20926
2577,2020-03-20,1,0,13149,2020-05-19,20.0,1.0,2020-05-29,32.0,2.0,2020-06-08,36.0,3.0,0,11607,2692,1237,3122,765
2580,2020-03-20,1,0,13171,2020-05-19,44.0,1.0,2020-05-29,67.0,1.0,2020-06-08,76.0,3.0,0,18282,3955,2671,4113,1903
2583,2020-03-20,1,0,4027,2020-05-19,433.0,4.0,2020-05-29,929.0,13.0,2020-06-08,2257.0,26.0,42,204281,45739,69297,3589,2056
2586,2020-03-20,1,0,1043,2020-05-19,70.0,0.0,2020-05-29,114.0,0.0,2020-06-08,204.0,1.0,12,81703,19667,21995,9859,5556
2589,2020-03-20,1,0,1071,2020-05-19,63.0,2.0,2020-05-29,76.0,2.0,2020-06-08,97.0,3.0,10,52326,13441,13628,6942,4075
2592,2020-03-20,1,0,1075,2020-05-19,15.0,0.0,2020-05-29,23.0,0.0,2020-06-08,30.0,0.0,0,14021,3811,3147,2174,966
2595,2020-03-20,1,0,1077,2020-05-19,116.0,2.0,2020-05-29,156.0,2.0,2020-06-08,189.0,3.0,48,92590,23452,27415,11770,6900
2598,2020-03-20,1,0,1129,2020-05-19,61.0,5.0,2020-05-29,67.0,6.0,2020-06-08,81.0,6.0,0,16746,4103,2726,2807,1842
2601,2020-03-20,1,0,8014,2020-05-19,214.0,24.0,2020-05-29,232.0,26.0,2020-06-08,256.0,27.0,20,64283,11264,8491,22711,28489
2604,2020-03-20,1,0,8093,2020-05-19,20.0,0.0,2020-05-29,23.0,0.0,2020-06-08,23.0,0.0,0,16900,4718,3117,5617,827
2607,2020-03-20,1,0,6005,2020-05-19,8.0,0.0,2020-05-29,10.0,0.0,2020-06-08,9.0,0.0,6,37306,12967,8063,3817,3843
