,date_0days,cases_0days,deaths_0days,fips,date_60days,cases_60days,deaths_60days,date_70days,cases_70days,deaths_70days,date_80days,cases_80days,deaths_80days,icu_beds,kaiser_total_population,kaiser_60plus_population,commuting_within,commuting_out,commuting_in
114,2020-03-05,1,0,32003,2020-05-04,4411.0,223.0,2020-05-14,5144.0,282.0,2020-05-24,6140.0,331.0,535,2112436,405618,896544,15993,21468
117,2020-03-05,1,0,32031,2020-05-04,988.0,35.0,2020-05-14,1154.0,45.0,2020-05-24,1378.0,52.0,331,445551,95558,189113,15056,14255
120,2020-03-05,4,0,48201,2020-05-04,6967.0,140.0,2020-05-14,8817.0,193.0,2020-05-24,10921.0,220.0,918,4525519,651673,1886183,159527,461890
123,2020-03-05,1,0,47187,2020-05-04,431.0,9.0,2020-05-14,456.0,10.0,2020-05-24,512.0,10.0,28,212161,37356,57299,38360,58838
126,2020-03-05,3,0,24031,2020-05-04,5411.0,301.0,2020-05-14,7588.0,437.0,2020-05-24,9958.0,558.0,150,1039198,209461,318911,213804,179278
129,2020-03-05,1,0,25017,2020-05-04,15757.0,997.0,2020-05-14,18381.0,1327.0,2020-05-24,20437.0,1518.0,216,1582857,319971,548665,268960,337744
132,2020-03-05,1,0,12113,2020-05-04,158.0,8.0,2020-05-14,180.0,9.0,2020-05-24,207.0,9.0,16,166778,34353,33660,35923,7801
135,2020-03-05,1,0,8059,2020-05-04,1431.0,85.0,2020-05-14,1748.0,107.0,2020-05-24,2040.0,144.0,94,564029,124374,140839,149058,96322
138,2020-03-05,1,0,8035,2020-05-04,531.0,23.0,2020-05-14,621.0,31.0,2020-05-24,675.0,44.0,54,320940,50139,67951,89579,47964
141,2020-03-06,1,0,42127,2020-05-05,109.0,5.0,2020-05-15,107.0,7.0,2020-05-25,118.0,7.0,8,51656,15447,11696,8969,5510
144,2020-03-06,1,0,37037,2020-05-05,403.0,11.0,2020-05-15,495.0,24.0,2020-05-25,588.0,26.0,4,68364,20511,11803,17017,5570
147,2020-03-06,1,0,42045,2020-05-05,4326.0,320.0,2020-05-15,5409.0,466.0,2020-05-25,6234.0,524.0,100,563384,123831,138021,124591,75980
150,2020-03-06,1,0,40143,2020-05-05,645.0,36.0,2020-05-15,752.0,37.0,2020-05-25,926.0,44.0,379,637123,120771,274047,23216,85413
153,2020-03-06,2,0,36087,2020-05-05,12144.0,383.0,2020-05-15,12637.0,434.0,2020-05-25,12996.0,454.0,39,325027,66379,84101,58448,31002
156,2020-03-06,1,0,34007,2020-05-05,4251.0,180.0,2020-05-15,5255.0,262.0,2020-05-25,6103.0,308.0,199,510996,104370,120977,114556,75864
