,cases_70days,icu_beds,commuting_in,commuting_out,density,percent_democrat,percent_in_poverty,pop_over65,median_age,percent_with_bachelors,median_income,pop_2019
386,2,0,810,1226,4.7342721583,0.217498243148,12.5,2628,48.4,23.6,53326,10939
387,35,6,5016,6959,33.58896436,0.28949789958,12.5,15686,43.1,16.8,57019,80707
388,377,100,11459,9928,312.51662259,0.29502100351,14.3,71237,45.2,23.6,49082,354081
389,1286,137,65400,33865,666.82074767,0.346633770064,11.1,74825,38.1,34.2,61162,523542
390,218,40,15127,26890,283.75304725,0.262030487197,14.6,34228,40.7,21.4,51740,202558
391,2645,71,24644,23633,356.66195853,0.387656237051,14.3,61573,43.0,23.2,53469,317417
392,3651,143,64024,50419,1069.5744582,0.503734537447,12.0,58706,39.2,29.4,62139,369318
393,1224,81,67002,199845,1008.6743153,0.375059242312,7.3,76665,35.2,44.5,88384,887207
394,24,0,1985,3654,43.962272694,0.296273097401,9.2,3187,40.2,20.5,58335,18612
395,119,40,4184,10413,257.18197519,0.286028395527,15.2,51358,56.2,17.6,41556,149657
396,27,0,1870,5346,49.911990836,0.167167959474,15.4,3827,37.6,13.4,52804,29210
397,121,5,4731,6588,20.377448183,0.4255925250680001,8.4,7034,36.3,30.0,74421,60061
398,1727,50,17900,4639,267.63323588,0.68456890199,29.5,13321,35.1,21.4,38806,87956
399,1119,34,56469,71553,2062.8050676,0.8506432381550001,17.6,24343,32.4,19.5,46059,292256
400,224,104,29428,11484,1076.3988884000003,0.667420456344,27.0,12807,27.7,42.7,42112,128331
401,97,16,6560,31207,169.21150169,0.254892151392,9.7,20250,39.2,26.1,63677,122437
402,133,41,6279,5279,146.66939609,0.3045095074,20.4,22442,44.9,20.2,43610,99386
403,433,32,30792,50684,277.19182547,0.231100314491,8.0,30125,38.9,42.1,75663,217702
404,498,28,11087,22506,270.83432209,0.363928001665,19.0,17739,31.4,34.1,48937,164542
405,1566,82,27133,13296,163.24346466,0.6096551052220001,12.6,64775,33.7,33.8,75646,446499
406,4365,410,174677,246417,108.63552451,0.521920294998,14.9,233343,33.1,20.3,63310,2180085
407,1671,16,92815,95857,1297.8389407,0.640760650542,5.2,40889,38.7,61.4,116719,325690
409,20,4,2490,5626,75.973982205,0.477836879433,11.1,9005,50.7,32.7,56211,34634
410,521,8,5298,9549,125.14573935,0.313595242614,20.1,4869,33.7,12.3,43983,47244
411,696,22,37371,50570,517.87771245,0.318255905918,6.8,40123,35.0,33.5,70420,291830
412,7559,47,55732,110866,791.40182088,0.506601859423,6.2,87718,42.6,36.7,89678,521202
413,5687,119,36149,42218,755.86978552,0.55095894516,16.7,75229,38.9,27.2,52682,466372
414,1925,87,27099,21596,550.65493316,0.465331292523,16.1,47426,39.6,22.6,53795,282572
415,135,9,4591,8219,80.653498449,0.436533121777,10.5,11233,43.2,18.5,57197,55175
416,176,4,3446,10101,79.254531794,0.228109798471,8.2,6110,40.2,22.5,66597,37562
417,118,20,985,1173,144.13488696,0.64454583959,8.6,27860,41.1,26.6,78503,167417
418,304,10,10265,25405,408.12156823,0.500970607715,14.8,13118,36.2,19.6,56598,111744
419,37,8,4948,6942,143.62305774,0.290619403446,16.0,6176,42.2,20.1,50162,36263
420,3744,112,64988,22991,856.60533826,0.5239077138600001,9.9,58939,35.3,36.1,68479,490161
421,1109,10,52159,76342,857.14024676,0.37241424201,4.2,36042,36.9,57.8,101740,338011
422,118,0,1118,2562,21.417938912,0.352347520842,11.7,3020,44.8,18.5,53359,13687
423,1312,148,99486,44478,1122.1784672,0.789030376703,13.5,37056,35.2,47.5,59329,321488
424,257,12,16145,26377,233.94676271,0.352203709783,5.7,17977,44.6,38.1,84093,93649
425,128,8,11362,38226,165.41304517,0.211149321267,7.3,17179,35.9,26.8,70942,148306
426,55,12,10147,8723,137.81919361,0.623801478816,15.8,13573,32.9,53.6,63600,93053
427,1981,152,44431,15257,591.64396863,0.536121732426,13.7,75035,39.0,35.5,59786,460528
428,46,8,4759,5466,52.486314756999995,0.44685682827,9.0,12516,51.7,33.6,59413,48910
429,80,9,8177,29184,151.84868186,0.292142364192,8.1,16489,39.8,26.1,71374,105780
430,246,9,2502,5542,46.075711377,0.34756986249300004,16.4,6661,41.2,17.2,44681,35252
431,88,6,7573,8302,100.49706734,0.189530170691,17.5,8941,44.0,23.2,49843,47632
432,185,27,20517,20111,170.44802449,0.424492279288,8.5,20570,43.5,34.5,62930,109777
433,44,6,2897,5977,44.77637219,0.261410788382,17.0,8444,38.8,20.2,46262,46091
434,4480,28,107106,89990,1089.6673742,0.543530265998,4.9,48929,41.6,54.5,119731,328934
435,966,12,26970,34903,290.70129177,0.407993539429,4.4,21457,46.2,52.0,112335,124371
436,69,0,16047,23788,652.71795258,0.381334037931,5.5,10313,39.5,45.4,86317,68280
437,599,4,19394,44780,567.90220642,0.426610558531,5.4,14086,35.3,39.8,108421,152882
438,8,2,3112,8363,42.053568485,0.558674985146,10.2,5677,46.1,29.1,62300,28892
439,247,0,1560,5980,28.96395212900001,0.252722772277,5.3,3199,33.4,40.6,85380,34091
440,9,27,11273,7383,92.05239283799999,0.377386508273,10.1,14436,43.8,21.6,55879,72999
441,193,64,37279,32331,294.6853283000001,0.407460898218,7.2,25661,37.9,28.9,65993,187885
442,113,4,2832,11892,10.409040896,0.212377677863,6.8,5833,31.3,23.0,73584,72259
443,160,0,3790,5149,32.561333629,0.616423746889,23.7,4472,46.4,17.0,39522,22347
444,68,6,3182,4165,33.528159615999996,0.284998726547,18.4,5900,37.8,16.7,48830,36643
445,153,82,13166,6732,105.36134777,0.256193791703,19.1,14992,38.1,19.9,47339,93245
446,72,16,10326,10415,165.82597205,0.173935876175,13.9,17934,42.7,17.1,47202,98250
447,768,120,29007,13067,484.51894692,0.376719060214,14.7,50472,37.2,26.4,50644,318316
448,275,158,21071,51090,386.1320543,0.368438710285,11.5,88151,46.8,22.7,52447,367118
449,480,24,30681,48059,1087.7329880999996,0.240736173624,5.0,25021,38.3,51.7,105921,244252
450,975,0,1061,1742,23.193334411,0.32826428946,27.5,2002,38.6,8.9,44951,13024
451,19,0,1641,991,14.790360066,0.526975863701,24.3,2156,39.1,12.4,36132,11361
452,18,0,391,2314,13.309272715,0.2191573204,15.5,1650,42.7,16.2,47600,7956
453,73,0,1886,2668,45.00446495,0.175551470588,14.6,6697,49.4,14.9,44902,24919
455,41,10,6945,10724,104.15446736,0.487070779963,10.3,25177,50.1,36.6,66681,99755
456,2327,85,28354,26894,520.20744436,0.230319535739,13.2,27758,36.3,24.0,61631,204441
457,86,16,8989,4977,138.44689006,0.419892157386,9.2,10365,50.2,38.6,64245,37181
458,1738,18,33257,53410,392.93959344,0.451375237035,6.2,34178,39.2,40.6,95196,259547
459,115,29,13090,8604,90.47132325,0.433846523936,15.1,8703,30.7,33.6,58132,67653
460,167,0,8907,12786,100.14532941,0.283260509266,10.2,5365,35.6,22.6,61341,40889
461,5188,92,88973,167945,826.37524942,0.502491323322,6.4,83650,37.6,34.0,86108,690743
462,181,107,37537,14675,289.59864737,0.483263409282,16.6,29437,37.2,30.4,56478,179179
463,260,20,14571,5267,168.89065797,0.3720776954990001,20.2,9893,36.3,18.5,45234,69922
464,291,8,7295,47959,540.02982095,0.278695376233,7.8,15766,35.8,24.1,73309,168667
465,788,0,16155,29591,436.47087276,0.301318990908,10.8,13440,35.4,26.8,77758,126604
466,484,17,15691,5780,205.8677649,0.303837722684,10.1,12792,37.7,32.3,63067,83779
467,315,16,15468,21045,530.67969719,0.374452652787,9.5,11706,39.9,29.5,64992,78522
468,409,8,5051,9705,67.178650753,0.409002262267,22.8,10866,40.3,12.8,42807,63531
469,156,6,4460,8856,85.458901208,0.1758,9.5,9780,41.8,14.7,53853,51113
470,1580,111,25120,9962,103.07635096,0.397058636923,10.4,19598,32.2,39.4,63885,181923
471,26,7,2400,4507,64.898306838,0.261212485796,15.4,6761,41.4,12.5,46420,36600
472,123,72,9593,6949,58.569438582,0.231791611554,7.4,14205,36.9,35.1,72277,95626
473,230,36,21131,23922,316.57176203,0.302761157977,9.5,26249,40.4,27.5,60044,181806
