fips,county_name,total_population,pop_under18,pop_over65,median_age
46013,"Brown County, South Dakota",38840,9276,6439,36.9
46015,"Brule County, South Dakota",5256,1335,910,41
46017,"Buffalo County, South Dakota",2053,769,172,25.8
46019,"Butte County, South Dakota",10177,2463,1977,40.5
46021,"Campbell County, South Dakota",1435,290,357,51.3
46023,"Charles Mix County, South Dakota",9344,2767,1698,35.9
46025,"Clark County, South Dakota",3673,955,761,41.3
46027,"Clay County, South Dakota",13925,2397,1608,25
46029,"Codington County, South Dakota",27993,6712,4616,38.8
46031,"Corson County, South Dakota",4168,1496,446,28.7
46033,"Custer County, South Dakota",8573,1354,2392,54.3
46035,"Davison County, South Dakota",19901,4517,3525,38.8
46037,"Day County, South Dakota",5506,1195,1394,48
46039,"Deuel County, South Dakota",4306,1004,913,44.4
46041,"Dewey County, South Dakota",5779,2103,552,27.8
46043,"Douglas County, South Dakota",2930,678,692,47.3
46045,"Edmunds County, South Dakota",3940,965,787,43.1
46047,"Fall River County, South Dakota",6774,1191,1797,51.3
46049,"Faulk County, South Dakota",2322,508,589,48.1
46051,"Grant County, South Dakota",7217,1647,1450,43.5
46053,"Gregory County, South Dakota",4201,987,1021,45.5
46055,"Haakon County, South Dakota",2082,494,501,46.5
46057,"Hamlin County, South Dakota",6000,1884,966,35.2
46059,"Hand County, South Dakota",3301,713,793,47.3
46061,"Hanson County, South Dakota",3397,1075,500,36.3
46063,"Harding County, South Dakota",1311,297,233,42.7
46065,"Hughes County, South Dakota",17617,4221,2830,38
46067,"Hutchinson County, South Dakota",7315,1805,1685,43.8
46069,"Hyde County, South Dakota",1331,278,346,51
46071,"Jackson County, South Dakota",3287,1030,467,30.6
46073,"Jerauld County, South Dakota",2029,429,548,50.6
46075,"Jones County, South Dakota",735,101,180,55.9
46077,"Kingsbury County, South Dakota",4967,1094,1111,45.6
46079,"Lake County, South Dakota",12574,2593,2533,43.2
46081,"Lawrence County, South Dakota",25234,4516,5079,41.9
46083,"Lincoln County, South Dakota",54914,15695,6393,34.6
46085,"Lyman County, South Dakota",3869,1113,593,36
46087,"McCook County, South Dakota",5511,1505,1031,40
46089,"McPherson County, South Dakota",2364,474,692,50
46091,"Marshall County, South Dakota",4895,1309,979,39.7
46093,"Meade County, South Dakota",27424,6517,3870,36.2
46095,"Mellette County, South Dakota",2055,654,306,33
46097,"Miner County, South Dakota",2229,568,470,44.1
46099,"Minnehaha County, South Dakota",186749,47291,23211,34.7
46101,"Moody County, South Dakota",6506,1636,1170,40.4
46102,"Oglala Lakota County, South Dakota",14335,5333,977,25.3
46103,"Pennington County, South Dakota",109294,25579,18279,38.6
46105,"Perkins County, South Dakota",2907,625,664,47
46107,"Potter County, South Dakota",2326,505,648,51.3
46109,"Roberts County, South Dakota",10285,2798,1963,38.5
46111,"Sanborn County, South Dakota",2388,528,449,43.1
46115,"Spink County, South Dakota",6543,1603,1323,43.3
46117,"Stanley County, South Dakota",2997,758,549,41.2
46119,"Sully County, South Dakota",1331,317,299,45.5
46121,"Todd County, South Dakota",10146,4089,761,24.3
46123,"Tripp County, South Dakota",5468,1238,1206,46.4
46125,"Turner County, South Dakota",8264,1970,1677,43
46127,"Union County, South Dakota",15177,3665,2559,40.6
46129,"Walworth County, South Dakota",5510,1293,1289,43
46135,"Yankton County, South Dakota",22717,4833,4078,41.8
46137,"Ziebach County, South Dakota",2814,900,252,31.6
47001,"Anderson County, Tennessee",75775,16004,14731,43.3
47003,"Bedford County, Tennessee",47558,12249,7021,37.5
47005,"Benton County, Tennessee",16112,3078,3849,47.4
47007,"Bledsoe County, Tennessee",14602,2369,2648,44.5
47009,"Blount County, Tennessee",128443,26545,25022,43.4
47011,"Bradley County, Tennessee",104557,23205,17356,39.5
47013,"Campbell County, Tennessee",39687,8216,8030,43.8
47015,"Cannon County, Tennessee",13976,2969,2564,42
47017,"Carroll County, Tennessee",28018,5980,5555,42.9
47019,"Carter County, Tennessee",56391,10714,11746,44.9
47021,"Cheatham County, Tennessee",39929,9074,5654,40.4
47023,"Chester County, Tennessee",17150,3865,2840,37.5
47025,"Claiborne County, Tennessee",31613,5966,6051,43
47027,"Clay County, Tennessee",7686,1529,1842,48.8
47029,"Cocke County, Tennessee",35336,7345,7161,44.9
47031,"Coffee County, Tennessee",54531,13133,9327,40.1
47033,"Crockett County, Tennessee",14499,3491,2645,40.4
47035,"Cumberland County, Tennessee",58634,10569,17521,50.7
47037,"Davidson County, Tennessee",684017,145490,79891,34.3
47039,"Decatur County, Tennessee",11683,2488,2710,45.8
47041,"DeKalb County, Tennessee",19601,4259,3527,41.2
47043,"Dickson County, Tennessee",51988,12279,8051,39.4
47045,"Dyer County, Tennessee",37576,9012,6341,40.1
47047,"Fayette County, Tennessee",39692,7966,7948,45.4
47049,"Fentress County, Tennessee",17994,3916,3729,45
47051,"Franklin County, Tennessee",41512,8530,7927,41.9
47053,"Gibson County, Tennessee",49175,11918,8718,40.1
47055,"Giles County, Tennessee",29167,6100,5670,43.4
47057,"Grainger County, Tennessee",23013,4796,4498,44.6
47059,"Greene County, Tennessee",68669,13442,14283,44.5
47061,"Grundy County, Tennessee",13331,2957,2721,43.2
47063,"Hamblen County, Tennessee",63740,14837,11409,40.4
47065,"Hamilton County, Tennessee",357546,74920,60258,39.6
47067,"Hancock County, Tennessee",6585,1340,1319,44.6
47069,"Hardeman County, Tennessee",25562,4985,4480,40.5
47071,"Hardin County, Tennessee",25771,5369,5638,45.3
47073,"Hawkins County, Tennessee",56402,11566,11261,44.6
47075,"Haywood County, Tennessee",17779,4089,3067,40.4
47077,"Henderson County, Tennessee",27859,6429,4888,41.4
47079,"Henry County, Tennessee",32279,6737,7207,45.4
47081,"Hickman County, Tennessee",24678,5359,4044,40.8
47083,"Houston County, Tennessee",8176,1791,1724,43.7
47085,"Humphreys County, Tennessee",18318,3788,3486,41.6
47087,"Jackson County, Tennessee",11615,2137,2492,46.6
47089,"Jefferson County, Tennessee",53247,10870,10312,43.4
47091,"Johnson County, Tennessee",17789,2963,3902,46.1
47093,"Knox County, Tennessee",456185,96826,69073,37.3
47095,"Lake County, Tennessee",7526,1138,1141,40.2
47097,"Lauderdale County, Tennessee",26297,6052,3997,38.2
47099,"Lawrence County, Tennessee",42937,10798,7567,39.4
47101,"Lewis County, Tennessee",11956,2677,2468,43.9
47103,"Lincoln County, Tennessee",33711,7532,6351,43.1
47105,"Loudon County, Tennessee",51610,10251,13135,47.5
47107,"McMinn County, Tennessee",52773,11310,10108,42.7
47109,"McNairy County, Tennessee",25903,5748,5253,42.9
47111,"Macon County, Tennessee",23487,5718,3666,39.4
47113,"Madison County, Tennessee",97682,22177,15556,38.2
47115,"Marion County, Tennessee",28417,6044,5433,43.1
47117,"Marshall County, Tennessee",32269,7670,5034,39
47119,"Maury County, Tennessee",89776,21025,13716,38.8
47121,"Meigs County, Tennessee",11962,2569,2462,44.7
47123,"Monroe County, Tennessee",45876,9928,9357,43.6
47125,"Montgomery County, Tennessee",196387,52952,17496,30.6
47127,"Moore County, Tennessee",6322,1267,1351,45.3
47129,"Morgan County, Tennessee",21596,4129,3573,41.1
47131,"Obion County, Tennessee",30520,6692,5979,43
47133,"Overton County, Tennessee",22004,4905,4362,42.9
47135,"Perry County, Tennessee",7912,1750,1613,43
47137,"Pickett County, Tennessee",5088,945,1349,49.7
47139,"Polk County, Tennessee",16782,3388,3366,45.3
47141,"Putnam County, Tennessee",76440,16022,12617,36.3
47143,"Rhea County, Tennessee",32628,7588,5849,40.2
47145,"Roane County, Tennessee",52897,10053,11618,46.3
47147,"Robertson County, Tennessee",69344,17073,9753,39.1
47149,"Rutherford County, Tennessee",307128,76457,30572,33.3
47151,"Scott County, Tennessee",21954,5359,3562,38.9
47153,"Sequatchie County, Tennessee",14730,3143,2871,43.3
47155,"Sevier County, Tennessee",96287,20134,17934,42.7
47157,"Shelby County, Tennessee",937005,236247,118566,35.4
47159,"Smith County, Tennessee",19458,4504,3137,40.7
47161,"Stewart County, Tennessee",13301,2808,2617,44.5
47163,"Sullivan County, Tennessee",156734,30748,33114,44.9
47165,"Sumner County, Tennessee",179473,43041,27276,39.6
47167,"Tipton County, Tennessee",61446,15386,8469,37.5
47169,"Trousdale County, Tennessee",9573,1896,1351,36
47171,"Unicoi County, Tennessee",17780,3241,4130,46.6
47173,"Union County, Tennessee",19293,4222,3370,42.3
47175,"Van Buren County, Tennessee",5704,1066,1262,47.1
47177,"Warren County, Tennessee",40454,9611,6929,40.2
47179,"Washington County, Tennessee",127055,24697,22227,39.9
47181,"Wayne County, Tennessee",16649,3139,3134,42.9
47183,"Weakley County, Tennessee",33626,6565,5951,38.4
47185,"White County, Tennessee",26580,5929,5263,43.1
47187,"Williamson County, Tennessee",218648,60531,27140,39.2
47189,"Wilson County, Tennessee",132663,31809,20031,40.2
48001,"Anderson County, Texas",57863,11215,8199,39.1
48003,"Andrews County, Texas",17818,5519,1843,31.2
48005,"Angelina County, Texas",87607,22693,13627,37.2
48007,"Aransas County, Texas",24763,4719,6581,49.6
48009,"Archer County, Texas",8789,1912,1694,44.5
48011,"Armstrong County, Texas",1916,396,400,46.3
48013,"Atascosa County, Texas",48828,13562,6921,35.4
48015,"Austin County, Texas",29565,7105,5394,40.7
48017,"Bailey County, Texas",7092,2024,1000,33.5
48019,"Bandera County, Texas",21763,3759,5633,52.1
48021,"Bastrop County, Texas",82577,21096,11725,38.6
48023,"Baylor County, Texas",3591,800,872,47.3
48025,"Bee County, Texas",32691,6949,3879,35.4
48027,"Bell County, Texas",342236,95108,35199,30.8
48029,"Bexar County, Texas",1925865,499124,223805,33.4
48031,"Blanco County, Texas",11279,2057,2697,49.9
48033,"Borden County, Texas",665,172,173,42.5
48035,"Bosque County, Texas",18122,3900,4428,46.7
48037,"Bowie County, Texas",93858,22262,14992,38.1
48039,"Brazoria County, Texas",353999,94513,39980,35.6
48041,"Brazos County, Texas",219193,45169,18907,26.2
48043,"Brewster County, Texas",9216,1782,1987,43.3
48045,"Briscoe County, Texas",1546,291,364,46.3
48047,"Brooks County, Texas",7180,1845,1113,32.7
48049,"Brown County, Texas",37834,8623,7236,41.3
48051,"Burleson County, Texas",17863,4000,3628,42.6
48053,"Burnet County, Texas",45750,9854,9939,44.2
48055,"Caldwell County, Texas",41401,10090,5562,35.4
48057,"Calhoun County, Texas",21807,5446,3669,37.7
48059,"Callahan County, Texas",13770,3221,2751,42.9
48061,"Cameron County, Texas",421750,131067,54181,31.5
48063,"Camp County, Texas",12813,3399,2301,38.7
48065,"Carson County, Texas",6032,1541,1057,40.3
48067,"Cass County, Texas",30087,6812,6474,43.4
48069,"Castro County, Texas",7787,2279,1151,35.3
48071,"Chambers County, Texas",40292,11287,4408,35.4
48073,"Cherokee County, Texas",51903,13223,8775,37.8
48075,"Childress County, Texas",7226,1348,955,30.9
48077,"Clay County, Texas",10387,2153,2311,46.2
48079,"Cochran County, Texas",2904,821,440,34.5
48081,"Coke County, Texas",3275,679,892,50.3
48083,"Coleman County, Texas",8391,1829,2010,46.5
48085,"Collin County, Texas",944350,250994,98040,36.6
48087,"Collingsworth County, Texas",2996,726,542,39.2
48089,"Colorado County, Texas",21022,4894,4463,42.5
48091,"Comal County, Texas",135097,30940,23967,42
48093,"Comanche County, Texas",13495,3023,3261,44.8
48095,"Concho County, Texas",4233,541,755,41.9
48097,"Cooke County, Texas",39571,9504,7044,40.4
48099,"Coryell County, Texas",75389,17809,7013,31.5
48101,"Cottle County, Texas",1623,547,350,37.9
48103,"Crane County, Texas",4839,1506,581,32.4
48105,"Crockett County, Texas",3633,984,539,35.9
48107,"Crosby County, Texas",5861,1591,1058,38.1
48109,"Culberson County, Texas",2241,536,428,43
48111,"Dallam County, Texas",7243,2281,751,31.6
48113,"Dallas County, Texas",2586552,687769,263792,33.3
48115,"Dawson County, Texas",12964,3164,1848,33
48117,"Deaf Smith County, Texas",18899,5936,2316,32
48119,"Delta County, Texas",5215,1220,1042,42.3
48121,"Denton County, Texas",807047,205076,76665,35.2
48123,"DeWitt County, Texas",20435,4625,3930,40.9
48125,"Dickens County, Texas",2216,480,513,43.9
48127,"Dimmit County, Texas",10663,3195,1734,33.7
48129,"Donley County, Texas",3387,686,789,41.6
48131,"Duval County, Texas",11355,2962,2025,36.1
48133,"Eastland County, Texas",18270,3741,4107,42.4
48135,"Ector County, Texas",158342,47594,14971,30.3
48137,"Edwards County, Texas",2055,347,569,49.3
48139,"Ellis County, Texas",168838,45513,20837,36.1
48141,"El Paso County, Texas",837654,232475,97464,32
48143,"Erath County, Texas",41482,8744,5718,30
48145,"Falls County, Texas",17299,3677,2983,39.3
48147,"Fannin County, Texas",34175,7244,6445,41.9
48149,"Fayette County, Texas",25066,5206,6023,47
48151,"Fisher County, Texas",3883,807,892,44.4
48153,"Floyd County, Texas",5872,1579,1097,36.9
48155,"Foard County, Texas",1408,262,379,49.3
48157,"Fort Bend County, Texas",739342,205484,74854,36
48159,"Franklin County, Texas",10679,2603,2221,43
48161,"Freestone County, Texas",19709,4546,3787,40.4
48163,"Frio County, Texas",19394,4619,2381,31.4
48165,"Gaines County, Texas",20321,7284,1765,27.9
48167,"Galveston County, Texas",327089,80265,44264,37.5
48169,"Garza County, Texas",6288,1051,781,39
48171,"Gillespie County, Texas",26208,5206,7611,50.3
48173,"Glasscock County, Texas",1430,338,173,36
48175,"Goliad County, Texas",7531,1616,1615,46
48177,"Gonzales County, Texas",20667,5588,3332,36.5
48179,"Gray County, Texas",22685,5820,3568,36.6
48181,"Grayson County, Texas",128560,30577,22290,39.9
48183,"Gregg County, Texas",123494,31982,18205,35.4
48185,"Grimes County, Texas",27630,6220,4554,40.3
48187,"Guadalupe County, Texas",155137,39877,20739,36.7
48189,"Hale County, Texas",34113,9358,4492,33.1
48191,"Hall County, Texas",3074,714,709,43.5
48193,"Hamilton County, Texas",8269,1707,2082,46
48195,"Hansford County, Texas",5547,1633,863,34.3
48197,"Hardeman County, Texas",3952,915,799,42.4
48199,"Hardin County, Texas",56379,13993,9195,39
48201,"Harris County, Texas",4602523,1240376,452327,33.3
48203,"Harrison County, Texas",66645,17048,10680,37.9
48205,"Hartley County, Texas",5767,1250,827,39.1
48207,"Haskell County, Texas",5809,1118,1261,42.4
48209,"Hays County, Texas",204150,47497,21285,31.6
48211,"Hemphill County, Texas",4061,1302,540,35.2
48213,"Henderson County, Texas",80460,17484,17400,43.9
48215,"Hidalgo County, Texas",849389,282420,90250,29.1
48217,"Hill County, Texas",35399,8299,7220,42.1
48219,"Hockley County, Texas",23162,6091,3192,33.5
48221,"Hood County, Texas",56901,11996,13807,46.7
48223,"Hopkins County, Texas",36240,9058,6478,39.5
48225,"Houston County, Texas",22955,4481,4834,44
48227,"Howard County, Texas",36667,8012,4596,36.6
48229,"Hudspeth County, Texas",4098,980,639,37.6
48231,"Hunt County, Texas",92152,22128,14522,37.8
48233,"Hutchinson County, Texas",21571,5597,3387,37.3
48235,"Irion County, Texas",1524,356,289,44.1
48237,"Jack County, Texas",8842,1866,1504,39.7
48239,"Jackson County, Texas",14820,3796,2491,38.5
48241,"Jasper County, Texas",35504,8592,6730,40.9
48243,"Jeff Davis County, Texas",2234,424,706,54.8
48245,"Jefferson County, Texas",255210,60949,35455,36
48247,"Jim Hogg County, Texas",5282,1659,932,34.7
48249,"Jim Wells County, Texas",41192,11591,6011,34.8
48251,"Johnson County, Texas",163475,42718,22330,36.8
48253,"Jones County, Texas",19891,3497,2968,38.5
48255,"Karnes County, Texas",15387,3258,2150,34.7
48257,"Kaufman County, Texas",118910,32967,14036,35.6
48259,"Kendall County, Texas",41982,9854,7894,42.1
48261,"Kenedy County, Texas",595,167,136,39.5
48263,"Kent County, Texas",749,167,227,51.8
48265,"Kerr County, Texas",51365,9999,13819,47.7
48267,"Kimble County, Texas",4408,889,1273,52.9
48269,"King County, Texas",228,61,33,46.5
48271,"Kinney County, Texas",3675,655,751,41.7
48273,"Kleberg County, Texas",31425,7720,4037,28
48275,"Knox County, Texas",3733,1021,683,39.5
48277,"Lamar County, Texas",49532,11791,9227,40.8
48279,"Lamb County, Texas",13262,3722,2144,36
48281,"Lampasas County, Texas",20640,4732,3763,42.2
48283,"La Salle County, Texas",7409,1621,1034,33.8
48285,"Lavaca County, Texas",19941,4720,4549,43.5
48287,"Lee County, Texas",16952,3789,3106,41.5
48289,"Leon County, Texas",17098,3903,4087,45
48291,"Liberty County, Texas",81862,21047,10537,35.7
48293,"Limestone County, Texas",23515,5380,4283,40
48295,"Lipscomb County, Texas",3469,929,530,34.9
48297,"Live Oak County, Texas",12123,2432,2423,42.2
48299,"Llano County, Texas",20640,3020,7418,57.6
48301,"Loving County, Texas",102,24,25,55.4
48303,"Lubbock County, Texas",301454,72603,36090,30.7
48305,"Lynn County, Texas",5808,1542,978,38.2
48307,"McCulloch County, Texas",8098,1866,1789,44.6
48309,"McLennan County, Texas",248429,61723,34440,33.2
48311,"McMullen County, Texas",662,174,137,40.2
48313,"Madison County, Texas",14128,3025,2062,34.7
48315,"Marion County, Texas",10083,1847,2544,50.1
48317,"Martin County, Texas",5614,1754,655,32.2
48319,"Mason County, Texas",4161,885,1044,46.9
48321,"Matagorda County, Texas",36743,9525,5900,37.8
48323,"Maverick County, Texas",57970,18407,6596,29.6
48325,"Medina County, Texas",49334,11519,7944,39.3
48327,"Menard County, Texas",2123,304,564,49.1
48329,"Midland County, Texas",164194,46263,16793,31.7
48331,"Milam County, Texas",24664,6070,4862,41.3
48333,"Mills County, Texas",4902,1090,1413,50.6
48335,"Mitchell County, Texas",8558,1649,1298,34.1
48337,"Montague County, Texas",19409,4442,4229,43.4
48339,"Montgomery County, Texas",554445,147644,69473,36.9
48341,"Moore County, Texas",21801,6916,2264,30.2
48343,"Morris County, Texas",12424,2841,2639,43
48345,"Motley County, Texas",1156,310,338,38.3
48347,"Nacogdoches County, Texas",65558,15342,8992,30.6
48349,"Navarro County, Texas",48583,12754,8084,38.6
48351,"Newton County, Texas",14057,2879,2758,44.3
48353,"Nolan County, Texas",14966,3892,2653,38.5
48355,"Nueces County, Texas",360486,90004,49345,35.3
48357,"Ochiltree County, Texas",10348,3271,1038,31.6
48359,"Oldham County, Texas",2090,764,294,29.8
48361,"Orange County, Texas",84047,20860,12906,37.8
48363,"Palo Pinto County, Texas",28317,6682,5419,40.5
48365,"Panola County, Texas",23440,5574,4226,39.3
48367,"Parker County, Texas",129802,32191,19539,39.7
48369,"Parmer County, Texas",9852,2878,1276,33.9
48371,"Pecos County, Texas",15797,3861,1998,35.9
48373,"Polk County, Texas",47837,9804,8908,43.6
48375,"Potter County, Texas",120899,33362,14411,33.8
48377,"Presidio County, Texas",7123,1937,1596,41.8
48379,"Rains County, Texas",11473,2303,2821,48.3
48381,"Randall County, Texas",132475,31948,18914,35.6
48383,"Reagan County, Texas",3752,1112,350,31.4
48385,"Real County, Texas",3389,684,1117,55
48387,"Red River County, Texas",12275,2463,2903,45.6
48389,"Reeves County, Texas",15125,3370,1824,35.6
48391,"Refugio County, Texas",7236,1699,1550,41.9
48393,"Roberts County, Texas",885,277,200,38
48395,"Robertson County, Texas",16890,4063,3200,40.9
48397,"Rockwall County, Texas",93642,25707,11091,37.6
48399,"Runnels County, Texas",10310,2485,2127,40.8
48401,"Rusk County, Texas",53595,12251,8610,38.5
48403,"Sabine County, Texas",10458,1964,3162,52.7
48405,"San Augustine County, Texas",8327,1668,2134,49.4
48407,"San Jacinto County, Texas",27819,6122,6114,44.7
48409,"San Patricio County, Texas",67046,18198,9623,35.3
48411,"San Saba County, Texas",5962,1218,1342,40.7
48413,"Schleicher County, Texas",3061,842,485,35
48415,"Scurry County, Texas",17239,4303,2592,36.1
48417,"Shackelford County, Texas",3311,784,609,43
48419,"Shelby County, Texas",25478,6846,4291,37.2
48421,"Sherman County, Texas",3058,710,435,40.4
48423,"Smith County, Texas",225015,55686,35671,36.6
48425,"Somervell County, Texas",8743,2015,1575,40.9
48427,"Starr County, Texas",63894,21179,7133,28.7
48429,"Stephens County, Texas",9372,2109,1793,38.6
48431,"Sterling County, Texas",1141,327,159,44.9
48433,"Stonewall County, Texas",1385,308,373,52
48435,"Sutton County, Texas",3865,954,653,38.4
48437,"Swisher County, Texas",7484,1900,1340,35.7
48439,"Tarrant County, Texas",2019977,540281,216591,34.3
48441,"Taylor County, Texas",136348,33679,19155,32.3
48443,"Terrell County, Texas",862,113,273,51.9
48445,"Terry County, Texas",12615,3460,1921,34.7
48447,"Throckmorton County, Texas",1567,308,390,46.6
48449,"Titus County, Texas",32730,9534,4478,33.8
48451,"Tom Green County, Texas",117466,27887,17461,33.9
48453,"Travis County, Texas",1203166,269284,110350,33.9
48455,"Trinity County, Texas",14569,2950,3878,48.7
48457,"Tyler County, Texas",21496,4079,4610,42.7
48459,"Upshur County, Texas",40769,9867,7098,40.9
48461,"Upton County, Texas",3634,1056,546,37.2
48463,"Uvalde County, Texas",27009,7374,4535,33.9
48465,"Val Verde County, Texas",49027,14100,6894,31.7
48467,"Van Zandt County, Texas",54368,12668,10938,42.9
48469,"Victoria County, Texas",91970,23571,14171,35.7
48471,"Walker County, Texas",71539,10876,8717,35.4
48473,"Waller County, Texas",49987,12186,5757,29
48475,"Ward County, Texas",11586,3190,1596,33.2
48477,"Washington County, Texas",34796,7713,7239,41.6
48479,"Webb County, Texas",272053,91335,24386,28.6
48481,"Wharton County, Texas",41551,10818,6767,37.2
48483,"Wheeler County, Texas",5482,1424,1015,39
48485,"Wichita County, Texas",131818,29751,18676,34.3
48487,"Wilbarger County, Texas",12906,2911,2294,37.8
48489,"Willacy County, Texas",21754,5302,2906,33.6
48491,"Williamson County, Texas",527057,138907,60686,36.1
48493,"Wilson County, Texas",48198,11791,7229,40.2
48495,"Winkler County, Texas",7802,2361,889,32.5
48497,"Wise County, Texas",64639,16143,9502,38.4
48499,"Wood County, Texas",43815,8516,11770,48.2
48501,"Yoakum County, Texas",8571,2827,971,31.2
48503,"Young County, Texas",18114,4386,3585,41.4
48505,"Zapata County, Texas",14369,4835,1999,29.6
48507,"Zavala County, Texas",12131,3583,1665,32.9
49001,"Beaver County, Utah",6443,2066,912,33.4
49003,"Box Elder County, Utah",53001,17080,6615,32.5
49005,"Cache County, Utah",122336,37598,10808,25.1
49007,"Carbon County, Utah",20356,5431,3291,37.2
49009,"Daggett County, Utah",612,127,100,46.1
49011,"Davis County, Utah",340621,111690,32621,30.8
49013,"Duchesne County, Utah",20219,6897,2240,31
49015,"Emery County, Utah",10248,3118,1635,35.4
49017,"Garfield County, Utah",5017,1205,1031,41.2
49019,"Grand County, Utah",9616,1999,1597,40.7
49021,"Iron County, Utah",49691,14451,6072,29.1
49023,"Juab County, Utah",10948,3808,1262,30.4
49025,"Kane County, Utah",7350,1709,1644,41.7
49027,"Millard County, Utah",12733,3962,2045,35.8
49029,"Morgan County, Utah",11391,4063,1287,32.4
49031,"Piute County, Utah",1904,442,479,44.7
49033,"Rich County, Utah",2350,854,440,30.6
49035,"Salt Lake County, Utah",1120805,311760,114930,32.6
49037,"San Juan County, Utah",15281,4858,2007,31.5
49039,"Sanpete County, Utah",29366,7775,3900,31.9
49041,"Sevier County, Utah",21118,6362,3332,35.2
49043,"Summit County, Utah",40511,10303,4487,39
49045,"Tooele County, Utah",65185,21906,5833,31.3
49047,"Uintah County, Utah",36323,12260,3564,30.3
49049,"Utah County, Utah",590440,201857,43689,24.6
49051,"Wasatch County, Utah",30523,9818,3199,33.4
49053,"Washington County, Utah",160537,43680,32828,36.4
49055,"Wayne County, Utah",2694,701,536,41
49057,"Weber County, Utah",247731,71269,27885,32.5
50001,"Addison County, Vermont",36939,6474,6832,43.7
50003,"Bennington County, Vermont",35920,6920,7906,47
50005,"Caledonia County, Vermont",30425,6005,5866,44.2
50007,"Chittenden County, Vermont",162052,29468,22828,36.5
50009,"Essex County, Vermont",6208,1113,1526,50.4
50011,"Franklin County, Vermont",49025,11140,7317,40
50013,"Grand Isle County, Vermont",6965,1235,1349,47.8
50015,"Lamoille County, Vermont",25268,5253,4077,40.9
50017,"Orange County, Vermont",28937,5448,5677,46.1
50019,"Orleans County, Vermont",26911,5284,5838,45.8
50021,"Rutland County, Vermont",59273,10595,12283,46.6
50023,"Washington County, Vermont",58477,11236,10802,43.7
50025,"Windham County, Vermont",43150,7929,9065,47
50027,"Windsor County, Vermont",55427,10246,12184,47.7
51001,"Accomack County, Virginia",32742,6881,7171,45.9
51003,"Albemarle County, Virginia",106355,21734,18447,38.8
51005,"Alleghany County, Virginia",15286,2939,3561,47.4
51007,"Amelia County, Virginia",12854,2777,2425,46
51009,"Amherst County, Virginia",31882,6322,6384,44.3
51011,"Appomattox County, Virginia",15577,3344,3100,42.9
51013,"Arlington County, Virginia",231803,40777,23483,34.5
51015,"Augusta County, Virginia",74701,14578,14821,44.8
51017,"Bath County, Virginia",4393,713,865,47.6
51019,"Bedford County, Virginia",77908,15762,15857,46.2
51021,"Bland County, Virginia",6447,1049,1407,46.1
51023,"Botetourt County, Virginia",33222,6575,7053,47
51025,"Brunswick County, Virginia",16665,2820,3367,43.2
51027,"Buchanan County, Virginia",22138,3979,4562,46.5
51029,"Buckingham County, Virginia",17004,3182,3107,42.7
51031,"Campbell County, Virginia",55170,11024,10556,42.8
51033,"Caroline County, Virginia",30184,6981,4808,40
51035,"Carroll County, Virginia",29738,5590,6876,47.4
51036,"Charles City County, Virginia",6995,1099,1602,50.3
51037,"Charlotte County, Virginia",12095,2599,2604,45.8
51041,"Chesterfield County, Virginia",339447,81792,47282,38.8
51043,"Clarke County, Virginia",14365,3023,2889,46.6
51045,"Craig County, Virginia",5113,884,1184,48.3
51047,"Culpeper County, Virginia",50450,12705,7561,38.8
51049,"Cumberland County, Virginia",9786,1973,2070,45.5
51051,"Dickenson County, Virginia",14960,2957,3104,44.3
51053,"Dinwiddie County, Virginia",28308,5796,4706,43.2
51057,"Essex County, Virginia",11036,2257,2379,46
51059,"Fairfax County, Virginia",1143529,270503,144212,37.9
51061,"Fauquier County, Virginia",69115,16319,10890,41.4
51063,"Floyd County, Virginia",15666,3136,3407,47
51065,"Fluvanna County, Virginia",26282,5296,4985,43.3
51067,"Franklin County, Virginia",56233,10880,12520,46.6
51069,"Frederick County, Virginia",85153,19784,13804,40.6
51071,"Giles County, Virginia",16814,3492,3527,44.5
51073,"Gloucester County, Virginia",37161,7486,6788,44.7
51075,"Goochland County, Virginia",22482,4146,4686,48.3
51077,"Grayson County, Virginia",15811,2716,3680,47.7
51079,"Greene County, Virginia",19410,4673,3135,40.1
51081,"Greensville County, Virginia",11659,1895,1720,39.8
51083,"Halifax County, Virginia",34779,7152,7951,46.1
51085,"Hanover County, Virginia",104449,23397,17287,42.9
51087,"Henrico County, Virginia",325642,75193,47493,38.5
51089,"Henry County, Virginia",51588,10136,11897,47.2
51091,"Highland County, Virginia",2214,290,814,59.3
51093,"Isle of Wight County, Virginia",36372,7654,6528,44.4
51095,"James City County, Virginia",74153,15119,17930,46.4
51097,"King and Queen County, Virginia",7052,1336,1572,45.7
51099,"King George County, Virginia",25890,6616,3221,37.3
51101,"King William County, Virginia",16497,3811,2532,41.4
51103,"Lancaster County, Virginia",10804,1678,3836,56.7
51105,"Lee County, Virginia",24134,4580,4759,44.4
51107,"Loudoun County, Virginia",385143,110986,33265,36
51109,"Louisa County, Virginia",35380,7288,6684,44.7
51111,"Lunenburg County, Virginia",12278,2301,2578,45.5
51113,"Madison County, Virginia",13139,2727,2769,44.8
51115,"Mathews County, Virginia",8796,1335,2621,52.9
51117,"Mecklenburg County, Virginia",30847,5802,7713,48.4
51119,"Middlesex County, Virginia",10700,1696,3304,53.4
51121,"Montgomery County, Virginia",97997,15358,11648,28.5
51125,"Nelson County, Virginia",14812,2727,3727,50.1
