fips,county_name,total_population,pop_under18,pop_over65,median_age
38043,"Kidder County, North Dakota",2460,511,483,45.2
38045,"LaMoure County, North Dakota",4100,854,1004,48.4
38047,"Logan County, North Dakota",1927,372,575,52.6
38049,"McHenry County, North Dakota",5927,1408,1179,42.8
38051,"McIntosh County, North Dakota",2654,466,832,53.5
38053,"McKenzie County, North Dakota",12536,3818,1132,30.7
38055,"McLean County, North Dakota",9608,2064,2152,46.1
38057,"Mercer County, North Dakota",8570,1933,1506,43.9
38059,"Morton County, North Dakota",30544,6830,4727,37.7
38061,"Mountrail County, North Dakota",10152,2681,1129,33.5
38063,"Nelson County, North Dakota",2920,534,806,52.9
38065,"Oliver County, North Dakota",1837,441,441,50
38067,"Pembina County, North Dakota",7016,1458,1537,47.9
38069,"Pierce County, North Dakota",4210,892,975,45.8
38071,"Ramsey County, North Dakota",11557,2702,2187,41.6
38073,"Ransom County, North Dakota",5361,1159,1132,46.4
38075,"Renville County, North Dakota",2495,583,446,41
38077,"Richland County, North Dakota",16288,3462,2731,37.8
38079,"Rolette County, North Dakota",14603,4950,1599,30.8
38081,"Sargent County, North Dakota",3883,759,833,45.1
38083,"Sheridan County, North Dakota",1405,228,393,51.5
38085,"Sioux County, North Dakota",4413,1599,337,28.2
38087,"Slope County, North Dakota",704,151,192,50.8
38089,"Stark County, North Dakota",30876,7810,3955,33.9
38091,"Steele County, North Dakota",1910,383,447,50.5
38093,"Stutsman County, North Dakota",21064,4254,3845,40.2
38095,"Towner County, North Dakota",2246,512,523,47.8
38097,"Traill County, North Dakota",8019,1824,1515,41.3
38099,"Walsh County, North Dakota",10802,2457,2227,44.4
38101,"Ward County, North Dakota",69034,16262,8276,31.4
38103,"Wells County, North Dakota",4055,836,1090,52.1
38105,"Williams County, North Dakota",34061,9290,3135,31.5
39001,"Adams County, Ohio",27878,6850,4711,42
39003,"Allen County, Ohio",103642,24117,17319,39
39005,"Ashland County, Ohio",53477,12169,9580,40.3
39007,"Ashtabula County, Ohio",98136,21911,17737,42.4
39009,"Athens County, Ohio",65936,9804,7964,28.9
39011,"Auglaize County, Ohio",45784,11125,7946,41.3
39013,"Belmont County, Ohio",68472,13041,13591,44.5
39015,"Brown County, Ohio",43679,10094,7612,41.8
39017,"Butler County, Ohio",378294,90144,52872,36.5
39019,"Carroll County, Ohio",27578,5763,5580,45.3
39021,"Champaign County, Ohio",38864,8783,6904,42.4
39023,"Clark County, Ohio",135198,30713,25265,41.1
39025,"Clermont County, Ohio",203216,47954,30876,39.8
39027,"Clinton County, Ohio",41896,9859,6750,39.9
39029,"Columbiana County, Ohio",104003,21521,20059,44
39031,"Coshocton County, Ohio",36574,8633,6761,41.4
39033,"Crawford County, Ohio",42021,9219,8436,43
39035,"Cuyahoga County, Ohio",1253783,264692,217416,40.3
39037,"Darke County, Ohio",51734,12420,9780,41.8
39039,"Defiance County, Ohio",38279,8900,6728,40.6
39041,"Delaware County, Ohio",197008,53232,25025,38.6
39043,"Erie County, Ohio",75136,15464,15642,44.8
39045,"Fairfield County, Ohio",152910,37048,23108,39.3
39047,"Fayette County, Ohio",28645,6849,4858,40.7
