,date_0days,cases_0days,deaths_0days,date_60days,cases_60days,deaths_60days,fips
0,2020-01-21,1,0,2020-03-21,446,9,53061
1,2020-01-24,1,0,2020-03-24,1194,12,17031
2,2020-01-25,1,0,2020-03-25,187,1,6059
3,2020-01-26,1,0,2020-03-26,1216,21,6037
4,2020-01-26,1,0,2020-03-26,299,4,4013
5,2020-01-31,1,0,2020-03-31,890,31,6085
6,2020-02-01,1,0,2020-04-01,1624,15,25025
7,2020-02-02,2,0,2020-04-02,450,7,6075
8,2020-02-05,1,0,2020-04-05,269,8,55025
9,2020-02-10,1,0,2020-04-10,1696,44,6073
10,2020-02-12,1,0,2020-04-12,734,27,48029
11,2020-02-17,10,0,2020-04-17,287,8,31055
12,2020-02-20,1,0,2020-04-20,52,0,6023
13,2020-02-21,1,0,2020-04-21,954,35,6067
14,2020-02-24,4,0,2020-04-24,330,19,53063
15,2020-02-24,1,0,2020-04-24,199,4,6095
16,2020-02-25,1,0,2020-04-25,2051,25,49035
17,2020-02-26,1,0,2020-04-26,220,2,6097
18,2020-02-26,1,0,2020-04-26,61,2,6055
19,2020-02-26,1,0,2020-04-26,224,12,6041
20,2020-02-28,1,0,2020-04-28,474,11,41067
21,2020-02-28,1,0,2020-04-28,6056,429,53033
22,2020-03-01,1,0,2020-04-30,580,55,12081
23,2020-03-01,1,0,2020-04-30,1124,23,12057
24,2020-03-01,1,0,2020-04-30,1624,63,6001
25,2020-03-02,1,0,2020-05-01,6065,522,25021
26,2020-03-02,1,0,2020-05-01,51,1,33009
27,2020-03-02,1,0,2020-05-01,86,0,53071
28,2020-03-02,2,0,2020-05-01,2880,122,13121
29,2020-03-02,1,0,2020-05-01,150,8,6061
30,2020-03-02,1,0,2020-05-01,1197,52,6081
31,2020-03-03,1,0,2020-05-02,870,19,37183
32,2020-03-03,1,0,2020-05-02,934,28,6013
33,2020-03-04,1,0,2020-05-03,16185,1210,34003
34,2020-03-04,9,0,2020-05-03,29884,1203,36119
35,2020-03-04,1,0,2020-05-03,1183,28,48157
36,2020-03-04,1,0,2020-05-03,123,6,53007
37,2020-03-05,1,0,2020-05-04,36965,2221,36059
38,2020-03-05,1,0,2020-05-04,988,35,32031
39,2020-03-05,1,0,2020-05-04,4411,223,32003
40,2020-03-05,4,0,2020-05-04,6967,140,48201
41,2020-03-05,1,0,2020-05-04,431,9,47187
42,2020-03-05,1,0,2020-05-04,15757,997,25017
43,2020-03-05,3,0,2020-05-04,5411,301,24031
44,2020-03-05,1,0,2020-05-04,158,8,12113
45,2020-03-05,1,0,2020-05-04,1431,85,8059
46,2020-03-05,1,0,2020-05-04,531,23,8035
47,2020-03-06,1,0,2020-05-05,645,36,40143
48,2020-03-06,1,0,2020-05-05,403,11,37037
49,2020-03-06,2,0,2020-05-05,12144,383,36087
50,2020-03-06,1,0,2020-05-05,4251,180,34007
51,2020-03-06,1,0,2020-05-05,4326,320,42045
52,2020-03-06,1,0,2020-05-05,109,5,42127
53,2020-03-06,1,0,2020-05-05,368,22,53011
54,2020-03-06,1,0,2020-05-05,463,8,45019
55,2020-03-06,1,0,2020-05-05,583,37,27123
56,2020-03-06,1,0,2020-05-05,1558,54,53053
57,2020-03-06,1,0,2020-05-05,28,0,53031
58,2020-03-06,1,0,2020-05-05,302,2,49011
59,2020-03-06,1,0,2020-05-05,247,10,45055
60,2020-03-06,1,0,2020-05-05,85,0,49053
61,2020-03-06,1,0,2020-05-05,478,15,4021
62,2020-03-06,2,0,2020-05-05,3546,188,8031
63,2020-03-06,1,0,2020-05-05,172,19,6113
64,2020-03-06,1,0,2020-05-05,298,9,21067
65,2020-03-06,1,0,2020-05-05,6469,398,18097
66,2020-03-06,1,0,2020-05-05,404,11,15003
67,2020-03-06,1,0,2020-05-05,61,0,13233
68,2020-03-06,1,1,2020-05-05,1159,49,12071
69,2020-03-06,2,0,2020-05-05,5492,215,12011
70,2020-03-06,1,0,2020-05-05,1028,78,8041
71,2020-03-06,1,0,2020-05-05,547,7,8037
72,2020-03-07,1,0,2020-05-06,39,0,41035
