,date_0days,cases_0days,deaths_0days,date_70days,cases_70days,deaths_70days,fips,icu_beds,kaiser_total_population,kaiser_60plus_population,commuting_within,commuting_out,commuting_in,density,pop_2019,percent_democrat,percent_gop,percent_in_poverty
412,2020-03-15,3,0,2020-05-24,7559,508,25023,47,509114,119899,136325,110866,55732,791.40182088,521202,0.506601859423,0.434276672421,6.2
413,2020-03-15,1,0,2020-05-24,5687,542,25013,119,469188,103567,167034,42218,36149,755.86978552,466372,0.55095894516,0.390720207771,16.7
414,2020-03-15,1,0,2020-05-24,1925,52,17201,87,287512,65218,107129,21596,27099,550.65493316,282572,0.465331292523,0.477071850089,16.1
415,2020-03-15,1,0,2020-05-24,135,10,17195,9,56823,14999,17799,8219,4591,80.653498449,55175,0.436533121777,0.499682665609,10.5
416,2020-03-15,1,0,2020-05-24,176,16,17027,4,37640,8553,8805,10101,3446,79.254531794,37562,0.228109798471,0.7177438035670001,8.2
417,2020-03-15,1,0,2020-05-24,118,6,15009,20,164094,37939,78196,1173,985,144.13488696,167417,0.64454583959,0.25884640560600003,8.6
418,2020-03-15,1,0,2020-05-24,304,10,13217,10,105042,18455,17207,25405,10265,408.12156823,111744,0.500970607715,0.477470482107,14.8
419,2020-03-15,1,0,2020-05-24,37,0,21049,8,35757,8552,8719,6942,4948,143.62305774,36263,0.290619403446,0.6613968998950001,16.0
420,2020-03-15,1,0,2020-05-24,3744,108,19153,112,467235,81860,211905,22991,64988,856.60533826,490161,0.5239077138600001,0.408987829437,9.9
421,2020-03-15,1,0,2020-05-24,1109,96,18057,10,309687,49209,75774,76342,52159,857.14024676,338011,0.37241424201,0.5682418798409999,4.2
422,2020-03-15,2,0,2020-05-24,118,4,19005,0,13940,4004,4192,2562,1118,21.417938912,13687,0.352347520842,0.595582857979,11.7
423,2020-03-16,1,0,2020-05-25,1312,45,37063,148,300865,51648,97580,44478,99486,1122.1784672,321488,0.789030376703,0.185189613599,13.5
424,2020-03-16,1,0,2020-05-25,257,29,39055,12,93895,23672,19423,26377,16145,233.94676271,93649,0.352203709783,0.606881976362,5.7
425,2020-03-16,1,0,2020-05-25,128,3,40017,8,132922,23558,23429,38226,11362,165.41304517,148306,0.211149321267,0.72342081448,7.3
426,2020-03-16,1,0,2020-05-25,55,5,41003,12,88249,18413,30157,8723,10147,137.81919361,93053,0.623801478816,0.285889812844,15.8
427,2020-03-16,1,0,2020-05-25,1981,113,36067,152,467669,103054,201920,15257,44431,591.64396863,460528,0.536121732426,0.4077734134880001,13.7
428,2020-03-16,1,0,2020-05-25,46,0,33003,8,47524,16281,16830,5466,4759,52.486314756999995,48910,0.44685682827,0.503561229054,9.0
429,2020-03-16,1,0,2020-05-25,80,8,29037,9,101888,22296,18215,29184,8177,151.84868186,105780,0.292142364192,0.650813368826,8.1
430,2020-03-16,1,0,2020-05-25,246,24,28095,9,35967,9309,8405,5542,2502,46.075711377,35252,0.34756986249300004,0.640453710158,16.4
431,2020-03-16,1,0,2020-05-25,88,11,28045,6,46277,11941,9902,8302,7573,100.49706734,47632,0.189530170691,0.783239139122,17.5
432,2020-03-16,1,0,2020-05-25,185,12,36069,27,109491,27978,32239,20111,20517,170.44802449,109777,0.424492279288,0.5107208794899999,8.5
433,2020-03-16,2,0,2020-05-25,44,0,36003,6,47400,11338,13849,5977,2897,44.77637219,46091,0.261410788382,0.6844719770909999,17.0
434,2020-03-16,4,0,2020-05-25,4480,399,34035,28,333316,67698,77232,89990,107106,1089.6673742,328934,0.543530265998,0.419062684361,4.9
435,2020-03-16,1,0,2020-05-25,966,57,34019,12,125717,30279,29468,34903,26970,290.70129177,124371,0.407993539429,0.546385764076,4.4
436,2020-03-16,1,0,2020-05-25,69,3,51199,0,67196,14070,8592,23788,16047,652.71795258,68280,0.381334037931,0.552609946568,5.5
437,2020-03-16,1,0,2020-05-25,599,4,51179,4,141159,19771,23234,44780,19394,567.90220642,152882,0.426610558531,0.517827084927,5.4
438,2020-03-16,1,0,2020-05-25,8,0,50017,2,28901,7904,6476,8363,3112,42.053568485,28892,0.558674985146,0.371137849079,10.2
439,2020-03-16,1,0,2020-05-25,247,1,49051,0,29306,4220,6251,5980,1560,28.963952129000006,34091,0.252722772277,0.504537953795,5.3
440,2020-03-16,1,0,2020-05-25,9,1,55141,27,73427,18838,28424,7383,11273,92.05239283799999,72999,0.377386508273,0.570163343233,10.1
441,2020-03-16,1,0,2020-05-25,193,7,55087,64,183288,35410,62760,32331,37279,294.6853283000001,187885,0.407460898218,0.533667115989,7.2
442,2020-03-16,1,0,2020-05-25,113,0,49045,4,63357,8290,14021,11892,2832,10.409040896,72259,0.212377677863,0.512721502248,6.8
443,2020-03-16,1,0,2020-05-25,160,9,45039,0,22868,6384,3385,5149,3790,32.561333629,22347,0.616423746889,0.357625311056,23.7
444,2020-03-16,2,1,2020-05-25,68,5,48321,6,36744,8504,11285,4165,3182,33.528159615999996,36643,0.284998726547,0.691654639613,18.4
445,2020-03-16,1,0,2020-05-25,153,11,48037,82,93635,20099,28676,6732,13166,105.36134777,93245,0.256193791703,0.722744415434,19.1
446,2020-03-16,1,0,2020-05-25,72,2,47155,16,95523,23741,33240,10415,10326,165.82597205,98250,0.173935876175,0.790768380321,13.9
447,2020-03-16,1,0,2020-05-25,768,26,12033,120,309924,68143,124398,13067,29007,484.51894692,318316,0.376719060214,0.582880963531,14.7
448,2020-03-16,1,0,2020-05-25,275,15,12069,158,326215,107419,68370,51090,21071,386.1320543,367118,0.368438710285,0.599700997069,11.5
449,2020-03-16,1,0,2020-05-25,480,12,13117,24,211300,33215,42508,48059,30681,1087.7329880999996,244252,0.240736173624,0.7172760342810001,5.0
450,2020-03-16,1,0,2020-05-25,975,8,5079,0,13885,2882,1780,1742,1061,23.193334411,13024,0.32826428946,0.64368117462,27.5
451,2020-03-16,1,0,2020-05-25,19,0,5041,0,12094,3044,3292,991,1641,14.790360066,11361,0.526975863701,0.453147184098,24.3
452,2020-03-16,1,0,2020-05-25,18,0,5025,0,8332,2195,842,2314,391,13.309272715,7956,0.2191573204,0.7456805092450001,15.5
453,2020-03-16,1,0,2020-05-25,73,4,5023,0,25361,8437,6837,2668,1886,45.00446495,24919,0.175551470588,0.7899398395720001,14.6
455,2020-03-16,1,0,2020-05-25,41,1,6057,10,98838,33612,29668,10724,6945,104.15446736,99755,0.487070779963,0.441577966204,10.3
456,2020-03-16,1,0,2020-05-25,2327,41,13139,85,192865,36793,55871,26894,28354,520.20744436,204441,0.230319535739,0.7368998902089999,13.2
457,2020-03-16,1,0,2020-05-25,86,1,24041,16,37461,12868,12349,4977,8989,138.44689006,37181,0.419892157386,0.539106294378,9.2
458,2020-03-16,1,0,2020-05-25,1738,99,24021,18,246105,46881,71733,53410,33257,392.93959344,259547,0.451375237035,0.491223186792,6.2
459,2020-03-16,1,0,2020-05-25,115,1,27013,29,65767,12070,26962,8604,13090,90.47132325,67653,0.433846523936,0.471102958865,15.1
460,2020-03-16,1,0,2020-05-25,167,2,27009,0,39360,7326,6977,12786,8907,100.14532941,40889,0.283260509266,0.646476821857,10.2
461,2020-03-16,1,0,2020-05-25,5188,258,17197,92,687727,116816,159128,167945,88973,826.37524942,690743,0.502491323322,0.445778495584,6.4
462,2020-03-16,1,0,2020-05-25,181,8,17143,107,186145,40675,69524,14675,37537,289.59864737,179179,0.483263409282,0.455676757245,16.6
463,2020-03-16,1,0,2020-05-25,260,9,13285,20,69433,13380,22499,5267,14571,168.89065797,69922,0.3720776954990001,0.6064823789399999,20.2
464,2020-03-16,1,0,2020-05-25,291,11,13223,8,152399,21365,20511,47959,7295,540.02982095,168667,0.278695376233,0.691103852882,7.8
465,2020-03-16,1,0,2020-05-25,788,54,22005,0,119129,18726,24490,29591,16155,436.47087276,126604,0.301318990908,0.66105043631,10.8
466,2020-03-16,1,0,2020-05-25,484,36,18005,17,81024,16862,32409,5780,15691,205.8677649,83779,0.303837722684,0.637160764457,10.1
467,2020-03-16,1,0,2020-05-25,315,40,18043,16,76481,16661,15216,21045,15468,530.67969719,78522,0.374452652787,0.575607790463,9.5
468,2020-03-17,1,0,2020-05-26,409,1,37163,8,63664,14291,16513,9705,5051,67.178650753,63531,0.409002262267,0.575746938139,22.8
469,2020-03-17,1,0,2020-05-26,156,16,39037,6,51919,13217,14279,8856,4460,85.458901208,51113,0.1758,0.78792,9.5
470,2020-03-17,1,0,2020-05-26,1580,43,38017,111,170620,27710,82990,9962,25120,103.07635096,181923,0.397058636923,0.504244546804,10.4
471,2020-03-17,2,0,2020-05-26,26,0,39031,7,36602,9240,10654,4507,2400,64.898306838,36600,0.261212485796,0.693870730566,15.4
472,2020-03-17,2,0,2020-05-26,123,0,38015,72,92372,18957,41684,6949,9593,58.569438582,95626,0.231791611554,0.6933267909720001,7.4
473,2020-03-17,1,0,2020-05-26,230,5,37097,36,169798,34692,50464,23922,21131,316.57176203,181806,0.302761157977,0.670952717183,9.5
474,2020-03-17,1,0,2020-05-26,82,3,36121,5,40886,9523,9848,8284,5531,67.244018547,39859,0.220208845209,0.729975429975,9.9
475,2020-03-17,1,0,2020-05-26,1338,27,36105,10,75783,18426,21603,9533,5531,77.914576302,75432,0.414312120412,0.551737145875,16.2
476,2020-03-17,2,1,2020-05-26,67,2,41039,67,363471,90330,148796,6031,7544,83.859255658,382067,0.555011266237,0.365699832111,18.1
477,2020-03-17,1,0,2020-05-26,282,12,39085,27,229701,58488,68862,46779,26862,1003.8327763,230149,0.399468037947,0.555253125277,7.5
478,2020-03-17,1,0,2020-05-26,29,2,40117,0,16448,4188,3171,3594,1088,28.81316326,16376,0.211314213678,0.743145288371,14.7
479,2020-03-17,1,0,2020-05-26,1347,171,39099,67,231857,62316,72677,28166,29182,555.73386662,228683,0.498001364922,0.468043996561,16.5
480,2020-03-17,2,0,2020-05-26,528,16,29095,274,688554,136794,235620,85242,144093,1162.931543,703011,0.5567616463139999,0.390314320401,13.0
481,2020-03-17,1,0,2020-05-26,476,3,31153,8,175188,26946,36317,53064,27509,786.03485862,187196,0.356179529705,0.574034789987,5.7
482,2020-03-17,1,0,2020-05-26,9,0,31107,0,8496,2628,3157,1044,454,7.5168493371,8332,0.176065008619,0.7833046047769999,13.4
483,2020-03-17,2,0,2020-05-26,2103,138,34015,14,291372,60833,63700,75338,40948,905.76706199,291636,0.479485215481,0.483777495159,7.6
484,2020-03-17,1,0,2020-05-26,60,1,29051,25,76749,16261,30450,5019,18630,196.00416998,76745,0.292718928639,0.660476101017,8.9
485,2020-03-17,1,0,2020-05-26,123,1,29019,110,174589,28350,79190,8973,14188,263.23792216,180463,0.492990205493,0.433863068946,16.8
486,2020-03-17,1,0,2020-05-26,570,72,42007,20,168161,45796,44988,34187,14237,377.09710119,163929,0.382420669062,0.583038109216,11.2
487,2020-03-17,1,0,2020-05-26,466,32,36083,12,159800,35905,34632,43766,23281,243.25640923,158714,0.45519843615,0.483899319604,11.1
488,2020-03-17,1,0,2020-05-26,95,4,36019,21,81224,17868,31318,3332,2883,77.556663383,80485,0.473817746141,0.464479526394,13.2
489,2020-03-17,1,0,2020-05-26,24,0,35055,6,32809,10333,13039,937,892,14.858065134,32723,0.699973460722,0.17953821656100002,21.4
490,2020-03-17,1,0,2020-05-26,1136,128,34041,20,107088,24579,21965,30372,15098,295.24915188,105267,0.35074934973800004,0.606766855208,6.7
491,2020-03-17,1,0,2020-05-26,649,19,53021,0,89124,11049,18701,17143,12415,76.693229865,95222,0.380829770696,0.551787796347,13.4
493,2020-03-17,2,0,2020-05-26,1546,118,51087,53,324073,65204,86422,75006,81929,1415.7121477,330818,0.577991677266,0.368435350629,9.0
494,2020-03-17,1,0,2020-05-26,93,6,51075,0,22148,6309,2867,7375,9551,84.641503328,23753,0.350610193826,0.601148600144,6.7
496,2020-03-17,1,0,2020-05-26,2,0,56029,4,29276,8475,14024,1091,1284,4.2072108313,29194,0.173226732267,0.759532595326,10.2
497,2020-03-17,2,0,2020-05-26,183,2,56021,15,97031,20072,45418,2164,4906,37.045810193,99500,0.289698335211,0.621955188384,9.1
498,2020-03-17,4,0,2020-05-26,1008,22,55059,27,167886,31603,43099,35639,16754,623.74150741,169561,0.471744147709,0.475107154632,12.0
499,2020-03-17,1,0,2020-05-26,296,13,28059,48,141314,28610,40035,17891,15030,198.69615004,143617,0.28784779500700003,0.686330144067,17.9
500,2020-03-17,1,0,2020-05-26,34,1,53045,6,61569,18441,12626,9263,3967,69.582170877,66768,0.427557892462,0.487593186156,13.7
501,2020-03-17,1,0,2020-05-26,161,1,54037,5,55673,11916,11227,14615,6909,273.03969604,57146,0.393968425876,0.547506977132,9.7
502,2020-03-17,1,0,2020-05-26,352,6,45091,24,251664,48997,65998,45082,25830,412.7959259,280979,0.363500110205,0.5840423187129999,9.8
503,2020-03-17,1,0,2020-05-26,1386,63,45079,211,404869,68651,153326,37877,75200,548.98298233,415759,0.639911452184,0.311410861865,16.7
504,2020-03-17,1,0,2020-05-26,10,1,45017,0,14808,4258,1761,4456,1252,38.181620933000005,14553,0.472527472527,0.501125380643,18.4
505,2020-03-17,2,0,2020-05-26,674,50,48303,267,298042,49312,131247,7920,9143,346.77211360000007,310569,0.285090760759,0.6686314501330001,17.6
506,2020-03-17,2,0,2020-05-26,289,12,48139,18,164092,29137,37900,35338,12728,197.53540232,184826,0.256834327033,0.7105004439929999,8.8
507,2020-03-17,1,0,2020-05-26,444,19,48041,48,214231,26525,88215,7969,11912,391.05281168,229211,0.34891574292800004,0.585468532316,23.2
508,2020-03-17,1,0,2020-05-26,399,12,12009,159,568183,170919,208024,18133,9746,593.05632145,601942,0.380244769149,0.577787533762,11.0
509,2020-03-17,1,0,2020-05-26,4132,128,10005,38,215551,71832,67155,21284,13495,250.20481554,234225,0.371680495965,0.591670289376,12.3
510,2020-03-17,1,0,2020-05-26,553,19,13245,264,201568,38152,64662,15991,56855,624.41570879,202518,0.6498425659089999,0.326088696766,21.9
511,2020-03-17,1,0,2020-05-26,891,50,12105,145,652256,169578,191505,49657,25928,403.20522157,724777,0.412862719675,0.553912933185,15.7
512,2020-03-17,1,0,2020-05-26,1550,56,4017,12,107902,24267,28352,2805,3636,11.148081274,110924,0.43384450281,0.513005168178,28.5
514,2020-03-17,1,0,2020-05-26,106,1,1115,6,86937,18943,13122,23213,6478,141.72690747,89512,0.146295173577,0.8324063579090001,12.0
515,2020-03-17,1,0,2020-05-26,309,4,1089,100,353213,70040,152471,9554,43165,465.21086205,372909,0.391508280399,0.559336063158,11.9
516,2020-03-17,1,0,2020-05-26,237,6,28047,57,200491,38987,74626,12477,24161,362.73502365,208080,0.333123912623,0.63969972292,20.0
517,2020-03-17,1,0,2020-05-26,1890,31,6029,144,878744,130831,301473,18316,21087,110.6947351,900202,0.397202893558,0.5473142725919999,20.5
518,2020-03-17,2,0,2020-05-26,429,8,6053,27,433168,76257,159164,19931,18021,132.2662889,434061,0.669587074351,0.272849517978,13.3
519,2020-03-17,1,0,2020-05-26,303,7,13313,34,103963,18625,36398,8279,19252,360.24224386,104628,0.2610170608,0.7085830972930001,14.2
520,2020-03-17,1,0,2020-05-26,81,0,15001,24,196325,52582,78955,1381,878,50.022473825,201513,0.636059508209,0.269791104602,15.6
521,2020-03-17,1,0,2020-05-26,359,9,23031,14,201454,52544,59840,41851,12475,209.51068713,207641,0.489882592443,0.442147382461,9.0
522,2020-03-17,1,0,2020-05-26,22,0,23017,6,57230,16027,15056,9317,3776,27.913480483,57975,0.39145815913,0.52145108381,16.7
523,2020-03-17,1,0,2020-05-26,128,9,23011,16,121289,31337,45061,11493,14662,140.98712851,122302,0.443885513417,0.481113350202,11.2
524,2020-03-17,1,0,2020-05-26,400,37,22117,13,46449,11494,9870,4859,2639,68.987873431,46194,0.305552572226,0.6740414563420001,24.6
525,2020-03-17,1,0,2020-05-26,71,6,27103,0,33477,6976,8841,9420,7920,76.400468118,34274,0.440214357486,0.470916601541,8.7
526,2020-03-17,2,0,2020-05-26,126,5,27091,0,20084,5976,8251,1799,1441,27.631827385999998,19683,0.261056452383,0.674562995511,13.7
527,2020-03-17,1,0,2020-05-26,100,10,26137,4,24247,6554,8836,1755,3056,47.898433306,24668,0.283821534041,0.659749381435,11.4
528,2020-03-17,1,0,2020-05-26,438,26,26075,51,158989,36118,47593,16641,12521,225.83595663,158510,0.370793623413,0.572009717251,13.7
529,2020-03-17,2,0,2020-05-26,112,9,18047,7,22835,5422,3373,7478,1799,59.19997401,22758,0.17898089172000006,0.788444040036,8.6
530,2020-03-17,2,0,2020-05-26,3349,180,18089,188,488694,104898,143588,63846,52847,973.34320163,485493,0.5837590575639999,0.377358961682,15.7
531,2020-03-17,1,0,2020-05-26,21,0,16065,4,38241,3374,12502,3253,4278,85.041109855,39907,0.07656020909030001,0.569962389239,23.9
532,2020-03-17,1,0,2020-05-26,14,3,21143,0,8268,2744,1182,1422,792,38.392804494,8210,0.263955544329,0.704470825966,14.5
533,2020-03-17,1,0,2020-05-26,3462,230,22033,124,446167,81150,186369,24975,80483,966.32950896,440059,0.523149562985,0.431004624819,16.7
534,2020-03-17,1,0,2020-05-26,7,0,19001,0,7192,2161,2082,1623,886,12.563443789,7152,0.299813780261,0.653365256717,9.7
535,2020-03-17,1,0,2020-05-26,1696,41,19013,24,132960,28271,61105,4792,14234,231.94683615,131228,0.506255832714,0.433115578684,16.3
536,2020-03-17,1,0,2020-05-26,63,0,20045,10,117806,18450,44266,16065,9446,268.25026837,122259,0.6238518794969999,0.296655677884,17.0
537,2020-03-17,1,0,2020-05-26,1607,2,20057,10,34658,5103,14860,1181,2097,30.610846984000002,33619,0.27367003367,0.672592592593,11.6
538,2020-03-18,1,0,2020-05-27,164,4,37129,57,219866,48907,91593,10636,27681,1219.6196066,234473,0.4618391164,0.5027267627390001,15.3
539,2020-03-18,2,0,2020-05-27,59,2,38059,0,30059,6275,7229,8936,4091,16.285476694,31364,0.197915996655,0.728050427735,8.1
540,2020-03-18,1,0,2020-05-27,231,6,39023,38,135520,33970,37879,19874,10509,337.84492931,134083,0.380174438108,0.5754948004029999,14.9
541,2020-03-18,1,0,2020-05-27,19,0,39005,6,53299,12790,14226,9223,5477,126.45126569,53484,0.235066877129,0.7131760405419999,10.4
542,2020-03-18,1,0,2020-05-27,150,10,37125,68,94191,28522,27553,9738,8592,144.59422488,100880,0.33820634189300003,0.634042642316,10.5
543,2020-03-18,1,0,2020-05-27,252,28,36113,24,64701,17940,22718,8443,14929,73.734692899,63944,0.412289611143,0.5181369704,10.8
544,2020-03-18,1,0,2020-05-27,228,11,36115,0,62183,15438,12715,15270,5325,73.63618891600001,61204,0.367751439668,0.570063836436,11.4
545,2020-03-18,1,0,2020-05-27,250,7,37071,74,214049,46215,51997,37647,19538,631.14399141,224529,0.32656632093800003,0.6478940045539999,14.2
546,2020-03-18,1,0,2020-05-27,1143,54,37081,142,517197,102558,196390,35632,83688,831.63473721,537174,0.586896587289,0.386616525247,15.4
547,2020-03-18,1,0,2020-05-27,214,1,37093,0,52571,7093,5830,13955,3987,141.58061619,55234,0.53835378495,0.430100296969,18.0
548,2020-03-18,1,0,2020-05-27,61,0,37109,10,80504,18644,15869,20241,8883,291.06950124,86111,0.249334583893,0.7263301984839999,10.3
549,2020-03-18,1,0,2020-05-27,302,13,39041,6,193024,34052,37292,55997,38442,472.01280004,209177,0.395440604989,0.556038401215,4.1
550,2020-03-18,1,0,2020-05-27,236,7,42001,8,101589,26312,25313,24117,9540,198.59524445,103009,0.298633798634,0.6629258772119999,8.0
551,2020-03-18,1,0,2020-05-27,55,1,39077,12,58497,13292,15431,11024,7980,118.54863142,58266,0.290974847937,0.654693407858,11.1
552,2020-03-18,1,0,2020-05-27,351,30,39109,10,104081,25472,28424,20185,13301,263.18253318,106987,0.249324810072,0.705520041969,7.9
553,2020-03-18,2,0,2020-05-27,57,0,33001,10,60383,17260,18326,11703,6910,152.5541781,61303,0.392229121931,0.560472404387,6.9
554,2020-03-18,1,0,2020-05-27,327,13,33013,18,147958,34833,49685,25542,29199,162.28312683,151391,0.490327144983,0.459539899002,7.0
555,2020-03-18,3,0,2020-05-27,2087,155,34001,64,272926,62613,101899,22893,27658,474.64082520000005,263670,0.515160112731,0.452836255651,12.8
556,2020-03-18,1,0,2020-05-27,755,55,29183,39,385115,74900,98096,97716,41422,717.24099366,402022,0.341957666919,0.605970538261,5.7
557,2020-03-18,1,0,2020-05-27,47,2,31111,19,35569,8746,16336,736,1591,13.616300202,34914,0.183616179661,0.765088681894,10.1
558,2020-03-18,1,0,2020-05-27,264,11,31001,10,31564,7465,12794,2636,2459,55.679831279,31363,0.24840570908000004,0.698830853325,11.8
560,2020-03-18,1,0,2020-05-27,5,0,36041,0,4646,1721,1093,716,360,2.5713611478,4416,0.279761904762,0.667782738095,9.1
561,2020-03-18,1,0,2020-05-27,72,0,36045,10,116567,19760,51101,2805,6495,86.571938376,109834,0.358666783411,0.582173189738,12.3
562,2020-03-18,1,0,2020-05-27,118,4,36051,0,64373,14878,15916,13541,6552,99.585045201,62914,0.334087938016,0.612537065969,12.5
563,2020-03-18,1,0,2020-05-27,44,0,36031,0,38233,11100,12933,4445,4122,20.55884778,36885,0.448305590556,0.482459049009,11.7
564,2020-03-18,1,0,2020-05-27,125,2,36017,7,48763,12688,14252,6876,4495,52.828329489,47207,0.328106884558,0.608623640479,15.1
566,2020-03-18,1,1,2020-05-27,899,64,53005,44,190529,37874,64124,16593,19564,120.22256331,204390,0.327317409339,0.592845904794,9.8
567,2020-03-18,1,0,2020-05-27,27,1,51036,0,7022,2156,704,2572,1020,38.069761966,6963,0.599198931909,0.368758344459,12.3
568,2020-03-18,1,0,2020-05-27,51,0,55063,52,117582,24464,55322,6130,15522,261.23077678,118016,0.516078681214,0.420227761408,10.9
569,2020-03-18,2,0,2020-05-27,212,4,55131,12,133967,30378,34829,36572,20013,315.88521545,136034,0.273509430003,0.6784487055060001,4.5
570,2020-03-18,1,0,2020-05-27,13,0,54055,29,60963,16998,17692,5437,4743,140.24667584,58758,0.204590078101,0.757537414372,22.7
571,2020-03-18,1,0,2020-05-27,2285,33,55009,60,258004,49706,115760,12945,32169,499.04876688,264542,0.418503964799,0.527008478631,8.6
572,2020-03-18,2,0,2020-05-27,89,1,49005,14,120288,15104,49077,4975,3982,110.14476045,128289,0.186878118119,0.463864656206,12.9
573,2020-03-18,1,0,2020-05-27,26,1,49003,0,52182,9213,14049,7234,4528,9.754606799,56046,0.109620497945,0.623882040126,7.3
574,2020-03-18,1,0,2020-05-27,208,15,45061,0,17897,4150,2263,3775,1449,41.025462569,16828,0.63748458693,0.343896424168,28.1
575,2020-03-18,2,0,2020-05-27,1511,159,42069,51,211960,54892,76623,19131,21872,457.0334112,209674,0.502170527545,0.4681915514890001,14.2
576,2020-03-18,2,0,2020-05-27,956,22,42133,60,442216,99386,145129,68027,33481,496.54394588,449058,0.3319074786,0.624814794761,8.8
577,2020-03-18,1,0,2020-05-27,114,0,47021,0,39713,7818,5410,12779,3553,134.42534173,40667,0.245023067686,0.7138342918539999,10.3
578,2020-03-18,1,0,2020-05-27,11,1,48285,3,19859,6001,5672,3134,1252,20.783549883,20154,0.135526468203,0.8501100428589999,13.5
579,2020-03-18,5,0,2020-05-27,113,4,48309,54,245720,46694,99509,6309,12429,247.43116597,256623,0.34561369880500004,0.616510127148,18.9
580,2020-03-18,1,0,2020-05-27,68,2,48325,0,48548,10696,8673,10597,3025,38.920780674,51584,0.269040553907,0.7013440390989999,12.3
581,2020-03-18,1,0,2020-05-27,44,2,48401,0,53026,11467,11331,9462,4808,58.87860041,54406,0.20717068548,0.772612403917,16.4
582,2020-03-18,1,0,2020-05-27,521,19,48479,56,269624,34315,92821,3746,3967,82.300711375,276652,0.7437881372319999,0.227653999683,25.7
583,2020-03-18,1,0,2020-05-27,84,2,48485,24,131778,25521,56671,3347,7718,210.69366196,132230,0.230844301427,0.728219871812,17.8
584,2020-03-18,4,0,2020-05-27,588,22,48491,90,508313,81426,119409,110830,48408,528.06043458,590551,0.420159182941,0.518785781253,6.4
585,2020-03-18,1,0,2020-05-27,100,1,56039,6,22923,4298,13175,668,4218,5.870628355700001,23464,0.600607752957,0.321944809461,6.3
586,2020-03-18,1,0,2020-05-27,426,2,47147,8,68575,13369,14194,16455,6848,150.76809409,71813,0.245322091561,0.717143702389,10.6
587,2020-03-18,2,0,2020-05-27,843,45,47165,38,175730,36997,42078,38720,14095,361.28118154,191283,0.255388294879,0.704909960608,8.9
588,2020-03-18,1,0,2020-05-27,3952,301,42011,71,415500,93051,144733,48839,30293,491.78051037,421164,0.427256812214,0.529141609922,11.4
589,2020-03-18,1,0,2020-05-27,49,2,28111,0,12047,2963,1691,2350,915,18.499476747,11973,0.224594992636,0.7612297496320001,22.0
590,2020-03-18,1,0,2020-05-27,376,6,12073,60,285890,49057,130380,7476,26408,440.22546489,293582,0.605140694422,0.353970709232,20.7
591,2020-03-18,1,0,2020-05-27,19,0,8125,0,10109,2385,4506,288,524,4.2374414873,10019,0.15030017152699998,0.805102915952,12.1
592,2020-03-18,1,0,2020-05-27,1061,143,9007,24,164110,41372,41715,44932,29896,439.84321801,162436,0.512499717201,0.439435759372,6.7
593,2020-03-18,3,0,2020-05-27,1374,61,10001,29,173145,36849,53645,22059,13367,308.47687444,180786,0.449099699675,0.498148222967,13.8
594,2020-03-18,1,0,2020-05-27,362,16,13153,36,150341,25522,49744,14949,16117,419.80001952,157863,0.377105055491,0.593545895666,12.1
595,2020-03-18,1,0,2020-05-27,253,17,12119,0,116754,74936,14014,7500,11645,237.68129645,132420,0.295254993542,0.6878367623839999,9.3
596,2020-03-18,1,0,2020-05-27,109,9,12131,28,63457,16604,16944,7835,8433,71.377063157,74071,0.204445901249,0.765666438213,11.4
597,2020-03-18,1,0,2020-05-27,237,7,13073,0,143723,26092,19068,43364,12213,540.25162678,156714,0.29386197227,0.670821000156,7.1
598,2020-03-18,1,0,2020-05-27,18,1,5011,0,10994,2825,2988,1064,822,16.577959308,10763,0.364113906552,0.598009400055,21.7
599,2020-03-18,1,0,2020-05-27,100,3,5045,25,121282,19658,38558,17665,8345,194.46828522,126007,0.313281856613,0.62915192822,15.4
600,2020-03-18,1,0,2020-05-27,326,6,5143,61,223683,34691,82877,18631,19746,253.92016704,239187,0.413240694535,0.517165048047,15.2
601,2020-03-18,1,0,2020-05-27,152,3,1015,24,115527,27115,36659,9682,10880,187.50731202,113605,0.278558763931,0.6923969942589999,19.5
602,2020-03-18,1,0,2020-05-27,1066,75,4005,41,138639,23195,58932,5099,4615,7.7068092455,143476,0.563288744463,0.368870885174,15.9
603,2020-03-18,1,0,2020-05-27,96,3,1121,14,80888,18842,18728,10987,10718,108.54834994,79978,0.364501174062,0.620025287495,19.3
605,2020-03-18,1,0,2020-05-27,25,0,6045,14,87497,24313,33177,2513,3018,24.740481573,86749,0.603847835592,0.312286838653,17.5
606,2020-03-18,1,0,2020-05-27,317,47,25011,6,70926,19773,22087,14388,7367,100.37204203,70180,0.6415089372680001,0.271856161318,10.6
607,2020-03-18,1,0,2020-05-27,99,1,23019,51,152284,36356,63935,6888,9512,44.78633268300001,152148,0.409233684001,0.518534676173,14.7
608,2020-03-18,2,0,2020-05-27,149,11,28011,8,33121,6690,9653,2052,2160,34.937106621,30628,0.6554438469330001,0.331306990881,29.4
609,2020-03-18,2,0,2020-05-27,113,3,28027,10,24296,4799,6611,1819,2342,40.04425448,22124,0.7156642728899999,0.272217235189,35.9
610,2020-03-18,1,0,2020-05-27,411,2,27131,4,65251,13206,22012,10875,7207,135.06823581,66972,0.448117453518,0.478908650712,9.6
611,2020-03-18,1,0,2020-05-27,493,6,28033,44,173267,29708,34446,46954,19275,388.28481855,184945,0.310705694917,0.658445534348,9.0
