,date_0days,cases_0days,deaths_0days,date_60days,cases_60days,deaths_60days,fips,icu_beds,kaiser_total_population,kaiser_60plus_population,commuting_within,commuting_out,commuting_in
0,2020-01-21,1,0,2020-03-21,446,9,53061,72,771904,143234,233454,130657,54070
1,2020-01-24,1,0,2020-03-24,1194,12,17031,1606,5238541,1005046,2095418,317505,489235
2,2020-01-25,1,0,2020-03-25,187,1,6059,651,3155816,598030,1242712,235247,317959
3,2020-01-26,1,0,2020-03-26,1216,21,6037,2126,10105722,1800341,4182123,334665,483659
4,2020-01-26,1,0,2020-03-26,299,4,4013,1004,4155501,808534,1752902,40810,79525
5,2020-01-31,1,0,2020-03-31,890,31,6085,313,1911226,338720,774537,118222,240720
6,2020-02-01,1,0,2020-04-01,1624,15,25025,447,780685,125537,270497,123140,371770
7,2020-02-02,2,0,2020-04-02,450,7,6075,337,864263,179193,353484,114866,307615
8,2020-02-05,1,0,2020-04-05,269,8,55025,39,522837,93985,266491,15371,52187
9,2020-02-10,1,0,2020-04-10,1696,44,6073,570,3283665,604412,1461512,43025,72833
10,2020-02-12,1,0,2020-04-12,734,27,48029,648,1892004,307269,783313,45372,89600
11,2020-02-17,10,0,2020-04-17,287,8,31055,187,549706,95539,236643,36735,89375
12,2020-02-20,1,0,2020-04-20,52,0,6023,32,135490,31200,55393,1146,1575
13,2020-02-21,1,0,2020-04-21,954,35,6067,396,1495400,279005,500893,115932,120790
14,2020-02-24,4,0,2020-04-24,330,19,53063,113,490764,105082,199020,10084,18916
15,2020-02-24,1,0,2020-04-24,199,4,6095,92,434981,90069,109059,75812,31582
16,2020-02-25,1,0,2020-04-25,2051,25,49035,282,1106700,164497,490467,38273,116130
17,2020-02-26,1,0,2020-04-26,220,2,6097,82,500943,124291,197589,37428,17940
18,2020-02-26,1,0,2020-04-26,61,2,6055,32,141005,33686,51743,15258,22730
19,2020-02-26,1,0,2020-04-26,224,12,6041,66,260814,72684,81726,43886,46516
20,2020-02-28,1,0,2020-04-28,474,11,41067,85,572071,100693,188061,83258,84068
21,2020-02-28,1,0,2020-04-28,6056,429,53033,450,2118119,386511,977642,81556,247854
22,2020-03-01,1,0,2020-04-30,580,55,12081,90,363542,120595,96829,41125,19780
23,2020-03-01,1,0,2020-04-30,1124,23,12057,432,1351087,257269,531016,74071,131673
24,2020-03-01,1,0,2020-04-30,1624,63,6001,282,1629615,300276,462479,256588,237262
25,2020-03-02,1,0,2020-05-01,6065,522,25021,59,694389,155147,154853,196195,175598
