,date_0days,cases_0days,deaths_0days,fips,date_60days,cases_60days,deaths_60days,date_70days,cases_70days,deaths_70days,date_80days,cases_80days,deaths_80days,icu_beds,kaiser_total_population,kaiser_60plus_population,commuting_within,commuting_out,commuting_in,density,pop_2019,percent_democrat,percent_gop,percent_in_poverty,pop_under18,pop_over65,pop_2018,median_age
72,2020-03-01,1,0,6001,2020-04-30,1624.0,63.0,2020-05-10,2085.0,75.0,2020-05-20,2581.0,88.0,282,1629615,300276,462479,256588,237262,2266.8038359,1671329,0.7931424750689999,0.148711258246,9.0,344513,215917,1643700,37.4
75,2020-03-02,1,0,25021,2020-05-01,6065.0,522.0,2020-05-11,7004.0,661.0,2020-05-21,7691.0,759.0,59,694389,155147,154853,196195,175598,1784.3023037,706775,0.612466844243,0.333083646141,6.5,148906,113400,698249,40.9
78,2020-03-02,1,0,33009,2020-05-01,51.0,1.0,2020-05-11,58.0,1.0,2020-05-21,66.0,1.0,54,89280,23734,35656,8356,20420,52.607970005,89886,0.569459702387,0.379706381704,9.0,14954,17342,89811,42.9
81,2020-03-02,1,0,53071,2020-05-01,86.0,0.0,2020-05-11,104.0,2.0,2020-05-21,106.0,2.0,28,59862,13443,22801,2866,6521,47.841294958,60760,0.382898874125,0.546455015722,13.3,12884,10324,60236,37.1
84,2020-03-02,2,0,13121,2020-05-01,2880.0,122.0,2020-05-11,3516.0,145.0,2020-05-21,3872.0,190.0,538,1010420,159840,341073,123502,496827,2019.9144194000005,1063937,0.692273308888,0.271069054186,13.5,230272,113402,1021902,35.4
87,2020-03-02,1,0,6081,2020-05-01,1197.0,52.0,2020-05-11,1464.0,65.0,2020-05-21,1739.0,75.0,131,763450,161619,218300,160184,162092,1708.6818504999999,766573,0.763759178293,0.186891084839,6.8,161248,117867,765935,39.6
90,2020-03-02,1,0,6061,2020-05-01,150.0,8.0,2020-05-11,170.0,8.0,2020-05-21,176.0,9.0,70,374985,92327,99291,60392,56930,283.09018519,398329,0.411666622379,0.524652565567,7.1,85719,71099,380077,41.9
93,2020-03-03,1,0,37183,2020-05-02,870.0,19.0,2020-05-12,1061.0,23.0,2020-05-22,1389.0,32.0,175,1023811,157546,403532,88562,113096,1331.7237897,1111761,0.583929619916,0.378923161232,8.4,255854,113852,1046558,36.0
96,2020-03-03,1,0,6013,2020-05-02,934.0,28.0,2020-05-12,1066.0,32.0,2020-05-22,1259.0,36.0,163,1123678,231404,283769,212044,88933,1608.6423209000006,1153526,0.689128114392,0.254389718539,7.8,261300,169782,1133247,39.4
99,2020-03-04,1,0,34003,2020-05-03,16185.0,1210.0,2020-05-13,17150.0,1409.0,2020-05-23,17668.0,1521.0,147,937920,211672,250231,199786,177837,4004.5571386999995,932202,0.5449741512899999,0.425090828591,6.8,199408,155306,929999,41.8
