,date_0days,cases_0days,deaths_0days,fips,date_60days,cases_60days,deaths_60days,date_70days,cases_70days,deaths_70days,date_80days,cases_80days,deaths_80days,icu_beds,kaiser_total_population,kaiser_60plus_population,commuting_within,commuting_out,commuting_in,density,pop_2019,percent_democrat,percent_gop,percent_in_poverty,pop_under18,pop_over65,pop_2018,median_age
900,2020-03-13,2,0,22103,2020-05-12,1477.0,141.0,2020-05-22,1609.0,155.0,2020-06-01,1764.0,158.0,149,249201,55158,69996,38537,18332,308.11584066,260419,0.222817130132,0.7308845637479999,11.8,61259,40019,252093,40.1
903,2020-03-13,1,0,22089,2020-05-12,596.0,43.0,2020-05-22,622.0,43.0,2020-06-01,642.0,44.0,8,52728,9258,11030,13355,14808,191.17851703,53100,0.326765941199,0.6345933562430001,12.8,13123,6591,52724,37.6
906,2020-03-13,1,0,26017,2020-05-12,214.0,10.0,2020-05-22,269.0,16.0,2020-06-01,312.0,24.0,32,105350,27300,26753,18544,9223,233.18956032,103126,0.40884531096500004,0.53515831633,15.6,21648,20057,104786,43.3
909,2020-03-13,1,0,26099,2020-05-12,6097.0,710.0,2020-05-22,6445.0,776.0,2020-06-01,6707.0,814.0,122,864019,192977,223742,168559,105460,1823.920056,873972,0.42084375067199997,0.536302483684,11.0,186502,141001,868704,40.8
912,2020-03-13,1,0,26089,2020-05-12,9.0,0.0,2020-05-22,11.0,0.0,2020-06-01,11.0,0.0,0,21564,8279,5334,4144,2248,62.675826361999995,21761,0.45903638951000003,0.49054685911799994,7.0,3592,6261,21639,53.7
915,2020-03-13,1,0,26029,2020-05-12,13.0,1.0,2020-05-22,14.0,1.0,2020-06-01,21.0,1.0,0,26160,8123,8102,3503,2643,62.793990963,26143,0.352646392531,0.595455481568,10.6,5152,6020,26219,48.1
918,2020-03-13,1,0,16001,2020-05-12,744.0,21.0,2020-05-22,794.0,23.0,2020-06-01,818.0,22.0,105,435117,80856,181681,15554,34302,457.77677936,481587,0.386917330906,0.4793161099660001,9.7,109147,60097,446052,36.7
921,2020-03-13,2,0,13129,2020-05-12,125.0,16.0,2020-05-22,136.0,15.0,2020-06-01,164.0,16.0,8,56424,10941,16241,7114,7179,162.61519552,57963,0.16848806366,0.804827586207,16.8,14218,8030,56790,37.8
924,2020-03-13,1,0,13151,2020-05-12,614.0,15.0,2020-05-22,627.0,20.0,2020-06-01,693.0,23.0,40,217506,34127,35867,54134,24198,736.11147402,234561,0.509011903669,0.465548721401,7.5,58417,24308,221307,36.9
927,2020-03-13,1,0,20015,2020-05-12,18.0,0.0,2020-05-22,26.0,0.0,2020-06-01,37.0,0.0,16,66260,13403,15010,15848,5386,46.801852652,66911,0.239880226239,0.6942811726000001,9.6,17144,9560,66468,38.4
930,2020-03-13,1,0,19085,2020-05-12,17.0,0.0,2020-05-22,18.0,0.0,2020-06-01,24.0,0.0,0,14196,3779,3816,3472,780,20.160928433,14049,0.287747357007,0.6630523177009999,9.7,3242,2708,14143,44.1
933,2020-03-14,4,0,39017,2020-05-13,509.0,15.0,2020-05-23,750.0,25.0,2020-06-02,919.0,32.0,74,375702,73222,97419,75561,53809,821.24422469,383134,0.336654356319,0.620114949353,12.4,90144,52872,378294,36.5
936,2020-03-14,2,0,39013,2020-05-13,276.0,7.0,2020-05-23,381.0,12.0,2020-06-02,438.0,13.0,15,68889,18587,17287,11678,6336,125.921388,67006,0.283328421259,0.6788158627240001,13.0,13041,13591,68472,44.5
939,2020-03-14,1,0,39093,2020-05-13,569.0,49.0,2020-05-23,637.0,59.0,2020-06-02,702.0,59.0,75,305405,71677,82851,52706,22574,630.77076244,309833,0.475346495529,0.478185783073,14.2,68799,53050,306713,41.8
942,2020-03-14,1,0,39049,2020-05-13,4113.0,148.0,2020-05-23,5097.0,224.0,2020-06-02,5996.0,279.0,449,1253507,205767,541451,62278,174828,2473.1942743,1316756,0.605650509905,0.346717479913,15.5,299072,146002,1275333,34.0
945,2020-03-14,2,0,37085,2020-05-13,228.0,15.0,2020-05-23,269.0,21.0,2020-06-02,297.0,28.0,14,128753,21027,18545,31342,8267,228.52258588,135976,0.3659659659660001,0.60678456234,14.4,34765,15414,130361,34.2
948,2020-03-14,1,0,37049,2020-05-13,55.0,4.0,2020-05-23,177.0,4.0,2020-06-02,210.0,5.0,72,103374,24450,37742,8215,10939,144.5555646,102139,0.37812290454499997,0.5960502693,14.9,22768,18543,103082,36.6
951,2020-03-14,1,0,37019,2020-05-13,50.0,4.0,2020-05-23,81.0,4.0,2020-06-02,121.0,5.0,19,122586,46285,27646,16497,7222,168.18324189,142820,0.343721656382,0.6310311501,10.5,20621,37182,126860,52.8
954,2020-03-14,2,0,39153,2020-05-13,946.0,88.0,2020-05-23,1204.0,159.0,2020-06-02,1475.0,180.0,170,541318,126698,183463,70494,89045,1310.6276681,541013,0.519818994387,0.438234435078,12.0,115333,92166,541810,40.9
957,2020-03-14,1,0,42003,2020-05-13,1545.0,139.0,2020-05-23,1753.0,158.0,2020-06-02,1928.0,165.0,580,1229605,303430,541009,58690,147103,1665.5479101,1216045,0.564415794817,0.40034018840999996,11.7,231334,221970,1225561,40.8
960,2020-03-14,1,0,39157,2020-05-13,229.0,1.0,2020-05-23,306.0,2.0,2020-06-02,352.0,4.0,38,92531,23202,29744,12148,7007,162.11111658,91987,0.296722211136,0.6511923767710001,12.3,21298,17458,92526,41.0
963,2020-03-14,1,0,36109,2020-05-13,136.0,2.0,2020-05-23,149.0,2.0,2020-06-02,164.0,2.0,16,104415,18998,43590,4145,15795,215.27841332,102180,0.6770074443,0.255569979071,16.8,15362,13561,102962,30.9
966,2020-03-14,1,0,40065,2020-05-13,20.0,1.0,2020-05-23,21.0,1.0,2020-06-02,27.0,3.0,6,25574,4799,10184,1090,1740,30.561168181,24530,0.18870099923099998,0.764668203946,15.3,6500,3698,25384,34.2
969,2020-03-14,1,0,36107,2020-05-13,108.0,16.0,2020-05-23,121.0,18.0,2020-06-02,131.0,17.0,0,49322,12444,9377,14107,5651,92.94647109999998,48203,0.33333333333299997,0.6094570928199999,10.2,10495,9435,49045,44.0
972,2020-03-14,2,0,30063,2020-05-13,39.0,1.0,2020-05-23,39.0,1.0,2020-06-02,40.0,1.0,32,114231,22759,55010,2553,5946,46.124019178999994,119600,0.536746346318,0.378882855197,12.7,22206,16877,115983,35.6
975,2020-03-14,1,0,34021,2020-05-13,5499.0,360.0,2020-05-23,6351.0,447.0,2020-06-02,7004.0,477.0,92,373362,75299,117332,56410,109028,1637.0943852,367430,0.66312653893,0.301446240059,10.9,79172,53598,368762,38.7
978,2020-03-14,1,0,36007,2020-05-13,382.0,31.0,2020-05-23,485.0,41.0,2020-06-02,578.0,51.0,47,196124,47891,76697,10142,16590,269.88239734,190488,0.45342982603,0.49032282988000003,17.3,37961,35621,194402,39.8
981,2020-03-14,2,0,35043,2020-05-13,477.0,22.0,2020-05-23,534.0,26.0,2020-06-02,572.0,27.0,0,138815,30925,24499,32749,11057,39.553538726,146748,0.452250111392,0.424905523376,12.6,33663,23111,140769,39.9
984,2020-03-14,1,0,51177,2020-05-13,270.0,4.0,2020-05-23,386.0,4.0,2020-06-02,586.0,7.0,12,130159,23288,23460,38433,13190,339.26237221,136215,0.389865180484,0.557624470467,7.5,33102,17384,131412,38.1
987,2020-03-14,1,0,51041,2020-05-13,862.0,29.0,2020-05-23,1193.0,29.0,2020-06-02,1627.0,37.0,106,335594,65652,74512,88796,45476,832.9516176,352802,0.462056729497,0.48456254849200003,7.6,81792,47282,339447,38.8
990,2020-03-14,2,0,50027,2020-05-13,46.0,2.0,2020-05-23,49.0,2.0,2020-06-02,51.0,2.0,0,55485,16500,16807,10714,8483,56.789630978999995,55062,0.630353549871,0.309140557632,9.6,10246,12184,55427,47.7
993,2020-03-14,1,0,55139,2020-05-13,102.0,1.0,2020-05-23,166.0,1.0,2020-06-02,270.0,7.0,26,169540,35586,61374,23221,33699,395.46405314,171907,0.431402226051,0.505832906441,10.4,35149,26174,169926,38.2
996,2020-03-14,1,0,50023,2020-05-13,38.0,1.0,2020-05-23,39.0,1.0,2020-06-02,39.0,1.0,14,58691,15091,25018,5943,8841,85.015103457,58409,0.6489146367,0.278948837859,10.8,11236,10802,58477,43.7
999,2020-03-14,1,0,53039,2020-05-13,22.0,3.0,2020-05-23,24.0,3.0,2020-06-02,28.0,3.0,0,21172,6449,5320,2263,1692,11.981493479000001,22425,0.38350745511699996,0.546708591135,12.7,4223,4847,21396,46.6
1002,2020-03-14,1,0,47013,2020-05-13,17.0,1.0,2020-05-23,17.0,1.0,2020-06-02,18.0,1.0,10,39824,10474,8289,5269,1695,82.97139308199999,39842,0.17978246961,0.788547664747,21.6,8216,8030,39687,43.8
1005,2020-03-14,1,0,45063,2020-05-13,492.0,25.0,2020-05-23,548.0,29.0,2020-06-02,677.0,34.0,55,281870,59280,74215,55068,39137,427.40105136,298750,0.288461696312,0.6555582004280001,12.5,67051,42994,286316,39.0
1008,2020-03-14,3,0,45013,2020-05-13,282.0,12.0,2020-05-23,332.0,12.0,2020-06-02,398.0,14.0,24,179316,56939,67854,6556,10312,333.45829391,192122,0.406444963584,0.549484677752,10.9,35271,46932,182658,44.8
1011,2020-03-14,2,0,49043,2020-05-13,392.0,0.0,2020-05-23,403.0,0.0,2020-06-02,417.0,0.0,4,39731,6731,14795,5793,9663,22.530456613000002,42145,0.509164059008,0.35563502706999994,6.2,10303,4487,40511,39.0
1014,2020-03-14,1,0,48209,2020-05-13,217.0,3.0,2020-05-23,270.0,3.0,2020-06-02,371.0,5.0,42,194843,29297,44664,41767,21255,339.50235229,230191,0.46301940607299996,0.471589955819,13.2,47497,21285,204150,31.6
1017,2020-03-14,2,0,48039,2020-05-13,710.0,9.0,2020-05-23,835.0,12.0,2020-06-02,941.0,12.0,16,345995,57101,80207,72218,26084,274.53392410000004,374264,0.358075081466,0.6039519186010001,10.1,94513,39980,353999,35.6
1020,2020-03-14,1,0,9009,2020-05-13,9570.0,745.0,2020-05-23,10847.0,897.0,2020-06-02,11525.0,985.0,186,862127,194911,305355,106781,83092,1413.9582297,854757,0.541623105592,0.42130675243199994,11.6,176925,142411,859339,40.1
1023,2020-03-14,1,0,9003,2020-05-13,7732.0,963.0,2020-05-23,9545.0,1169.0,2020-06-02,10536.0,1253.0,216,897417,201242,364906,65250,138032,1213.2864925000001,891720,0.585615915074,0.370503407904,11.2,190571,147260,894730,40.4
1026,2020-03-14,1,0,8077,2020-05-13,51.0,0.0,2020-05-23,54.0,0.0,2020-06-02,55.0,0.0,44,148798,35763,62207,4629,2167,46.324405694,154210,0.279902772584,0.64278273412,14.4,33006,26902,149998,39.1
1029,2020-03-14,2,0,13077,2020-05-13,280.0,4.0,2020-05-23,316.0,8.0,2020-06-02,422.0,9.0,19,138015,25269,28524,32767,10634,336.80589489,148509,0.270276441328,0.693353991682,10.2,35330,18483,140516,38.5
1032,2020-03-14,1,0,4009,2020-05-13,21.0,0.0,2020-05-23,21.0,0.0,2020-06-02,37.0,2.0,0,37700,6933,9401,2088,835,8.4028631682,38837,0.276488818159,0.672166848145,20.2,10333,5012,37879,33.3
1035,2020-03-14,1,0,1003,2020-05-13,231.0,7.0,2020-05-23,273.0,9.0,2020-06-02,308.0,9.0,51,203360,53519,60659,23845,7737,140.41440206,223234,0.195653098098,0.773514719949,9.8,45677,40665,208107,42.8
1038,2020-03-14,1,0,8013,2020-05-13,797.0,57.0,2020-05-23,923.0,61.0,2020-06-02,986.0,67.0,72,316782,59425,128751,34308,61905,449.07217069999996,326196,0.7056610179080001,0.21934534755399998,9.7,62925,42068,321030,36.2
1041,2020-03-14,1,0,6079,2020-05-13,232.0,1.0,2020-05-23,259.0,1.0,2020-06-02,278.0,1.0,46,280119,70097,110495,13746,11228,85.775180087,283111,0.50572747341,0.422813566125,12.7,50492,52758,281455,39.1
1044,2020-03-14,1,0,25005,2020-05-13,5249.0,288.0,2020-05-23,6426.0,362.0,2020-06-02,7380.0,435.0,96,557016,124173,161032,100502,54847,1021.8915565,565217,0.51863306078,0.425796934181,10.8,116597,91150,558905,41.0
1047,2020-03-14,1,0,25001,2020-05-13,1111.0,79.0,2020-05-23,1264.0,107.0,2020-06-02,1430.0,118.0,34,213900,80676,86328,14257,11081,540.28526702,212990,0.539938341863,0.405843201399,8.0,33113,62229,213690,52.9
1050,2020-03-14,1,0,24013,2020-05-13,595.0,61.0,2020-05-23,767.0,76.0,2020-06-02,929.0,93.0,10,167319,36730,39526,47123,17348,376.30966539,168447,0.28645483570700003,0.6549676598449999,6.0,36956,26728,167522,42.4
1053,2020-03-14,1,0,22095,2020-05-13,808.0,77.0,2020-05-23,838.0,77.0,2020-06-02,864.0,82.0,0,43565,8070,8907,10278,7894,199.87405514,42837,0.610318225651,0.36494696239200003,18.2,10810,5744,43446,36.6
1056,2020-03-14,1,0,27129,2020-05-13,6.0,0.0,2020-05-23,5.0,0.0,2020-06-02,5.0,0.0,0,14798,4088,4934,2490,1631,14.800834367,14548,0.279915377496,0.646568821896,10.5,3376,2980,14721,44.3
1059,2020-03-14,1,0,22057,2020-05-13,716.0,60.0,2020-05-23,766.0,68.0,2020-06-02,867.0,72.0,21,98112,19612,26296,15747,13006,91.36811049200001,97614,0.202262030545,0.7674094707520001,16.6,23034,14344,98214,37.5
1062,2020-03-14,1,0,26115,2020-05-13,404.0,18.0,2020-05-23,461.0,19.0,2020-06-02,472.0,21.0,0,149619,35206,31977,34709,12516,273.96005418,150500,0.362464744066,0.583730314031,10.0,32824,25283,149699,42.4
1065,2020-03-14,1,0,22015,2020-05-13,324.0,22.0,2020-05-23,381.0,25.0,2020-06-02,421.0,26.0,0,125698,23653,33729,25505,18137,151.18027749,127039,0.253683407604,0.711610261351,14.4,31649,16866,126131,35.1
1068,2020-03-14,1,0,17203,2020-05-13,15.0,1.0,2020-05-23,18.0,2.0,2020-06-02,22.0,2.0,0,38942,8978,7421,11097,3807,72.875882999,38459,0.261385321574,0.679766878127,7.1,9569,6561,38817,40.0
1071,2020-03-14,2,0,17163,2020-05-13,788.0,64.0,2020-05-23,1016.0,79.0,2020-06-02,1299.0,98.0,42,264433,54566,74718,43000,29689,394.83773394,259686,0.504861536397,0.448645565054,14.8,62455,38873,263463,38.3
1074,2020-03-14,2,0,17167,2020-05-13,292.0,25.0,2020-05-23,335.0,28.0,2020-06-02,357.0,31.0,99,198134,45191,89902,5359,19761,224.20718355,194672,0.42220540674999996,0.516450369019,13.1,44614,32977,197661,40.0
1077,2020-03-14,1,0,17043,2020-05-13,5244.0,271.0,2020-05-23,6891.0,339.0,2020-06-02,7838.0,380.0,257,931826,189208,281687,188866,288465,2815.8528426999997,922921,0.538831130776,0.39802242031900004,6.6,214874,134729,931743,39.1
1080,2020-03-14,1,0,16081,2020-05-13,11.0,0.0,2020-05-23,11.0,0.0,2020-06-02,11.0,0.0,0,10776,1500,3083,2173,362,27.036844278,12142,0.43435360451099997,0.435159081756,7.6,2921,1126,11080,36.6
1083,2020-03-14,2,0,15007,2020-05-13,21.0,0.0,2020-05-23,20.0,0.0,2020-06-02,20.0,0.0,9,71093,18043,32863,303,393,116.62341805,72293,0.624871843554,0.287602050503,8.5,15731,13438,71377,42.4
1086,2020-03-14,2,0,16013,2020-05-13,507.0,5.0,2020-05-23,510.0,5.0,2020-06-02,512.0,5.0,0,21583,5080,11133,454,1481,8.7275555573,23021,0.598340016786,0.31147999626999995,7.0,5035,3804,21994,43.2
1089,2020-03-14,1,0,17035,2020-05-13,7.0,0.0,2020-05-23,10.0,0.0,2020-06-02,10.0,0.0,0,10899,2730,1746,3070,729,31.120672585999998,10766,0.186468347542,0.761835661165,11.7,2481,2042,10865,42.6
1092,2020-03-14,1,0,21179,2020-05-13,31.0,0.0,2020-05-23,35.0,0.0,2020-06-02,42.0,1.0,4,45131,9073,12539,7210,3300,110.73296762,46233,0.309908000578,0.646885988151,12.2,10978,6609,45388,39.5
1095,2020-03-14,1,0,21017,2020-05-13,8.0,1.0,2020-05-23,9.0,1.0,2020-06-02,11.0,1.0,4,20017,4949,4876,3918,2772,68.294236446,19788,0.31748379024,0.6334887953589999,16.5,4581,3675,20144,42.1
1098,2020-03-14,1,0,20059,2020-05-13,30.0,0.0,2020-05-23,32.0,0.0,2020-06-02,39.0,0.0,5,25599,5593,7556,4844,2871,44.67516335,25544,0.265434415463,0.6591292925500001,9.3,6227,4100,25563,39.1
1101,2020-03-14,1,0,19049,2020-05-13,741.0,8.0,2020-05-23,821.0,14.0,2020-06-02,925.0,24.0,0,80864,12950,14862,25142,15109,158.84728471,93453,0.41635430789300004,0.5127468963499999,5.2,23693,9664,84002,35.3
1104,2020-03-14,1,0,18179,2020-05-13,12.0,0.0,2020-05-23,22.0,0.0,2020-06-02,32.0,0.0,7,27832,6613,7631,5751,3613,76.87310110199999,28296,0.19698239731800002,0.7619446772840001,8.5,6957,4947,27947,39.8
1107,2020-03-14,1,0,18091,2020-05-13,340.0,12.0,2020-05-23,388.0,21.0,2020-06-02,435.0,24.0,34,110839,25713,31634,14528,9913,183.67620597,109888,0.439947548562,0.50402275859,15.7,24035,18574,110552,40.4
1110,2020-03-15,1,0,37189,2020-05-14,9.0,0.0,2020-05-24,13.0,0.0,2020-06-03,31.0,0.0,10,53421,11059,20186,2793,6198,179.80064953,56177,0.48500121658699996,0.4699850533560001,21.2,7066,8200,54117,31.2
1113,2020-03-15,1,0,37195,2020-05-14,218.0,9.0,2020-05-24,314.0,9.0,2020-06-03,370.0,10.0,14,81379,19331,25704,8314,12163,222.55826689,81801,0.519431809113,0.463118133695,21.1,19013,13809,81336,40.6
1116,2020-03-15,1,0,39095,2020-05-14,1883.0,195.0,2020-05-24,2107.0,229.0,2020-06-03,2296.0,256.0,251,433404,92861,155314,33977,52725,1261.1260995,428348,0.5601041297129999,0.386584169779,18.7,100005,66474,432379,37.9
1119,2020-03-15,1,0,41071,2020-05-14,55.0,7.0,2020-05-24,65.0,7.0,2020-06-03,74.0,7.0,11,102366,22508,28176,15075,8041,149.60215985,107100,0.413046369359,0.5006871176519999,12.2,23684,16913,103820,38.1
1122,2020-03-15,1,0,40119,2020-05-14,44.0,1.0,2020-05-24,45.0,1.0,2020-06-03,48.0,1.0,11,80634,13033,31027,4746,6689,119.40993544,81784,0.31658798515299996,0.599805398393,22.8,15714,9633,81512,27.1
1125,2020-03-15,1,0,40071,2020-05-14,49.0,7.0,2020-05-24,52.0,7.0,2020-06-03,57.0,7.0,6,45173,11238,16926,2318,3346,47.344747471999995,43538,0.222328073831,0.724501339684,20.4,11235,8383,44880,38.6
1128,2020-03-15,1,0,40027,2020-05-14,458.0,35.0,2020-05-24,489.0,37.0,2020-06-03,511.0,37.0,77,274024,47856,67279,65436,21796,527.13525714,284014,0.354810383623,0.571401130564,11.9,60795,34733,276733,33.9
1131,2020-03-15,1,0,39103,2020-05-14,207.0,18.0,2020-05-24,288.0,19.0,2020-06-03,366.0,23.0,12,176362,40244,39783,47423,21577,426.48703678,179746,0.35342435094,0.602182184423,6.5,40656,29672,177257,41.9
1134,2020-03-15,2,0,36079,2020-05-14,1115.0,58.0,2020-05-24,1208.0,59.0,2020-06-03,1264.0,60.0,10,99464,22683,14809,35503,12857,426.87222133,98320,0.392952518897,0.5712442855200001,6.0,20311,16053,99070,44.1
1137,2020-03-15,1,0,33011,2020-05-14,1624.0,67.0,2020-05-24,2095.0,112.0,2020-06-03,2554.0,155.0,62,406371,84563,141330,69277,53999,475.76907022,417025,0.472832847471,0.47484593252400004,7.4,86322,60825,411087,40.5
1140,2020-03-15,2,0,28049,2020-05-14,717.0,18.0,2020-05-24,893.0,24.0,2020-06-03,1066.0,26.0,218,243249,44090,70946,32261,50510,266.53483115,231840,0.709251005069,0.272231690264,19.4,59637,31686,241774,34.4
1143,2020-03-15,1,0,36057,2020-05-14,69.0,3.0,2020-05-24,79.0,4.0,2020-06-03,94.0,5.0,8,49500,11948,11808,9105,7552,122.10117072,49221,0.34183966051200004,0.6066636082119999,15.8,11285,8965,49426,41.4
1146,2020-03-15,2,0,36039,2020-05-14,207.0,2.0,2020-05-24,220.0,5.0,2020-06-03,241.0,5.0,0,47791,13422,10749,8529,4511,72.915339799,47188,0.337590757327,0.611903121522,13.0,8057,9996,47617,45.8
1149,2020-03-15,3,0,36029,2020-05-14,4671.0,411.0,2020-05-24,5626.0,484.0,2020-06-03,6234.0,536.0,262,923995,216391,404471,27167,56203,881.05768715,918702,0.501150690936,0.453536613368,13.7,188543,158532,919866,40.4
1152,2020-03-15,1,0,42077,2020-05-14,3378.0,133.0,2020-05-24,3651.0,206.0,2020-06-03,3802.0,239.0,143,360774,80015,116381,50419,64024,1069.5744582,369318,0.503734537447,0.45928602701399995,12.0,82508,58706,362613,39.2
1155,2020-03-15,1,0,49049,2020-05-14,1435.0,11.0,2020-05-24,1704.0,14.0,2020-06-03,2028.0,17.0,122,576496,59457,196631,39538,19909,317.47180642,636235,0.140497993621,0.513055755622,9.4,201857,43689,590440,24.6
1158,2020-03-15,1,0,27163,2020-05-14,282.0,18.0,2020-05-24,506.0,26.0,2020-06-03,670.0,33.0,31,250979,49212,45765,82361,42946,682.70748369,262440,0.469648495201,0.451047653718,4.2,63020,34983,253317,39.3
1161,2020-03-15,1,0,53043,2020-05-14,2.0,0.0,2020-05-24,2.0,0.0,2020-06-03,2.0,0.0,0,10344,3325,2768,1226,810,4.7342721583,10939,0.217498243148,0.719430780042,12.5,2238,2628,10435,48.4
1164,2020-03-15,1,0,53041,2020-05-14,32.0,3.0,2020-05-24,35.0,3.0,2020-06-03,37.0,3.0,6,76012,20549,21481,6959,5016,33.58896436,80707,0.28949789958,0.6510502100419999,12.5,16652,15686,76947,43.1
1167,2020-03-15,3,0,45051,2020-05-14,278.0,18.0,2020-05-24,377.0,21.0,2020-06-03,489.0,28.0,100,310186,90290,116672,9928,11459,312.51662259,354081,0.29502100351,0.6732287575399999,14.3,59937,71237,320915,45.2
1170,2020-03-15,1,0,45045,2020-05-14,996.0,46.0,2020-05-24,1286.0,53.0,2020-06-03,1799.0,57.0,137,490332,100264,183123,33865,65400,666.82074767,523542,0.346633770064,0.593627701208,11.1,116234,74825,498402,38.1
1173,2020-03-15,2,0,45007,2020-05-14,201.0,8.0,2020-05-24,218.0,8.0,2020-06-03,247.0,9.0,40,194174,45832,52678,26890,15127,283.75304725,202558,0.262030487197,0.698777025007,14.6,45273,34228,195995,40.7
1176,2020-03-15,1,0,42079,2020-05-14,2477.0,124.0,2020-05-24,2645.0,135.0,2020-06-03,2766.0,155.0,71,318222,82489,120812,23633,24644,356.66195853,317417,0.387656237051,0.583947985022,14.3,62491,61573,317884,43.0
1179,2020-03-15,1,0,48121,2020-05-14,1016.0,28.0,2020-05-24,1224.0,30.0,2020-06-03,1435.0,32.0,81,781321,106598,178569,199845,67002,1008.6743152999999,887207,0.375059242312,0.576824066529,7.3,205076,76665,807047,35.2
1182,2020-03-15,1,0,27161,2020-05-14,18.0,0.0,2020-05-24,24.0,0.0,2020-06-03,27.0,0.0,0,18898,4286,5806,3654,1985,43.962272694,18612,0.296273097401,0.622925148763,9.2,4426,3187,18809,40.2
1185,2020-03-15,1,0,12017,2020-05-14,109.0,11.0,2020-05-24,119.0,12.0,2020-06-03,122.0,12.0,40,141373,61636,31961,10413,4184,257.18197519,149657,0.286028395527,0.683213971604,15.2,21373,51358,143087,56.2
1188,2020-03-15,1,0,12003,2020-05-14,26.0,3.0,2020-05-24,27.0,3.0,2020-06-03,29.0,4.0,0,27537,5367,4503,5346,1870,49.911990836,29210,0.167167959474,0.814785499446,15.4,6693,3827,27785,37.6
1191,2020-03-15,1,0,8045,2020-05-14,112.0,2.0,2020-05-24,121.0,2.0,2020-06-03,150.0,2.0,5,57945,10202,22141,6588,4731,20.377448183,60061,0.4255925250680001,0.496467639015,8.4,15028,7034,58538,36.3
1194,2020-03-15,6,0,13095,2020-05-14,1643.0,132.0,2020-05-24,1727.0,139.0,2020-06-03,1790.0,149.0,50,91522,18997,28943,4639,17900,267.63323588,87956,0.68456890199,0.301459100958,29.5,22101,13321,91049,35.1
1197,2020-03-15,2,0,13063,2020-05-14,983.0,36.0,2020-05-24,1119.0,43.0,2020-06-03,1260.0,51.0,34,274150,36959,38624,71553,56469,2062.8050676,292256,0.8506432381550001,0.13156125330600002,17.6,78332,24343,278666,32.4
1200,2020-03-15,2,0,13059,2020-05-14,192.0,13.0,2020-05-24,224.0,13.0,2020-06-03,296.0,14.0,104,123554,17345,41469,11484,29428,1076.3988884000003,128331,0.667420456344,0.28699034395399997,27.0,21654,12807,124602,27.7
1203,2020-03-15,1,0,5125,2020-05-14,78.0,1.0,2020-05-24,97.0,1.0,2020-06-03,121.0,1.0,16,116252,26545,21280,31207,6560,169.21150169,122437,0.254892151392,0.689846260414,9.7,27906,20250,118009,39.2
1206,2020-03-15,2,0,5051,2020-05-14,126.0,1.0,2020-05-24,133.0,1.0,2020-06-03,138.0,1.0,41,97994,28731,33527,5279,6279,146.66939609,99386,0.3045095074,0.645883432085,20.4,20063,22442,98296,44.9
1209,2020-03-15,2,0,1117,2020-05-14,390.0,19.0,2020-05-24,433.0,19.0,2020-06-03,541.0,20.0,32,208721,41610,48813,50684,30792,277.19182547,217702,0.231100314491,0.734275461656,8.0,50611,30125,211261,38.9
1212,2020-03-15,1,0,1081,2020-05-14,447.0,30.0,2020-05-24,498.0,32.0,2020-06-03,573.0,34.0,28,156597,24513,45450,22506,11087,270.83432209,164542,0.363928001665,0.595148089062,19.0,34202,17739,159287,31.4
1215,2020-03-15,1,0,6083,2020-05-14,1382.0,11.0,2020-05-24,1566.0,12.0,2020-06-03,1708.0,14.0,82,442996,86816,186689,13296,27133,163.24346466,446499,0.6096551052220001,0.327235970382,12.6,99117,64775,443738,33.7
1218,2020-03-15,1,0,6071,2020-05-14,3198.0,139.0,2020-05-24,4365.0,176.0,2020-06-03,5650.0,209.0,410,2121220,330448,569986,246417,174677,108.63552451,2180085,0.521920294998,0.42413027758,14.9,572852,233343,2135413,33.1
1221,2020-03-15,1,0,24027,2020-05-14,1287.0,40.0,2020-05-24,1671.0,52.0,2020-06-03,2009.0,61.0,16,312495,57302,65820,95857,92815,1297.8389407,325690,0.640760650542,0.305954194302,5.2,77343,40889,315327,38.7
1227,2020-03-15,1,0,23015,2020-05-14,15.0,0.0,2020-05-24,20.0,0.0,2020-06-03,20.0,0.0,4,34021,11973,10480,5626,2490,75.973982205,34634,0.477836879433,0.45385405001900003,11.1,5701,9005,34067,50.7
1230,2020-03-15,1,0,22087,2020-05-14,516.0,18.0,2020-05-24,521.0,21.0,2020-06-03,545.0,22.0,8,45067,6771,7799,9549,5298,125.14573935,47244,0.313595242614,0.647308154615,20.1,12322,4869,45694,33.7
1233,2020-03-15,1,0,26139,2020-05-14,483.0,23.0,2020-05-24,696.0,26.0,2020-06-03,876.0,41.0,22,280243,54457,81959,50570,37371,517.87771245,291830,0.318255905918,0.622096901757,6.8,69390,40123,284034,35.0
1236,2020-03-15,3,0,25023,2020-05-14,6774.0,435.0,2020-05-24,7559.0,508.0,2020-06-03,8243.0,572.0,47,509114,119899,136325,110866,55732,791.40182088,521202,0.506601859423,0.434276672421,6.2,112523,87718,512135,42.6
1239,2020-03-15,1,0,25013,2020-05-14,4974.0,487.0,2020-05-24,5687.0,542.0,2020-06-03,6237.0,608.0,119,469188,103567,167034,42218,36149,755.86978552,466372,0.55095894516,0.39072020777099997,16.7,102903,75229,469116,38.9
1242,2020-03-15,1,0,17201,2020-05-14,1337.0,39.0,2020-05-24,1925.0,52.0,2020-06-03,2354.0,69.0,87,287512,65218,107129,21596,27099,550.65493316,282572,0.46533129252300004,0.477071850089,16.1,67673,47426,286174,39.6
