,date_0days,cases_0days,deaths_0days,date_90days,cases_90days,deaths_90days,fips,icu_beds,kaiser_total_population,kaiser_60plus_population,commuting_within,commuting_out,commuting_in
0,2020-01-21,1,0,2020-04-20,2162,96,53061,72,771904,143234,233454,130657,54070
1,2020-01-24,1,0,2020-04-23,25811,1142,17031,1606,5238541,1005046,2095418,317505,489235
2,2020-01-25,1,0,2020-04-24,1845,36,6059,651,3155816,598030,1242712,235247,317959
3,2020-01-26,1,0,2020-04-25,3234,121,4013,1004,4155501,808534,1752902,40810,79525
4,2020-01-26,1,0,2020-04-25,19107,895,6037,2126,10105722,1800341,4182123,334665,483659
5,2020-01-31,1,0,2020-04-30,2163,112,6085,313,1911226,338720,774537,118222,240720
6,2020-02-01,1,0,2020-05-01,13295,550,25025,447,780685,125537,270497,123140,371770
7,2020-02-02,2,0,2020-05-02,1552,29,6075,337,864263,179193,353484,114866,307615
8,2020-02-05,1,0,2020-05-05,443,22,55025,39,522837,93985,266491,15371,52187
9,2020-02-10,1,0,2020-05-10,4989,194,6073,570,3283665,604412,1461512,43025,72833
10,2020-02-12,1,0,2020-05-12,1942,57,48029,648,1892004,307269,783313,45372,89600
11,2020-02-17,10,0,2020-05-17,2428,24,31055,187,549706,95539,236643,36735,89375
12,2020-02-20,1,0,2020-05-20,88,0,6023,32,135490,31200,55393,1146,1575
13,2020-02-21,1,0,2020-05-21,1265,57,6067,396,1495400,279005,500893,115932,120790
14,2020-02-24,4,0,2020-05-22,454,31,53063,113,490764,105082,199020,10084,18916
15,2020-02-24,1,0,2020-05-22,460,20,6095,92,434981,90069,109059,75812,31582
16,2020-02-25,1,0,2020-05-22,4308,65,49035,282,1106700,164497,490467,38273,116130
17,2020-02-26,1,0,2020-05-22,467,4,6097,82,500943,124291,197589,37428,17940
18,2020-02-26,1,0,2020-05-22,97,3,6055,32,141005,33686,51743,15258,22730
19,2020-02-26,1,0,2020-05-22,369,14,6041,66,260814,72684,81726,43886,46516
20,2020-02-28,1,0,2020-05-22,7699,544,53033,450,2118119,386511,977642,81556,247854
21,2020-02-28,1,0,2020-05-22,669,17,41067,85,572071,100693,188061,83258,84068
22,2020-03-01,1,0,2020-05-22,946,90,12081,90,363542,120595,96829,41125,19780
23,2020-03-01,1,0,2020-05-22,1790,70,12057,432,1351087,257269,531016,74071,131673
24,2020-03-01,1,0,2020-05-22,2729,90,6001,282,1629615,300276,462479,256588,237262
25,2020-03-02,1,0,2020-05-22,7724,771,25021,59,694389,155147,154853,196195,175598
26,2020-03-02,1,0,2020-05-22,68,1,33009,54,89280,23734,35656,8356,20420
27,2020-03-02,1,0,2020-05-22,106,2,53071,28,59862,13443,22801,2866,6521
28,2020-03-02,2,0,2020-05-22,3931,196,13121,538,1010420,159840,341073,123502,496827
29,2020-03-02,1,0,2020-05-22,184,9,6061,70,374985,92327,99291,60392,56930
30,2020-03-02,1,0,2020-05-22,1791,76,6081,131,763450,161619,218300,160184,162092
