,date_0days,cases_0days,deaths_0days,date_60days,cases_60days,deaths_60days,fips,icu_beds,kaiser_total_population,kaiser_60plus_population
0,2020-01-21,1,0,2020-03-21,446,9,53061,72,771904,143234
1,2020-01-24,1,0,2020-03-24,1194,12,17031,1606,5238541,1005046
2,2020-01-25,1,0,2020-03-25,187,1,6059,651,3155816,598030
3,2020-01-26,1,0,2020-03-26,1216,21,6037,2126,10105722,1800341
4,2020-01-26,1,0,2020-03-26,299,4,4013,1004,4155501,808534
5,2020-01-31,1,0,2020-03-31,890,31,6085,313,1911226,338720
6,2020-02-01,1,0,2020-04-01,1624,15,25025,447,780685,125537
7,2020-02-02,2,0,2020-04-02,450,7,6075,337,864263,179193
8,2020-02-05,1,0,2020-04-05,269,8,55025,39,522837,93985
9,2020-02-10,1,0,2020-04-10,1696,44,6073,570,3283665,604412
10,2020-02-12,1,0,2020-04-12,734,27,48029,648,1892004,307269
11,2020-02-17,10,0,2020-04-17,287,8,31055,187,549706,95539
12,2020-02-20,1,0,2020-04-20,52,0,6023,32,135490,31200
13,2020-02-21,1,0,2020-04-21,954,35,6067,396,1495400,279005
14,2020-02-24,4,0,2020-04-24,330,19,53063,113,490764,105082
15,2020-02-24,1,0,2020-04-24,199,4,6095,92,434981,90069
16,2020-02-25,1,0,2020-04-25,2051,25,49035,282,1106700,164497
17,2020-02-26,1,0,2020-04-26,220,2,6097,82,500943,124291
18,2020-02-26,1,0,2020-04-26,61,2,6055,32,141005,33686
19,2020-02-26,1,0,2020-04-26,224,12,6041,66,260814,72684
20,2020-02-28,1,0,2020-04-28,474,11,41067,85,572071,100693
21,2020-02-28,1,0,2020-04-28,6056,429,53033,450,2118119,386511
22,2020-03-01,1,0,2020-04-30,580,55,12081,90,363542,120595
23,2020-03-01,1,0,2020-04-30,1124,23,12057,432,1351087,257269
24,2020-03-01,1,0,2020-04-30,1624,63,6001,282,1629615,300276
25,2020-03-02,1,0,2020-05-01,6065,522,25021,59,694389,155147
26,2020-03-02,1,0,2020-05-01,51,1,33009,54,89280,23734
27,2020-03-02,1,0,2020-05-01,86,0,53071,28,59862,13443
28,2020-03-02,2,0,2020-05-01,2880,122,13121,538,1010420,159840
29,2020-03-02,1,0,2020-05-01,150,8,6061,70,374985,92327
30,2020-03-02,1,0,2020-05-01,1197,52,6081,131,763450,161619
31,2020-03-03,1,0,2020-05-02,870,19,37183,175,1023811,157546
32,2020-03-03,1,0,2020-05-02,934,28,6013,163,1123678,231404
33,2020-03-04,1,0,2020-05-03,16185,1210,34003,147,937920,211672
34,2020-03-04,9,0,2020-05-03,29884,1203,36119,179,975321,214443
35,2020-03-04,1,0,2020-05-03,1183,28,48157,128,711421,107897
36,2020-03-04,1,0,2020-05-03,123,6,53007,20,75138,18408
37,2020-03-05,1,0,2020-05-04,36965,2221,36059,461,1363069,318040
38,2020-03-05,1,0,2020-05-04,988,35,32031,331,445551,95558
39,2020-03-05,1,0,2020-05-04,4411,223,32003,535,2112436,405618
40,2020-03-05,4,0,2020-05-04,6967,140,48201,918,4525519,651673
41,2020-03-05,1,0,2020-05-04,431,9,47187,28,212161,37356
42,2020-03-05,1,0,2020-05-04,15757,997,25017,216,1582857,319971
43,2020-03-05,3,0,2020-05-04,5411,301,24031,150,1039198,209461
44,2020-03-05,1,0,2020-05-04,158,8,12113,16,166778,34353
45,2020-03-05,1,0,2020-05-04,1431,85,8059,94,564029,124374
46,2020-03-05,1,0,2020-05-04,531,23,8035,54,320940,50139
47,2020-03-06,1,0,2020-05-05,645,36,40143,379,637123,120771
48,2020-03-06,1,0,2020-05-05,403,11,37037,4,68364,20511
49,2020-03-06,2,0,2020-05-05,12144,383,36087,39,325027,66379
50,2020-03-06,1,0,2020-05-05,4251,180,34007,199,510996,104370
51,2020-03-06,1,0,2020-05-05,4326,320,42045,100,563384,123831
52,2020-03-06,1,0,2020-05-05,109,5,42127,8,51656,15447
53,2020-03-06,1,0,2020-05-05,368,22,53011,90,457474,92850
54,2020-03-06,1,0,2020-05-05,463,8,45019,221,387847,82073
55,2020-03-06,1,0,2020-05-05,583,37,27123,135,537893,102817
56,2020-03-06,1,0,2020-05-05,1558,54,53053,189,845193,157501
57,2020-03-06,1,0,2020-05-05,28,0,53031,6,30524,13626
58,2020-03-06,1,0,2020-05-05,302,2,49011,22,334977,45623
59,2020-03-06,1,0,2020-05-05,247,10,45055,10,63734,15574
60,2020-03-06,1,0,2020-05-05,85,0,49053,32,155577,40002
61,2020-03-06,1,0,2020-05-05,478,15,4021,22,405537,100086
62,2020-03-06,2,0,2020-05-05,3546,188,8031,227,678467,109403
63,2020-03-06,1,0,2020-05-05,172,19,6113,14,212605,34981
64,2020-03-06,1,0,2020-05-05,298,9,21067,260,315109,55235
65,2020-03-06,1,0,2020-05-05,6469,398,18097,526,939964,160942
66,2020-03-06,1,0,2020-05-05,404,11,15003,148,990060,218287
67,2020-03-06,1,0,2020-05-05,61,0,13233,0,41444,8705
68,2020-03-06,1,1,2020-05-05,1159,49,12071,141,700165,239488
69,2020-03-06,2,0,2020-05-05,5492,215,12011,587,1890416,406732
70,2020-03-06,1,0,2020-05-05,1028,78,8041,95,674826,116223
71,2020-03-06,1,0,2020-05-05,547,7,8037,5,53726,8107
72,2020-03-07,1,0,2020-05-06,39,0,41035,0,66018,18095
73,2020-03-07,2,0,2020-05-06,371,3,36091,19,226632,52232
74,2020-03-07,2,0,2020-05-06,49,0,41029,50,212070,60113
75,2020-03-07,1,0,2020-05-06,903,43,33015,43,302479,69798
76,2020-03-07,1,0,2020-05-06,3539,204,29189,468,999539,235062
77,2020-03-07,1,0,2020-05-06,15,0,53037,6,43726,9312
78,2020-03-07,1,0,2020-05-06,4834,201,51059,178,1142004,205097
79,2020-03-07,1,0,2020-05-06,53,1,50003,10,36054,10413
80,2020-03-07,2,0,2020-05-06,4827,471,42091,215,818677,190034
81,2020-03-07,1,0,2020-05-06,138,2,6087,22,273263,57232
82,2020-03-07,1,0,2020-05-06,4672,190,6065,351,2355002,437180
83,2020-03-07,1,0,2020-05-06,55,2,6039,10,154440,28392
84,2020-03-07,1,0,2020-05-06,777,9,6019,164,971616,157757
85,2020-03-07,1,0,2020-05-06,461,37,25003,24,127751,37339
86,2020-03-07,1,0,2020-05-06,521,45,20091,110,578797,110038
87,2020-03-07,1,0,2020-05-06,2222,81,13135,82,889954,122430
88,2020-03-07,1,0,2020-05-06,1998,107,13067,119,739072,120689
89,2020-03-07,1,0,2020-05-06,526,27,12127,148,518660,160876
90,2020-03-07,1,0,2020-05-06,161,5,12091,57,197591,41694
91,2020-03-07,1,0,2020-05-06,294,29,12015,51,173236,81236
93,2020-03-08,1,0,2020-05-07,1416,27,36111,25,180129,45203
94,2020-03-08,1,0,2020-05-07,613,21,41047,68,330453,68700
95,2020-03-08,1,0,2020-05-07,24,0,41019,32,107576,35360
96,2020-03-08,1,0,2020-05-07,35892,1599,36103,281,1497595,326104
97,2020-03-08,1,0,2020-05-07,14133,703,34031,97,510563,98279
98,2020-03-08,1,0,2020-05-07,58,0,27019,25,98799,15454
99,2020-03-08,1,0,2020-05-07,7197,385,25027,169,818249,170081
100,2020-03-08,1,0,2020-05-07,154,2,53035,20,258903,59433
101,2020-03-08,1,0,2020-05-07,3066,64,47157,277,937847,169553
102,2020-03-08,1,0,2020-05-07,3432,35,47037,614,678322,113356
103,2020-03-08,1,0,2020-05-07,325,12,45083,39,297732,63159
104,2020-03-08,1,0,2020-05-07,12679,977,9001,173,947328,197334
105,2020-03-08,1,0,2020-05-07,556,22,24025,19,250132,53295
106,2020-03-08,1,0,2020-05-07,1578,113,21111,366,764378,161771
107,2020-03-08,1,0,2020-05-07,18,0,21097,6,18630,4370
108,2020-03-08,3,0,2020-05-07,543,6,19103,95,144425,21650
109,2020-03-08,1,0,2020-05-07,910,60,18063,39,158170,28822
110,2020-03-08,1,0,2020-05-07,569,17,13057,15,235896,42210
111,2020-03-09,3,0,2020-05-08,2668,143,39035,680,1257401,297844
112,2020-03-09,2,0,2020-05-08,6752,429,34025,152,627551,142622
113,2020-03-09,1,0,2020-05-08,16520,940,34017,105,679756,109974
114,2020-03-09,1,0,2020-05-08,13917,844,34039,80,557320,106249
115,2020-03-09,1,0,2020-05-08,12,0,55093,0,41226,8070
117,2020-03-09,1,0,2020-05-08,1198,63,42089,44,167306,37614
118,2020-03-09,1,0,2020-05-08,889,27,48085,195,914075,135322
119,2020-03-09,1,0,2020-05-08,3148,177,8005,127,626612,111767
120,2020-03-09,1,0,2020-05-08,31,4,6089,81,178919,47900
121,2020-03-09,1,0,2020-05-08,1520,131,4019,296,1007257,245814
122,2020-03-09,1,0,2020-05-08,437,19,8069,55,330976,67199
123,2020-03-09,1,0,2020-05-08,8917,339,24033,89,905161,159437
124,2020-03-09,1,0,2020-05-08,6610,392,22051,215,437038,96599
125,2020-03-09,1,0,2020-05-08,76,2,19155,29,93287,21265
126,2020-03-09,1,0,2020-05-08,128,15,18113,0,47421,9969
127,2020-03-09,2,0,2020-05-08,2445,69,13089,168,736066,121505
128,2020-03-09,1,0,2020-05-08,190,12,13113,37,110306,25277
129,2020-03-09,1,0,2020-05-08,155,12,13115,65,96471,20941
130,2020-03-10,1,0,2020-05-09,863,53,41051,165,788459,143926
131,2020-03-10,1,0,2020-05-09,7692,841,26125,409,1241860,273867
132,2020-03-10,1,0,2020-05-09,17881,891,42101,528,1569657,287348
133,2020-03-10,1,0,2020-05-09,17960,2082,26163,586,1763822,362535
134,2020-03-10,1,0,2020-05-09,518,29,27003,35,344861,63313
135,2020-03-10,2,0,2020-05-09,3531,194,34005,82,449192,98530
136,2020-03-10,2,0,2020-05-09,1127,30,51107,33,374558,46809
137,2020-03-10,1,0,2020-05-09,397,14,53057,18,121725,31915
138,2020-03-10,1,0,2020-05-09,330,33,53073,24,212738,47353
139,2020-03-10,1,0,2020-05-09,175,2,49057,64,244101,38967
140,2020-03-10,1,0,2020-05-09,21,2,46005,6,18163,4501
141,2020-03-10,1,0,2020-05-09,5,0,46023,0,9319,2183
