,date_0days,cases_0days,deaths_0days,date_70days,cases_70days,deaths_70days,fips,icu_beds,kaiser_total_population,kaiser_60plus_population,commuting_within,commuting_out,commuting_in,density,pop_2019,percent_democrat,percent_gop,percent_in_poverty,pop_under18,pop_over65,pop_2018,median_age,percent_with_bachelors
41,2020-03-05,4,0,2020-05-14,8817,193,48201,918,4525519,651673,1886183,159527,461890,2762.5492191,4713325,0.54223505185,0.418271116375,16.5,1240376,452327,4602523,33.3,31.0
42,2020-03-05,3,0,2020-05-14,7588,437,24031,150,1039198,209461,318911,213804,179278,2130.9408448,1050688,0.7586602988,0.20324516287,6.9,243609,151809,1040133,39.0,59.0
43,2020-03-05,1,0,2020-05-14,18381,1327,25017,216,1582857,319971,548665,268960,337744,1970.6497636,1611699,0.663227499782,0.2817054306,7.3,321214,234069,1595192,38.5,55.2
44,2020-03-05,1,0,2020-05-14,180,9,12113,16,166778,34353,33660,35923,7801,182.05920707,184313,0.210426388508,0.744876017934,9.5,37910,26193,170442,39.7,28.1
45,2020-03-05,1,0,2020-05-14,1748,107,8059,94,564029,124374,140839,149058,96322,762.59696552,582881,0.490697156002,0.420745713649,7.0,115926,88707,570427,40.4,44.1
46,2020-03-05,1,0,2020-05-14,621,31,8035,54,320940,50139,67951,89579,47964,417.91548841,351154,0.366530357865,0.547666167354,2.6,89484,35801,328614,38.4,57.9
47,2020-03-06,1,0,2020-05-15,107,7,42127,8,51656,15447,11696,8969,5510,70.784131107,51361,0.28607198748,0.6827185334229999,13.0,8784,11809,51536,48.1,20.4
48,2020-03-06,1,0,2020-05-15,5409,466,42045,100,563384,123831,138021,124591,75980,3083.2498462,566747,0.5939255420740001,0.374111757106,8.8,124912,88412,563527,39.0,38.3
49,2020-03-06,1,0,2020-05-15,752,37,40143,379,637123,120771,274047,23216,85413,1142.9119618,651552,0.355548615533,0.583982608484,14.1,163587,87684,642781,35.5,31.2
50,2020-03-06,2,0,2020-05-15,12637,434,36087,39,325027,66379,84101,58448,31002,1878.3505416,325789,0.511961143429,0.461082917147,13.9,90065,49645,323686,36.1,40.6
51,2020-03-06,1,0,2020-05-15,5255,262,34007,199,510996,104370,120977,114556,75864,2288.1000494000004,506471,0.645876146019,0.32217821872,12.9,116637,75995,507367,38.7,31.8
52,2020-03-06,1,0,2020-05-15,501,10,45019,221,387847,82073,160740,21435,81036,448.18214778,411406,0.506386124538,0.427824850725,14.2,78615,60929,394708,37.6,42.8
53,2020-03-06,1,0,2020-05-15,1287,61,27123,135,537893,102817,143064,118682,180547,3614.7495441,550321,0.657335200865,0.262957857936,14.6,126490,74248,541493,34.9,41.9
54,2020-03-06,1,0,2020-05-15,1772,66,53053,189,845193,157501,263500,109312,63098,542.53805418,904980,0.496931108025,0.421727755183,8.7,203938,113665,859840,36.1,26.4
55,2020-03-06,1,0,2020-05-15,29,0,53031,6,30524,13626,9318,1783,1326,17.863595903,32221,0.624676616915,0.297810945274,12.7,3926,10559,30856,57.9,41.8
56,2020-03-06,1,0,2020-05-15,401,25,53011,90,457474,92850,129918,67262,21720,776.85533336,488241,0.463250316676,0.46270379602,8.8,114644,67720,465384,38.2,29.8
57,2020-03-06,1,0,2020-05-15,165,0,49053,32,155577,40002,53020,3587,2954,73.145411344,177556,0.16667826208,0.688176157512,9.7,43680,32828,160537,36.4,27.7
58,2020-03-06,1,0,2020-05-15,354,2,49011,22,334977,45623,79324,68831,34746,1188.6425946,355481,0.215696391206,0.448925578773,5.7,111690,32621,340621,30.8,37.5
59,2020-03-06,1,0,2020-05-15,261,12,45055,10,63734,15574,13630,12433,5901,91.590862268,66551,0.356467532468,0.604813852814,14.5,15016,11340,64361,41.7,19.9
60,2020-03-06,1,0,2020-05-15,495,24,37037,4,68364,20511,11803,17017,5570,109.23828497,74470,0.536156601842,0.4353121801430001,9.3,14350,16306,69791,46.7,41.3
61,2020-03-06,1,0,2020-05-15,670,28,4021,22,405537,100086,66064,65672,17022,86.24393453399998,462789,0.380971163584,0.5741378391340001,12.9,98104,80907,419721,38.9,19.0
62,2020-03-06,1,0,2020-05-15,182,22,6113,14,212605,34981,57362,32756,46807,217.29866745,220500,0.680718250598,0.26031645694600003,20.1,45919,25441,214977,31.0,41.6
63,2020-03-06,2,0,2020-05-15,4452,248,8031,227,678467,109403,210947,132233,280068,4743.9552681999985,727211,0.751690767184,0.187854888911,11.7,139801,78751,693417,34.4,47.9
64,2020-03-06,1,0,2020-05-15,532,12,21067,260,315109,55235,130876,23461,53687,1139.3160414,323152,0.512636652169,0.417964617374,14.6,67004,40073,318734,34.4,42.9
65,2020-03-06,1,0,2020-05-15,8082,500,18097,526,939964,160942,349286,79876,205245,2432.3168245,964582,0.589015980281,0.360672445786,17.2,234068,113355,944523,34.4,30.4
66,2020-03-06,1,0,2020-05-15,78,0,13233,0,41444,8705,9288,6548,3535,137.31381163,42613,0.202217827377,0.777369684984,21.8,10793,6270,41621,37.1,12.2
67,2020-03-06,1,0,2020-05-15,414,11,15003,148,990060,218287,481909,3507,4773,1622.7267286,974563,0.614786319102,0.316070609732,7.7,211029,166432,987638,37.6,34.3
68,2020-03-06,1,1,2020-05-15,1384,74,12071,141,700165,239488,225044,33214,18353,986.07766533,770577,0.382830412803,0.586687415783,12.1,129984,198022,718679,48.1,27.8
69,2020-03-06,2,0,2020-05-15,6133,272,12011,587,1890416,406732,668801,204778,129438,1623.499921,1952778,0.6647197440079999,0.314182517315,12.6,408805,303981,1909151,40.1,31.9
70,2020-03-06,1,0,2020-05-15,1251,83,8041,95,674826,116223,294394,17796,17830,338.71841276,720403,0.33774694914700004,0.563425510657,9.9,168985,83244,688153,34.1,37.9
71,2020-03-06,1,0,2020-05-15,566,8,8037,5,53726,8107,26068,5064,3654,32.726608698,55127,0.559550661183,0.360576710451,6.7,12118,5482,54357,36.5,48.1
72,2020-03-07,2,0,2020-05-16,423,3,36091,19,226632,52232,61985,51176,24432,283.78298772,229863,0.44717501369,0.490810748494,6.3,46969,38737,227377,42.6,41.4
73,2020-03-07,1,0,2020-05-16,41,0,41035,0,66018,18095,23764,1658,911,11.482571274000001,68238,0.242134062927,0.689808481532,18.5,14408,13368,66310,42.4,19.4
74,2020-03-07,2,0,2020-05-16,50,0,41029,50,212070,60113,81318,4002,4806,79.383302602,220944,0.419601306497,0.51145111717,14.8,44616,45075,214267,42.7,27.4
75,2020-03-07,1,0,2020-05-16,4106,329,29189,468,999539,235062,343934,139112,234558,1959.2565868,994205,0.5578349649350001,0.395399737434,10.5,221598,172382,998684,40.3,43.2
76,2020-03-07,2,0,2020-05-16,5797,614,42091,215,818677,190034,261962,148959,213123,1720.4403096,830915,0.58729698308,0.376157047316,5.9,178892,139629,821301,41.3,48.7
77,2020-03-07,1,0,2020-05-16,51,0,53037,6,43726,9312,16359,2949,1288,20.865716698,47935,0.392167557543,0.536980473437,15.8,7810,6862,44825,33.1,34.8
78,2020-03-07,1,0,2020-05-16,7386,278,51059,178,1142004,205097,324518,278265,289947,2934.8116361,1147532,0.652997653162,0.290751909339,6.1,270503,144212,1143529,37.9,61.1
79,2020-03-07,1,0,2020-05-16,60,1,50003,10,36054,10413,14897,1709,4494,52.548430542,35470,0.583603548486,0.362496176201,11.4,6920,7906,35920,47.0,35.7
80,2020-03-07,1,0,2020-05-16,1095,60,33015,43,302479,69798,88226,74176,58826,445.46308918,309769,0.446881372029,0.5052763889280001,5.3,60925,50759,305129,44.3,40.7
81,2020-03-07,1,0,2020-05-16,149,3,6087,22,273263,57232,99105,29040,18034,613.82863485,273213,0.7504691257960001,0.177589442247,12.2,53761,41001,273765,37.4,40.0
82,2020-03-07,1,0,2020-05-16,5618,255,6065,351,2355002,437180,622846,275801,104732,342.703209,2470546,0.496107441063,0.452762678244,12.7,613808,328609,2383286,35.3,21.8
83,2020-03-07,1,0,2020-05-16,71,2,6039,10,154440,28392,30551,13657,13802,73.62298192,157327,0.38767766979,0.5609841520009999,20.2,42814,20797,155013,33.9,14.5
84,2020-03-07,1,0,2020-05-16,1192,16,6019,164,971616,157757,328935,31408,32321,167.6799017,999101,0.494118211169,0.455315187162,21.3,279979,114438,978130,32.0,20.7
85,2020-03-07,1,0,2020-05-16,495,37,25003,24,127751,37339,57613,4495,5606,134.8010402,124944,0.674965507619,0.260421349621,11.3,22133,28064,127328,46.7,33.4
86,2020-03-07,1,0,2020-05-16,648,56,20091,110,578797,110038,207529,89627,110002,1271.9107791,602401,0.451555479298,0.478661533567,5.5,145775,79578,585502,37.5,55.3
87,2020-03-07,1,0,2020-05-16,2407,132,13067,119,739072,120689,206626,154218,133345,2237.0896015,760141,0.488370953116,0.46749626253,9.1,180207,85117,745057,36.5,46.5
88,2020-03-07,1,0,2020-05-16,591,30,12127,148,518660,160876,156522,39807,18643,502.41804154,553284,0.417945940132,0.548447200197,13.2,94308,125506,527634,46.5,23.6
89,2020-03-07,1,0,2020-05-16,2597,102,13135,82,889954,122430,235117,165900,119359,2174.1752753,936250,0.509562221584,0.452142585921,9.2,247451,83442,902298,35.1,36.1
90,2020-03-07,1,0,2020-05-16,176,5,12091,57,197591,41694,81035,10334,19014,226.54514971,210738,0.235562355326,0.7131943133609999,12.7,44558,31003,200737,36.8,30.6
91,2020-03-07,1,0,2020-05-16,370,41,12015,51,173236,81236,39077,16049,9928,277.35736469,188910,0.3469680138699999,0.624939007298,11.1,22165,69046,176954,58.6,23.2
93,2020-03-08,1,0,2020-05-17,1552,42,36111,25,180129,45203,55761,27571,12261,157.94992078,177573,0.518707703477,0.427334249488,14.3,32420,33335,179303,43.7,32.2
94,2020-03-08,1,0,2020-05-17,38117,1799,36103,281,1497595,326104,548500,172968,85628,1619.4232899,1476601,0.442614907626,0.524840184108,7.3,322908,239139,1487901,41.3,35.6
95,2020-03-08,1,0,2020-05-17,827,23,41047,68,330453,68700,107484,27187,33410,294.62141393,347818,0.440444388289,0.4903794086860001,14.5,84092,50268,335553,36.4,22.8
96,2020-03-08,1,0,2020-05-17,25,0,41019,32,107576,35360,35686,2827,2002,22.038774258000004,110980,0.270516066212,0.664303797468,15.0,21045,26671,108323,47.0,17.2
97,2020-03-08,1,0,2020-05-17,15205,838,34031,97,510563,98279,104794,120448,79428,2697.8238848,501826,0.595497596497,0.378045362482,13.6,121021,70281,504041,37.0,28.1
98,2020-03-08,1,0,2020-05-17,113,2,27019,25,98799,15454,20578,30997,19578,296.69689409,105089,0.390330659504,0.527331131356,3.8,27382,10962,100416,37.5,48.1
99,2020-03-08,1,0,2020-05-17,159,2,53035,20,258903,59433,95235,22252,11747,687.05358709,271473,0.510524762908,0.394200210748,9.1,54365,44246,262475,39.0,32.2
100,2020-03-08,1,0,2020-05-17,3726,85,47157,277,937847,169553,394448,24184,100530,1227.3643539999996,937166,0.622670334869,0.346373933665,21.7,236247,118566,937005,35.4,31.1
101,2020-03-08,1,0,2020-05-17,4132,44,47037,614,678322,113356,274809,59608,160867,1378.7692334,694144,0.603060938509,0.34266995398,15.4,145490,79891,684017,34.3,40.3
102,2020-03-08,1,0,2020-05-17,399,13,45083,39,297732,63159,97703,27260,33712,395.89874684,319785,0.330217810635,0.630011672862,13.6,70456,47462,302195,38.2,23.8
103,2020-03-08,1,0,2020-05-17,9252,569,25027,169,818249,170081,280406,114917,63512,549.84556659,830622,0.5174291024009999,0.412466008001,9.0,176734,122402,822280,40.1,35.9
104,2020-03-08,1,0,2020-05-17,14248,1146,9001,173,947328,197334,353280,99708,114321,1509.4086275,943332,0.5818552740940001,0.378905574012,10.0,216907,143419,944348,40.3,47.4
105,2020-03-08,1,0,2020-05-17,690,34,24025,19,250132,53295,70291,56384,28274,584.36625333,255441,0.352613021638,0.597799137043,7.0,56648,38632,251025,40.8,35.8
106,2020-03-08,1,0,2020-05-17,1922,127,21111,366,764378,161771,323606,30982,113202,2014.0227305,766757,0.540918084461,0.407502735431,15.4,172211,117584,767154,38.1,32.7
107,2020-03-08,1,0,2020-05-17,19,0,21097,6,18630,4370,3644,3541,1274,61.635932237,18886,0.261255466941,0.6991252894259999,15.5,4277,3290,18668,42.1,14.8
108,2020-03-08,3,0,2020-05-17,569,7,19103,95,144425,21650,66966,10306,19830,246.56142631,151140,0.6602853101,0.277549347542,15.8,29611,15870,147001,30.0,53.0
109,2020-03-08,1,0,2020-05-17,1050,74,18063,39,158170,28822,30601,45437,27824,418.56402865,170311,0.300233862181,0.642137712934,5.9,41179,20870,160940,37.7,36.3
110,2020-03-08,1,0,2020-05-17,714,24,13057,15,235896,42210,46339,61677,17233,614.54094882,258773,0.227412587413,0.727371982856,7.4,61214,31100,241910,38.3,37.0
111,2020-03-09,3,0,2020-05-18,3410,175,39035,680,1257401,297844,502361,63282,197691,2701.4936537,1235072,0.658357766233,0.308444353,17.9,264692,217416,1253783,40.3,31.9
112,2020-03-09,2,0,2020-05-18,7408,513,34025,152,627551,142622,184953,115632,79987,1321.6980276,618795,0.43607171064,0.530718454831,6.7,135336,103679,623387,43.2,44.9
113,2020-03-09,1,0,2020-05-18,17574,1068,34017,105,679756,109974,146202,186657,130370,14555.938983000002,672391,0.744594762318,0.226461462083,14.3,137658,76628,668631,35.1,40.9
114,2020-03-09,1,0,2020-05-18,21,0,55093,0,41226,8070,7989,14118,3335,74.481945647,42754,0.3973635544600001,0.533927640002,8.5,8703,5692,41603,36.8,28.2
115,2020-03-09,1,0,2020-05-18,14903,962,34039,80,557320,106249,119361,141927,114860,5413.6512622,556341,0.662816509789,0.308052054607,7.8,130363,76895,553066,38.5,35.1
116,2020-03-09,1,0,2020-05-18,1259,88,42089,44,167306,37614,45602,28938,16986,279.9324603,170271,0.48419871406,0.4808018925150001,12.3,33787,27248,167586,42.8,24.4
118,2020-03-09,1,0,2020-05-18,1049,31,48085,195,914075,135322,249848,188848,139962,1229.7687086,1034730,0.392200143039,0.562046866454,6.4,250994,98040,944350,36.6,51.7
119,2020-03-09,1,0,2020-05-18,3767,253,8005,127,626612,111767,149755,157731,148283,822.83599885,656590,0.526755852843,0.389259314488,8.1,153460,78627,636671,36.5,42.2
120,2020-03-09,1,0,2020-05-18,34,4,6089,81,178919,47900,62873,4740,5957,47.697443513,180080,0.282148468727,0.655883893376,15.2,38673,35621,179085,41.8,22.2
121,2020-03-09,1,0,2020-05-18,495,21,8069,55,330976,67199,131908,28664,21060,137.49229240000003,356899,0.475355472235,0.426123147857,10.5,67812,49587,338161,35.9,46.3
122,2020-03-09,1,0,2020-05-18,1825,157,4019,296,1007257,245814,404526,13519,12374,113.97478676,1047279,0.542321530538,0.407523519661,16.2,218448,190252,1019722,38.3,31.9
123,2020-03-09,1,0,2020-05-18,11629,436,24033,89,905161,159437,178243,280538,157790,1884.0230157,909327,0.893292622141,0.0834256645713,8.3,203610,111152,906202,36.8,32.7
124,2020-03-09,1,0,2020-05-18,7059,430,22051,215,437038,96599,130310,75933,68478,1462.6262651,432493,0.405429245595,0.5529141949849999,15.6,95809,70261,435300,39.2,26.1
125,2020-03-09,1,0,2020-05-18,170,2,19155,29,93287,21265,24991,20897,14359,98.058840781,93206,0.363306967271,0.5788140008529999,11.8,22149,15466,93503,39.5,21.2
126,2020-03-09,1,0,2020-05-18,153,21,18113,0,47421,9969,12379,9147,7064,116.20954268,47744,0.231142687981,0.722202486679,9.1,12008,7103,47451,38.7,14.3
127,2020-03-09,2,0,2020-05-18,2856,86,13089,168,736066,121505,150749,186634,153183,2836.041489,759297,0.8082272341660001,0.160647714714,14.3,174266,85571,743187,35.6,43.4
128,2020-03-09,1,0,2020-05-18,210,11,13113,37,110306,25277,22248,26597,22858,588.65191144,114421,0.385099441933,0.580157981022,5.0,26071,19089,111369,43.5,46.5
129,2020-03-09,1,0,2020-05-18,187,13,13115,65,96471,20941,31895,7241,11865,193.20052674,98498,0.266481751825,0.70204379562,20.7,22672,15636,96824,38.5,20.4
130,2020-03-10,1,0,2020-05-19,1005,55,41051,165,788459,143926,301648,84388,183411,1885.5092324,812855,0.7595943672050001,0.17624845567699998,12.0,154507,100763,798647,37.0,44.5
131,2020-03-10,1,0,2020-05-19,20129,1109,42101,528,1569657,287348,473736,152389,257222,11796.782748,1584064,0.8240513828470001,0.154974736375,24.3,346267,207563,1575522,34.3,28.6
132,2020-03-10,1,0,2020-05-19,8078,928,26125,409,1241860,273867,411569,182537,260568,1450.2364112,1257584,0.5171103120220001,0.435921327393,8.2,269153,198882,1250843,40.9,46.4
133,2020-03-10,1,0,2020-05-19,19292,2275,26163,586,1763822,362535,503375,177211,236937,2859.4342735,1749343,0.667795473596,0.295193758463,21.7,420346,258954,1761382,37.9,23.3
134,2020-03-10,1,0,2020-05-19,919,42,27003,35,344861,63313,70006,108166,49427,845.85743528,356921,0.410133417353,0.507056561135,5.6,83783,45250,347431,38.4,29.7
135,2020-03-10,2,0,2020-05-19,4000,247,34005,82,449192,98530,121868,98526,81719,557.17907045,445349,0.555731634767,0.407917410302,6.2,94955,72612,446367,41.5,37.5
136,2020-03-10,2,0,2020-05-19,1527,48,51107,33,374558,46809,88973,94986,66466,801.79464032,413538,0.554234044324,0.386281308074,3.6,110986,33265,385143,36.0,60.8
137,2020-03-10,1,0,2020-05-19,426,15,53057,18,121725,31915,40913,10286,12078,74.675423726,129205,0.475570389014,0.443727088691,9.7,27526,24374,123907,41.5,26.3
138,2020-03-10,1,0,2020-05-19,359,36,53073,24,212738,47353,88867,8039,4827,108.75731788,229247,0.5488851722829999,0.3718895244080001,14.9,42957,35496,216812,37.0,33.9
139,2020-03-10,1,0,2020-05-19,224,3,49057,64,244101,38967,75108,33475,26163,451.5456437,260213,0.272396901204,0.472026126137,9.4,71269,27885,247731,32.5,23.8
140,2020-03-10,1,0,2020-05-19,43,2,46005,6,18163,4501,8162,939,982,14.660260714000001,18453,0.282339043119,0.657855877141,12.9,4869,3041,18374,37.3,20.1
141,2020-03-10,1,0,2020-05-19,10,0,46023,0,9319,2183,3510,276,595,8.4666060845,9292,0.27235653947,0.693853772211,20.9,2767,1698,9344,35.9,17.5
142,2020-03-10,2,1,2020-05-19,9,1,46035,8,19753,4889,9061,1083,2388,45.393685401999996,19775,0.296151911469,0.648516096579,12.0,4517,3525,19901,38.8,23.9
143,2020-03-10,1,0,2020-05-19,3165,40,46099,54,183660,32585,87284,9996,27019,239.37250132,193134,0.3911171307,0.537201487293,9.6,47291,23211,186749,34.7,31.9
144,2020-03-10,1,0,2020-05-19,57,2,47163,103,156519,44012,45185,19625,28710,383.02309985,158348,0.198964249916,0.761393250919,16.5,30748,33114,156734,44.9,22.8
145,2020-03-10,2,0,2020-05-19,7904,191,48113,614,2552213,377154,972140,200152,520617,3021.0825913000012,2635516,0.611264385885,0.348851460536,14.2,687769,263792,2586552,33.3,30.7
146,2020-03-10,1,0,2020-05-19,848,18,48339,97,535187,96577,127445,99131,50804,582.74698473,607391,0.225247805085,0.7395399910379999,9.3,147644,69473,554445,36.9,34.7
147,2020-03-10,1,0,2020-05-19,4643,130,48439,409,1983675,306980,707436,204110,196723,2434.4302532,2102515,0.434500748304,0.521524307819,12.1,540281,216591,2019977,34.3,31.5
148,2020-03-10,1,0,2020-05-19,850,28,6111,139,847834,167777,302890,87247,43603,459.16825553,846006,0.553749663019,0.385746440995,9.1,199599,123435,848112,37.9,33.1
149,2020-03-10,1,0,2020-05-19,179,6,8051,0,16215,2905,8517,337,1083,5.390934306799999,17462,0.54500483923,0.349499946231,10.4,2929,2044,16537,34.5,55.3
150,2020-03-10,1,0,2020-05-19,339,7,12001,210,259865,47766,106996,7691,23134,307.28851819,269043,0.589625040093,0.364430049989,19.8,47370,34804,263148,31.3,42.5
151,2020-03-10,1,0,2020-05-19,709,33,6077,121,724153,123774,196956,74539,45166,547.38885704,762148,0.53880957953,0.409944373436,14.3,201506,89461,732212,34.1,18.4
152,2020-03-10,3,0,2020-05-19,1030,40,12021,73,356774,132129,123480,14503,23366,192.74608394,384902,0.35741473857100003,0.617559602358,10.6,64368,112279,363922,50.3,36.2
