,icu_beds,commuting_in,commuting_out,commuting_within,density,percent_democrat,percent_in_poverty,pop_under18,pop_over65,median_age,percent_with_bachelors,median_income,pop_2019,cases_60days,cases_70days,cases_80days
1413,111,25120,9962,82990,103.07635096,0.397058636923,10.4,38853,19598,32.2,39.4,63885,181923,1106.0,1580.0,1834.0
1416,5,5531,8284,9848,67.244018547,0.220208845209,9.9,8064,6754,41.9,16.5,57709,39859,78.0,82.0,88.0
1419,10,5531,9533,21603,77.914576302,0.414312120412,16.2,16032,13552,42.9,23.2,51985,75432,1217.0,1338.0,1409.0
1422,36,21131,23922,50464,316.57176203,0.302761157977,9.5,40440,26249,40.4,27.5,60044,181806,181.0,230.0,301.0
1425,6,4460,8856,14279,85.458901208,0.1758,9.5,12420,9780,41.8,14.7,53853,51113,111.0,156.0,190.0
1428,67,7544,6031,148796,83.859255658,0.555011266237,18.1,69280,67440,39.4,29.6,53161,382067,64.0,67.0,80.0
1431,0,1088,3594,3171,28.81316326,0.211314213678,14.7,3941,3060,41.9,16.1,46949,16376,29.0,29.0,32.0
1434,27,26862,46779,68862,1003.8327763,0.399468037947,7.5,47244,43492,43.7,27.9,65883,230149,219.0,282.0,325.0
1437,67,29182,28166,72677,555.73386662,0.498001364922,16.5,46852,46245,43.5,24.1,48010,228683,1199.0,1347.0,1486.0
1440,274,144093,85242,235620,1162.931543,0.5567616463139999,13.0,164975,98843,36.7,30.9,55864,703011,432.0,528.0,686.0
1443,12,23281,43766,34632,243.25640923,0.45519843615,11.1,31723,25539,39.9,30.1,71084,158714,438.0,466.0,497.0
1446,8,27509,53064,36317,786.03485862,0.356179529705,5.7,49560,19582,34.4,40.1,79358,187196,331.0,476.0,753.0
1449,0,454,1044,3157,7.5168493371,0.176065008619,13.4,2034,2043,46.9,21.7,47906,8332,8.0,9.0,9.0
1452,14,40948,75338,63700,905.76706199,0.479485215481,7.6,65122,43423,40.3,31.9,81315,291636,1811.0,2103.0,2310.0
1455,25,18630,5019,30450,196.00416998,0.292718928639,8.9,17356,11811,38.5,32.9,62817,76745,55.0,60.0,57.0
1458,110,14188,8973,79190,263.23792216,0.492990205493,16.8,35916,20163,30.8,46.0,55136,180463,100.0,123.0,173.0
1461,21,2883,3332,31318,77.556663383,0.473817746141,13.2,14535,12853,39.3,22.9,55517,80485,91.0,95.0,97.0
1464,6,892,937,13039,14.858065134,0.699973460722,21.4,6053,7976,48.2,28.0,38405,32723,22.0,24.0,31.0
1467,20,15098,30372,21965,295.24915188,0.35074934973800004,6.7,21712,18236,44.0,31.8,77571,105267,1077.0,1136.0,1189.0
1470,20,14237,34187,44988,377.09710119,0.382420669062,11.2,32598,34142,45.1,23.7,54823,163929,518.0,570.0,598.0
1473,0,12415,17143,18701,76.693229865,0.380829770696,13.4,29917,7860,30.0,17.3,60483,95222,564.0,649.0,855.0
1479,53,81929,75006,86422,1415.7121477,0.577991677266,9.0,75193,47493,38.5,42.9,68581,330818,1226.0,1546.0,1983.0
1482,0,9551,7375,2867,84.641503328,0.350610193826,6.7,4146,4686,48.3,39.2,89331,23753,87.0,93.0,105.0
1488,4,1284,1091,14024,4.2072108313,0.173226732267,10.2,6008,6236,44.4,32.1,58873,29194,1.0,2.0,2.0
1491,15,4906,2164,45418,37.045810193,0.289698335211,9.1,22772,14718,36.9,28.7,63839,99500,181.0,183.0,188.0
1494,27,16754,35639,43099,623.74150741,0.471744147709,12.0,39717,22280,38.2,25.7,65013,169561,820.0,1008.0,1267.0
1497,5,6909,14615,11227,273.03969604,0.393968425876,9.7,12716,8477,40.7,30.8,75027,57146,98.0,161.0,203.0
1500,6,3967,9263,12626,69.582170877,0.427557892462,13.7,12185,13868,45.6,18.0,58239,66768,30.0,34.0,37.0
1503,48,15030,17891,40035,198.69615004,0.28784779500700003,17.9,33823,21359,38.8,20.8,51771,143617,284.0,296.0,314.0
1506,24,25830,45082,65998,412.7959259,0.363500110205,9.8,63395,35425,38.5,32.0,64904,280979,290.0,352.0,446.0
1509,211,75200,37877,153326,548.98298233,0.639911452184,16.7,88281,48691,33.2,37.7,52611,415759,1222.0,1386.0,1666.0
1512,0,1252,4456,1761,38.181620933000005,0.472527472527,18.4,2903,3182,46.0,19.2,45385,14553,9.0,10.0,19.0
1515,267,9143,7920,131247,346.77211360000007,0.285090760759,17.6,72603,36090,30.7,29.1,50377,310569,616.0,674.0,734.0
1518,18,12728,35338,37900,197.53540232,0.256834327033,8.8,45513,20837,36.1,23.1,76792,184826,247.0,289.0,361.0
1521,48,11912,7969,88215,391.05281168,0.34891574292800004,23.2,45169,18907,26.2,40.8,50113,229211,318.0,444.0,565.0
1524,159,9746,18133,208024,593.05632145,0.380244769149,11.0,106811,133083,47.2,29.3,57612,601942,359.0,399.0,439.0
1527,38,13495,21284,67155,250.20481554,0.371680495965,12.3,41631,57228,49.0,26.5,59821,234225,3658.0,4132.0,4322.0
1530,145,25928,49657,191505,403.20522157,0.412862719675,15.7,149878,133538,40.3,20.0,51354,724777,722.0,891.0,1127.0
1533,12,3636,2805,28352,11.148081274,0.43384450281,28.5,29680,18351,36.4,15.8,40650,110924,1238.0,1550.0,2104.0
1539,6,6478,23213,13122,141.72690747,0.146295173577,12.0,19998,13891,40.3,16.5,57284,89512,90.0,106.0,145.0
1542,100,43165,9554,152471,465.21086205,0.391508280399,11.9,79195,51308,38.5,41.7,63755,372909,275.0,309.0,380.0
1545,57,24161,12477,74626,362.73502365,0.333123912623,20.0,49001,28457,36.0,22.3,45355,208080,215.0,237.0,268.0
1548,144,21087,18316,301473,110.6947351,0.397202893558,20.5,257750,92005,31.5,16.1,51586,900202,1483.0,1890.0,2544.0
1551,27,18021,19931,159164,132.2662889,0.669587074351,13.3,114125,55515,34.1,24.5,69665,434061,321.0,429.0,640.0
1554,264,56855,15991,64662,624.41570879,0.6498425659089999,21.9,46913,26601,33.9,21.3,40168,202518,490.0,553.0,619.0
1557,14,12475,41851,59840,209.51068713,0.489882592443,9.0,39099,39118,44.9,31.4,65984,207641,288.0,359.0,408.0
1560,6,3776,9317,15056,27.913480483,0.39145815913,16.7,10900,11733,46.6,19.0,44243,57975,17.0,22.0,32.0
1563,16,14662,11493,45061,140.98712851,0.443885513417,11.2,23825,22931,44.3,27.1,52154,122302,120.0,128.0,129.0
1566,13,2639,4859,9870,68.987873431,0.305552572226,24.6,11209,7971,39.5,11.7,36850,46194,363.0,400.0,457.0
1569,34,19252,8279,36398,360.24224386,0.2610170608,14.2,27461,13991,36.0,15.7,47074,104628,180.0,303.0,438.0
1572,0,7920,9420,8841,76.400468118,0.440214357486,8.7,7432,5090,36.3,32.6,66209,34274,33.0,71.0,88.0
1575,0,1441,1799,8251,27.631827385999998,0.261056452383,13.7,4308,4481,45.3,20.1,50821,19683,117.0,126.0,135.0
1578,51,12521,16641,47593,225.83595663,0.370793623413,13.7,34714,26583,41.2,21.4,52047,158510,414.0,438.0,482.0
1581,4,3056,1755,8836,47.898433306,0.283821534041,11.4,5171,4925,44.7,24.2,51292,24668,99.0,100.0,131.0
1584,7,1799,7478,3373,59.19997401,0.17898089172000006,8.6,5416,3898,42.0,19.8,62251,22758,110.0,112.0,123.0
1587,24,878,1381,78955,50.022473825,0.636059508209,15.6,43220,38213,42.3,29.5,56383,201513,76.0,81.0,81.0
1590,4,4278,3253,12502,85.041109855,0.07656020909030001,23.9,10573,2484,23.4,36.4,41827,39907,19.0,21.0,27.0
1593,188,52847,63846,143588,973.34320163,0.5837590575639999,15.7,116340,76230,38.7,22.1,55280,485493,2840.0,3349.0,3911.0
1596,124,80483,24975,186369,966.32950896,0.523149562985,16.7,101410,58998,33.7,34.7,52945,440059,3009.0,3462.0,3874.0
1599,0,792,1422,1182,38.392804494,0.263955544329,14.5,1204,2023,48.9,15.9,48395,8210,14.0,14.0,15.0
1602,0,886,1623,2082,12.563443789,0.299813780261,9.7,1543,1566,45.4,15.4,54282,7152,4.0,7.0,9.0
1605,24,14234,4792,61105,231.94683615,0.506255832714,16.3,28858,20627,34.9,28.6,52320,131228,1571.0,1696.0,1788.0
1608,10,9446,16065,44266,268.25026837,0.6238518794969999,17.0,22238,13497,29.5,50.4,57120,122259,60.0,63.0,70.0
1611,10,2097,1181,14860,30.610846984000002,0.27367003367,11.6,10527,3614,31.9,17.6,56052,33619,1299.0,1607.0,1823.0
1614,38,10509,19874,37879,337.84492931,0.380174438108,14.9,30713,25265,41.1,18.6,50089,134083,139.0,231.0,336.0
1617,6,5477,9223,14226,126.45126569,0.235066877129,10.4,12169,9580,40.3,21.1,54362,53484,15.0,19.0,24.0
1620,0,4091,8936,7229,16.285476694,0.197915996655,8.1,6830,4727,37.7,26.3,68043,31364,40.0,59.0,60.0
1623,57,27681,10636,91593,1219.6196066,0.4618391164,15.3,42393,37427,38.7,39.3,53419,234473,120.0,164.0,252.0
1626,68,8592,9738,27553,144.59422488,0.33820634189300003,10.5,20362,22698,44.5,36.9,59471,100880,116.0,150.0,253.0
1629,10,8883,20241,15869,291.06950124,0.249334583893,10.3,17562,13761,43.2,21.4,62963,86111,48.0,61.0,101.0
1632,24,14929,8443,22718,73.734692899,0.412289611143,10.8,11956,13493,46.4,30.0,56694,63944,232.0,252.0,257.0
1635,0,5325,15270,12715,73.63618891600001,0.367751439668,11.4,11910,11288,44.0,20.4,55913,61204,219.0,228.0,240.0
1638,74,19538,37647,51997,631.14399141,0.32656632093800003,14.2,49469,33757,40.1,20.6,52798,224529,203.0,250.0,347.0
1641,142,83688,35632,196390,831.63473721,0.586896587289,15.4,117830,75740,37.1,35.3,52166,537174,846.0,1143.0,1574.0
1644,0,3987,13955,5830,141.58061619,0.53835378495,18.0,14850,4819,32.5,18.4,47892,55234,149.0,214.0,271.0
1647,8,9540,24117,25313,198.59524445,0.298633798634,8.0,20846,19596,43.6,22.4,62877,103009,189.0,236.0,269.0
1650,6,38442,55997,37292,472.01280004,0.395440604989,4.1,53232,25025,38.6,54.4,103536,209177,258.0,302.0,366.0
1653,12,7980,11024,15431,118.54863142,0.290974847937,11.1,14277,9536,39.6,13.6,55202,58266,41.0,55.0,62.0
1656,10,13301,20185,28424,263.18253318,0.249324810072,7.9,24304,18836,41.6,22.6,59922,106987,332.0,351.0,373.0
1659,10,6910,11703,18326,152.5541781,0.392229121931,6.9,11497,12642,47.1,32.4,64777,61303,53.0,57.0,67.0
1662,18,29199,25542,49685,162.28312683,0.490327144983,7.0,29286,25707,42.8,35.6,74351,151391,278.0,327.0,371.0
1665,64,27658,22893,101899,474.64082520000005,0.515160112731,12.8,58178,45459,41.5,27.4,60826,263670,1758.0,2087.0,2330.0
1668,39,41422,97716,98096,717.24099366,0.341957666919,5.7,92943,55482,38.2,37.8,82048,402022,701.0,755.0,838.0
1671,19,1591,736,16336,13.616300202,0.183616179661,10.1,8543,6471,40.3,22.1,56803,34914,44.0,47.0,49.0
1674,10,2459,2636,12794,55.679831279,0.24840570908000004,11.8,7533,5438,37.4,24.9,55167,31363,252.0,264.0,275.0
1680,0,360,716,1093,2.5713611478,0.279761904762,9.1,633,1319,54.0,19.3,59020,4416,5.0,5.0,5.0
1683,10,6495,2805,51101,86.571938376,0.358666783411,12.3,27777,14619,32.4,22.3,52798,109834,71.0,72.0,75.0
1686,0,6552,13541,15916,99.585045201,0.334087938016,12.5,11596,10713,40.8,25.4,61027,62914,110.0,118.0,121.0
1689,0,4122,4445,12933,20.55884778,0.448305590556,11.7,6325,8322,47.0,27.6,54376,36885,41.0,44.0,46.0
1692,7,4495,6876,14252,52.828329489,0.328106884558,15.1,10141,9540,44.7,18.3,50312,47207,117.0,125.0,133.0
1695,71,30293,48839,144733,491.78051037,0.427256812214,11.4,94216,69086,39.9,24.5,62519,421164,3677.0,3952.0,4184.0
1701,44,19564,16593,64124,120.22256331,0.327317409339,9.8,52052,27443,35.7,30.0,69212,204390,775.0,899.0,1076.0
1704,0,1020,2572,704,38.069761966,0.599198931909,12.3,1099,1602,50.3,13.3,56872,6963,22.0,27.0,27.0
1707,52,15522,6130,55322,261.23077678,0.516078681214,10.9,23640,18109,35.8,34.3,60619,118016,45.0,51.0,68.0
1710,12,20013,36572,34829,315.88521545,0.273509430003,4.5,30283,22636,42.9,30.7,75799,136034,148.0,212.0,277.0
1713,6,4218,668,13175,5.870628355700001,0.600607752957,6.3,4434,3135,39.3,57.4,99087,23464,100.0,100.0,100.0
1716,60,32169,12945,115760,499.04876688,0.418503964799,8.6,62619,36047,37.2,29.6,62097,264542,2096.0,2285.0,2374.0
1719,29,4743,5437,17692,140.24667584,0.204590078101,22.7,12439,12584,42.7,20.0,37860,58758,12.0,13.0,13.0
1722,14,3982,4975,49077,110.14476045,0.186878118119,12.9,37598,10808,25.1,37.8,60315,128289,63.0,89.0,709.0
1725,0,1449,3775,2263,41.025462569,0.63748458693,28.1,3601,3055,41.9,12.3,33199,16828,164.0,208.0,227.0
1728,0,3553,12779,5410,134.42534173,0.245023067686,10.3,9074,5654,40.4,19.6,63241,40667,88.0,114.0,141.0
1731,51,21872,19131,76623,457.0334112,0.502170527545,14.2,42997,40774,42.3,27.7,52872,209674,1344.0,1511.0,1579.0
1734,60,33481,68027,145129,496.54394588,0.3319074786,8.8,98850,73958,41.0,24.2,65238,449058,851.0,956.0,1049.0
1737,3,1252,3134,5672,20.783549883,0.135526468203,13.5,4720,4549,43.5,16.7,51128,20154,8.0,11.0,19.0
1740,54,12429,6309,99509,247.43116597,0.34561369880500004,18.9,61723,34440,33.2,23.7,48858,256623,98.0,113.0,129.0
1743,0,3025,10597,8673,38.920780674,0.269040553907,12.3,11519,7944,39.3,19.8,59304,51584,50.0,68.0,216.0
1746,56,3967,3746,92821,82.300711375,0.7437881372319999,25.7,91335,24386,28.6,18.4,44919,276652,477.0,521.0,594.0
1749,24,7718,3347,56671,210.69366196,0.230844301427,17.8,29751,18676,34.3,23.0,47477,132230,78.0,84.0,87.0
1752,90,48408,110830,119409,528.06043458,0.420159182941,6.4,138907,60686,36.1,41.1,87817,590551,481.0,588.0,684.0
1755,0,4528,7234,14049,9.754606799,0.109620497945,7.3,17080,6615,32.5,23.3,62689,56046,25.0,26.0,49.0
1758,0,4808,9462,11331,58.87860041,0.20717068548,16.4,12251,8610,38.5,14.5,49788,54406,42.0,44.0,63.0
1761,8,6848,16455,14194,150.76809409,0.245322091561,10.6,17073,9753,39.1,18.6,66006,71813,274.0,426.0,545.0
1764,38,14095,38720,42078,361.28118154,0.255388294879,8.9,43041,27276,39.6,26.9,66171,191283,739.0,843.0,967.0
1767,0,915,2350,1691,18.499476747,0.224594992636,22.0,2809,2072,40.9,11.0,39687,11973,36.0,49.0,51.0
1770,60,26408,7476,130380,440.22546489,0.605140694422,20.7,54014,35700,30.7,45.7,51046,293582,279.0,376.0,437.0
1773,0,524,288,4506,4.2374414873,0.15030017152699998,12.1,2701,1829,38.4,22.1,53253,10019,12.0,19.0,44.0
1776,24,29896,44932,41715,439.84321801,0.512499717201,6.7,30095,31052,45.4,41.5,88709,162436,909.0,1061.0,1174.0
1779,29,13367,22059,53645,308.47687444,0.449099699675,13.8,40611,28461,37.6,23.6,54980,180786,1197.0,1374.0,1496.0
1782,36,16117,14949,49744,419.80001952,0.377105055491,12.1,39001,18488,35.3,27.3,60728,157863,314.0,362.0,399.0
1785,0,11645,7500,14014,237.68129645,0.295254993542,9.3,8852,67271,67.0,31.1,55324,132420,251.0,253.0,261.0
1788,28,8433,7835,16944,71.377063157,0.204445901249,11.4,13399,12784,43.7,28.4,60973,74071,77.0,109.0,130.0
1791,0,12213,43364,19068,540.25162678,0.29386197227,7.1,37822,18706,36.6,35.1,82184,156714,205.0,237.0,274.0
1794,0,822,1064,2988,16.577959308,0.364113906552,21.7,2598,2014,40.2,15.2,37729,10763,15.0,18.0,28.0
1797,25,8345,17665,38558,194.46828522,0.313281856613,15.4,28726,14488,32.5,30.0,53882,126007,93.0,100.0,110.0
1800,61,19746,18631,82877,253.92016704,0.413240694535,15.2,56586,25435,31.8,32.8,50893,239187,143.0,326.0,913.0
1803,41,4615,5099,58932,7.7068092455,0.563288744463,15.9,29647,16259,30.6,35.6,60187,143476,866.0,1066.0,1267.0
1806,24,10880,9682,36659,187.50731202,0.278558763931,19.5,25196,19386,39.7,18.0,45400,113605,130.0,152.0,182.0
1809,14,10718,10987,18728,108.54834994,0.364501174062,19.3,17348,13757,41.1,14.3,41630,79978,78.0,96.0,132.0
1815,14,3018,2513,33177,24.740481573,0.603847835592,17.5,18891,17845,42.8,24.7,51386,86749,14.0,25.0,33.0
1818,6,7367,14388,22087,100.37204203,0.6415089372680001,10.6,12560,14365,46.1,37.2,58992,70180,308.0,317.0,338.0
1821,51,9512,6888,63935,44.78633268300001,0.409233684001,14.7,28036,26437,42.1,27.1,47840,152148,93.0,99.0,101.0
1824,8,2160,2052,9653,34.937106621,0.6554438469330001,29.4,8145,4739,35.2,23.8,33116,30628,129.0,149.0,170.0
1827,10,2342,1819,6611,40.04425448,0.7156642728899999,35.9,6538,3358,34.2,17.1,29380,22124,76.0,113.0,132.0
1830,4,7207,10875,22012,135.06823581,0.448117453518,9.6,14497,9708,36.5,27.5,67024,66972,240.0,411.0,565.0
1833,44,19275,46954,34446,388.28481855,0.310705694917,9.0,46078,21739,36.7,24.1,68126,184945,386.0,493.0,605.0
1836,7,27992,22854,25233,148.73165309,0.407520866631,9.4,26273,12925,37.0,47.7,75740,106272,533.0,687.0,788.0
1839,25,20836,27885,25933,317.30135426,0.367701158422,11.2,26465,17343,38.9,20.9,56774,118302,412.0,478.0,553.0
1842,20,1464,3467,5662,107.44071773,0.236306400839,14.5,5162,4477,42.6,11.6,47737,23102,71.0,107.0,123.0
1845,0,2438,6329,5801,73.646318083,0.212685560054,14.8,6509,4345,39.7,11.1,51560,27735,118.0,130.0,134.0
1848,21,10142,20457,33193,286.70778078,0.346533730898,17.0,28419,22817,40.3,18.0,49522,129569,552.0,591.0,613.0
1851,26,9225,9378,19523,158.48353042,0.271752275476,14.4,14744,12186,40.9,22.6,46187,66597,52.0,57.0,76.0
1854,0,3262,2919,4070,24.684183229000002,0.196041214751,7.4,3059,2731,43.4,20.6,66937,13887,17.0,18.0,20.0
1857,30,5078,4419,31190,45.208745418999996,0.214592543818,13.6,23241,12453,34.7,20.6,51594,86878,318.0,404.0,445.0
1860,21,9182,5598,19364,97.246239961,0.474070749521,25.7,10650,8355,31.6,36.0,41445,56750,181.0,242.0,300.0
1863,56,8197,11766,36887,162.39877206,0.406134547642,16.2,25959,17609,37.6,21.0,53884,109862,893.0,1124.0,1211.0
1866,0,14718,43054,17188,402.79407915,0.460336514809,4.2,36342,11902,34.9,35.4,93345,128990,563.0,769.0,869.0
1869,13,10603,14773,35616,95.72946505899999,0.3978987347,13.6,24035,19959,41.8,17.9,54063,108669,120.0,140.0,160.0
1872,58,29580,46894,75928,367.52447012,0.393551312724,13.8,58568,43747,40.1,25.8,60121,262966,490.0,551.0,636.0
1875,10,14830,4304,17986,245.33658255,0.449538590604,12.9,10553,8442,40.5,29.8,53134,50991,20.0,25.0,77.0
1878,54,33085,47335,30670,1041.8475561,0.336735971073,10.4,39638,22334,37.0,30.4,64644,166998,444.0,543.0,671.0
1881,52,14638,7024,47980,245.32233319,0.350421348315,16.5,28750,15710,32.8,30.6,53478,132896,776.0,950.0,1112.0
1884,10,6871,14174,20072,176.42879682,0.339129262704,10.6,19138,10829,37.6,31.7,70807,81758,958.0,1074.0,1100.0
1887,0,2287,1851,10139,28.979356885,0.466969778016,9.8,3758,3957,41.3,29.7,61807,19991,18.0,23.0,24.0
1890,0,2427,4850,6201,38.615577756,0.363821138211,8.8,5516,4126,40.8,21.5,65849,21965,172.0,185.0,199.0
1893,0,3079,6076,7666,49.852132934,0.29803519293,11.8,5655,6359,45.1,22.3,57757,30999,48.0,49.0,54.0
1896,8,8311,20111,22166,148.91272452,0.33821520301700003,9.6,19705,16103,43.6,22.3,61118,89918,97.0,112.0,124.0
1899,0,2309,13245,6800,64.544592052,0.223717542749,10.4,10962,6791,37.8,27.6,69114,48011,18.0,19.0,21.0
1902,0,4428,10492,5969,70.91780927100001,0.17180355128,9.1,9954,5812,38.4,24.2,65831,40474,86.0,103.0,109.0
1905,8,5112,4075,18594,124.00494179,0.227260446686,13.0,12363,9881,40.2,28.6,53992,51527,303.0,314.0,340.0
1908,9,3569,11590,12298,50.733254135,0.174237318596,10.1,13325,8496,38.9,19.7,56489,55834,64.0,83.0,115.0
1911,297,192548,71377,304943,2016.4246124,0.525536708861,15.4,187979,119690,36.8,37.1,57300,817473,2082.0,2555.0,2860.0
1914,4,2710,2281,11660,29.332133511,0.199601177476,18.2,7344,3931,31.0,25.5,49577,29003,12.0,13.0,34.0
1917,196,74202,52927,180214,1152.0393866,0.471473793877,16.9,118680,91990,39.3,27.4,51071,531687,520.0,637.0,791.0
1920,37,11462,9660,40058,244.65823607,0.290831612051,14.4,26365,22951,41.3,17.8,49668,121154,161.0,193.0,231.0
1923,0,413,1197,1459,5.2308066018,0.182757507265,10.3,1148,1347,46.9,27.0,52840,6237,4.0,4.0,4.0
1926,22,1415,1931,40745,20.405340238,0.286776178918,11.2,21826,17851,42.1,29.9,54382,103806,37.0,37.0,37.0
1929,0,837,974,2750,2.3967733878,0.249575191164,9.2,1276,2283,52.6,28.9,53031,8600,8.0,8.0,8.0
1932,0,834,299,3204,4.673400701,0.431440045898,25.4,3708,1211,30.3,17.1,40179,11004,7.0,7.0,7.0
1935,0,1136,837,2603,17.114383308,0.252059308072,12.7,1468,1357,39.3,28.1,52069,6972,3.0,3.0,4.0
1938,7,2761,4490,21210,3.0732329381,0.183337826908,8.3,14389,5477,33.9,18.2,79134,52778,21.0,24.0,27.0
1941,0,777,2364,2819,22.479955520999997,0.8261178140530001,33.2,4729,2557,35.1,9.9,26449,17010,298.0,385.0,454.0
1944,14,7976,5615,20411,98.009284839,0.274265486726,19.9,17475,11006,37.2,20.5,42435,68098,342.0,566.0,729.0
1947,0,4726,3542,7031,46.163081768999994,0.405290361812,25.5,7549,4149,36.5,12.7,38034,28124,532.0,630.0,671.0
1950,0,828,3212,1948,35.367668867,0.418852597732,23.4,3460,2732,39.9,13.4,33566,14286,46.0,52.0,74.0
1953,0,1070,1436,1412,12.726618613,0.677048394825,30.3,1931,1480,37.5,13.8,29900,8630,78.0,85.0,85.0
1956,0,1311,2419,4502,29.567667395,0.430737658192,21.0,4255,3519,41.6,16.6,39498,17955,83.0,105.0,128.0
1959,0,1857,3142,5084,32.189892424,0.5278002426199999,37.1,6791,3629,35.7,14.6,33111,29690,190.0,227.0,301.0
1962,8,1078,2479,7247,5.7771715417,0.679891202401,28.2,5651,5536,43.2,22.7,35292,27277,10.0,14.0,15.0
1965,16,9695,10047,32285,365.9844659,0.3850335917310001,10.3,16613,23572,49.3,31.5,62175,92039,506.0,602.0,646.0
1968,10,11616,41538,32414,270.81851695,0.32672623883,5.2,29238,22889,44.5,34.9,92284,140488,1061.0,1104.0,1140.0
1971,19,880,1801,25556,44.476761586,0.459420948916,13.3,12968,20891,50.5,26.1,57183,77331,21.0,25.0,27.0
1974,46,18148,22227,22493,382.89278435,0.377885624344,4.2,19128,16411,43.9,48.4,83014,89221,122.0,156.0,192.0
1977,10,9992,7284,24807,77.496909458,0.470324604648,8.6,14578,11182,41.2,23.8,57256,64442,77.0,78.0,83.0
1980,48,16933,10037,43246,164.04190404,0.504271449704,12.9,21031,15201,34.4,31.8,60111,104646,70.0,99.0,123.0
1983,16,13091,18983,31972,187.00830568,0.369903104607,10.1,22059,16928,39.7,28.3,64234,103868,284.0,372.0,435.0
1986,0,6453,17891,8553,157.37345546,0.364523818533,5.3,12266,6933,40.1,28.7,72645,50089,58.0,74.0,80.0
1989,10,7025,14829,14325,75.151541441,0.461808993751,7.6,12467,9671,42.4,23.2,65435,57532,36.0,42.0,46.0
1992,119,17925,5903,41543,293.29254704,0.407690370246,18.3,17152,12278,31.2,41.3,51070,105612,116.0,131.0,141.0
1995,0,639,902,2117,16.320465234,0.216512702079,13.5,1159,1731,48.7,17.5,48070,6839,4.0,4.0,6.0
1998,0,829,2903,3846,10.174075545,0.5218628174059999,14.2,2629,3891,52.0,30.5,53637,15036,3.0,3.0,3.0
2001,0,13770,42234,24782,286.33614908,0.384387557434,11.0,38730,20356,36.5,27.9,65468,162809,114.0,150.0,206.0
2004,0,2319,4454,3537,45.19917996,0.328192545858,14.9,4462,3818,41.9,16.1,46019,20473,123.0,139.0,152.0
2007,6,1879,5265,3794,49.909760456,0.34613950018600004,19.1,5164,5066,43.8,15.9,42412,24527,35.0,37.0,51.0
2010,64,29193,42843,212078,578.1440906,0.37660724814,7.9,128151,92310,38.6,26.9,66270,545724,2552.0,3056.0,3461.0
2013,18,14459,23703,40007,391.89646274,0.303194920721,10.0,31808,26068,41.2,20.3,61087,141793,877.0,944.0,1062.0
2016,51,34300,59974,110258,339.38250510000006,0.327423792231,9.2,65987,76650,46.8,28.5,58398,348899,432.0,443.0,459.0
2019,0,2941,11047,10360,67.163501378,0.128728848725,15.6,12668,10938,42.9,17.1,51152,56590,22.0,30.0,39.0
2022,12,3426,3233,16604,88.825806199,0.19780971937,14.4,10569,17521,50.7,18.3,46527,60520,93.0,111.0,125.0
2025,0,3113,2225,5554,22.17879403,0.17018469657000002,18.4,4625,3930,40.9,12.8,49208,20160,17.0,17.0,18.0
2028,0,566,551,1403,6.110289722999999,0.216509775525,10.1,1506,581,32.4,12.4,61987,4797,2.0,22.0,27.0
2031,35,12506,36874,31496,242.49884518,0.191653570805,10.7,42718,22330,36.8,18.3,62635,175817,148.0,192.0,216.0
2034,10,3723,3460,12359,72.52639621600001,0.211813393529,18.4,9012,6341,40.1,16.9,44302,37159,44.0,50.0,61.0
2037,21,10133,31445,51250,387.62353335,0.378609588324,12.0,52952,17496,30.6,27.2,56102,208993,213.0,261.0,294.0
2040,104,9524,13180,132877,474.58866969,0.646148315978,27.9,131067,54181,31.5,17.3,38106,423163,619.0,731.0,892.0
2043,76,23015,15461,40656,396.25984285,0.263160025096,14.9,24697,22227,39.9,32.4,49242,129375,66.0,75.0,86.0
2046,12,16674,31245,27057,253.30079531,0.25505454287,7.8,31809,20031,40.2,30.6,76507,144657,327.0,387.0,475.0
2049,44,7121,20626,36359,410.01303591,0.338929248599,14.1,33900,50317,48.9,17.5,45884,193920,110.0,113.0,125.0
2052,7,3586,4043,11356,50.55019229,0.303995808925,23.5,9033,8981,41.6,13.4,39545,46414,131.0,241.0,308.0
2055,74,22509,20411,39364,296.0539284,0.35173370966,10.7,26227,47411,51.9,33.0,61592,161000,371.0,557.0,907.0
2058,40,9340,9361,42648,318.07512707,0.362929772082,10.7,25389,47735,52.9,28.3,58228,159923,106.0,120.0,164.0
2061,6,1221,1357,11731,22.700768731,0.263122476447,12.2,7419,4320,36.3,17.6,55387,29068,565.0,620.0,644.0
2064,16,17893,44209,31771,367.29661189,0.498903579909,8.0,27005,22405,37.5,41.2,89584,150721,735.0,822.0,864.0
2067,6,12241,26580,30307,227.67698741,0.429481490247,11.7,23519,18257,41.3,24.1,65182,116782,322.0,375.0,420.0
2070,0,564,839,7255,8.5212337515,0.389874309879,7.9,2647,2423,43.5,37.8,69214,15734,5.0,10.0,15.0
2073,24,8545,2914,32462,203.29351446,0.344819482389,16.6,18920,15794,41.0,29.6,53906,85292,77.0,112.0,155.0
2076,16,4242,2823,13845,58.89289941,0.346410941999,24.6,11728,7984,38.3,15.6,42114,47546,95.0,104.0,109.0
2079,0,4801,6909,4475,183.29249658,0.475091130012,24.0,5796,4070,36.9,19.4,46525,27546,69.0,70.0,78.0
2082,16,21381,20905,15750,700.17769965,0.61736146213,13.2,22563,11956,37.7,26.5,59673,90896,250.0,278.0,308.0
