,icu_beds,commuting_in,commuting_out,commuting_within,density,percent_democrat,percent_in_poverty,pop_under18,pop_over65,median_age,percent_with_bachelors,median_income,pop_2019,cases_60days,cases_70days,cases_80days
141,8,5510,8969,11696,70.784131107,0.28607198748,13.0,8784,11809,48.1,20.4,53602,51361,109.0,107.0,118.0
144,4,5570,17017,11803,109.23828497,0.536156601842,9.3,14350,16306,46.7,41.3,73703,74470,403.0,495.0,588.0
147,100,75980,124591,138021,3083.2498462,0.5939255420740001,8.8,124912,88412,39.0,38.3,71961,566747,4326.0,5409.0,6234.0
150,379,85413,23216,274047,1142.9119618,0.355548615533,14.1,163587,87684,35.5,31.2,55796,651552,645.0,752.0,926.0
153,39,31002,58448,84101,1878.3505416,0.511961143429,13.9,90065,49645,36.1,40.6,88960,325789,12144.0,12637.0,12996.0
156,199,75864,114556,120977,2288.1000494000004,0.645876146019,12.9,116637,75995,38.7,31.8,67135,506471,4251.0,5255.0,6103.0
159,221,81036,21435,160740,448.18214778,0.506386124538,14.2,78615,60929,37.6,42.8,62958,411406,463.0,501.0,561.0
162,189,63098,109312,263500,542.53805418,0.496931108025,8.7,203938,113665,36.1,26.4,75022,904980,1558.0,1772.0,1880.0
165,135,180547,118682,143064,3614.7495441,0.657335200865,14.6,126490,74248,34.9,41.9,62937,550321,583.0,1287.0,2437.0
168,6,1326,1783,9318,17.863595903,0.624676616915,12.7,3926,10559,57.9,41.8,55893,32221,28.0,29.0,30.0
171,90,21720,67262,129918,776.85533336,0.463250316676,8.8,114644,67720,38.2,29.8,73971,488241,368.0,401.0,427.0
174,32,2954,3587,53020,73.145411344,0.16667826208,9.7,43680,32828,36.4,27.7,57069,177556,85.0,165.0,274.0
177,22,34746,68831,79324,1188.6425946,0.215696391206,5.7,111690,32621,30.8,37.5,84381,355481,302.0,354.0,414.0
180,10,5901,12433,13630,91.590862268,0.356467532468,14.5,15016,11340,41.7,19.9,52270,66551,247.0,261.0,300.0
183,22,17022,65672,66064,86.24393453399998,0.380971163584,12.9,98104,80907,38.9,19.0,58848,462789,478.0,670.0,764.0
186,14,46807,32756,57362,217.29866745,0.680718250598,20.1,45919,25441,31.0,41.6,67804,220500,172.0,182.0,198.0
189,227,280068,132233,210947,4743.9552681999985,0.751690767184,11.7,139801,78751,34.4,47.9,68069,727211,3546.0,4452.0,5216.0
192,260,53687,23461,130876,1139.3160414,0.512636652169,14.6,67004,40073,34.4,42.9,55358,323152,298.0,532.0,619.0
195,526,205245,79876,349286,2432.3168245,0.589015980281,17.2,234068,113355,34.4,30.4,48409,964582,6469.0,8082.0,9287.0
198,0,3535,6548,9288,137.31381163,0.202217827377,21.8,10793,6270,37.1,12.2,43679,42613,61.0,78.0,97.0
201,148,4773,3507,481909,1622.7267286,0.614786319102,7.7,211029,166432,37.6,34.3,83695,974563,404.0,414.0,414.0
