,cases_60days,icu_beds,commuting_in,commuting_out,density,percent_democrat,percent_in_poverty,pop_over65,median_age,percent_with_bachelors,median_income,pop_2019
0,446,72,54070,130657,393.99641884,0.542633830486,7.5,99868,37.8,31.9,87096,822083
1,1194,1606,489235,317505,5450.3843595,0.743757709047,13.8,724730,36.6,38.0,63347,5150233
2,187,651,317959,235247,4005.6166459,0.509601544158,10.5,440488,37.8,39.9,89373,3175692
3,1216,2126,483659,334665,2473.5073498,0.714071865319,14.2,1299277,36.2,31.8,67986,10039107
4,299,1004,79525,40810,487.50954904,0.456797128628,12.3,615277,36.1,32.0,65234,4485414
5,890,313,240720,118222,1493.2046662,0.733480189578,7.3,246908,37.0,51.3,125933,1927852
6,1624,447,371770,123140,13801.32086,0.794723195076,17.5,91123,32.7,44.8,68743,803907
7,450,337,307615,114866,18795.223512,0.8553169356270001,10.1,131438,38.2,57.1,110601,881549
8,269,39,52187,15371,456.91738082,0.713768627206,10.8,67689,34.9,50.7,71789,546695
9,1696,570,72833,43025,792.91438376,0.560710165858,11.5,439595,35.6,38.1,78777,3338330
10,734,648,89600,45372,1615.3697451,0.544659220051,17.2,223805,33.4,27.6,54210,2003554
11,287,187,89375,36735,1750.3315009,0.479235278844,11.6,68170,34.5,38.9,64580,571327
12,52,32,1575,1146,37.99127697,0.582590082055,20.3,22647,38.0,29.8,49471,135558
13,954,396,120790,115932,1607.9350016,0.585567433683,14.3,202207,36.0,30.4,69475,1552058
14,330,113,18916,10084,296.38858142,0.416136023952,13.0,76680,37.5,30.4,59408,522798
15,199,92,31582,75812,544.70103033,0.622546726726,7.9,64390,37.9,26.2,82808,447643
16,2051,282,116130,38273,1563.7909353,0.428482871035,9.0,114930,32.6,34.5,73619,1160437
17,220,82,17940,37428,313.74622239,0.707222967207,9.9,91097,41.7,34.9,81002,494336
18,61,32,22730,15258,184.08552018,0.647661723566,8.8,25360,41.1,34.9,85624,137744
19,224,66,46516,43886,497.3152999,0.7881500077310001,6.6,54625,46.5,58.8,122933,258826
20,474,85,84068,83258,830.61446109,0.593956058164,8.8,73044,36.5,43.7,82819,601592
21,6056,450,247854,81556,1065.0027467,0.7214892465389999,9.2,274609,37.1,51.4,94822,2252782
22,580,90,19780,41125,542.27582552,0.398082018362,10.4,98927,48.0,29.3,59587,403253
23,1124,432,131673,74071,1440.3883066,0.514932646806,14.7,189676,36.9,32.7,58361,1471968
24,1624,282,237262,256588,2266.8038359,0.7931424750689999,9.0,215917,37.4,46.0,101744,1671329
25,6065,59,175598,196195,1784.3023037,0.612466844243,6.5,113400,40.9,53.0,100184,706775
26,51,54,20420,8356,52.607970005,0.569459702387,9.0,17342,42.9,40.5,65163,89886
27,86,28,6521,2866,47.841294958,0.382898874125,13.3,10324,37.1,28.6,57329,60760
28,2880,538,496827,123502,2019.9144194000005,0.692273308888,13.5,113402,35.4,51.4,70808,1063937
29,150,70,56930,60392,283.09018519,0.411666622379,7.1,71099,41.9,38.6,89175,398329
30,1197,131,162092,160184,1708.6818505,0.763759178293,6.8,117867,39.6,49.9,122930,766573
31,870,175,113096,88562,1331.7237897,0.583929619916,8.4,113852,36.0,51.8,80169,1111761
32,934,163,88933,212044,1608.6423209000006,0.689128114392,7.8,169782,39.4,41.7,101463,1153526
33,16185,147,177837,199786,4004.5571387,0.5449741512899999,6.8,155306,41.8,48.3,100181,932202
34,29884,179,152533,171896,2246.9377106,0.649051798386,8.3,158902,40.8,48.2,94521,967506
35,1183,128,57252,196726,941.89227299,0.516482503543,7.9,74854,36.0,46.1,92310,811688
36,123,20,9594,4605,26.427687744,0.392850629218,10.9,13790,40.2,26.7,57243,77200
37,36965,461,193326,276223,4767.2768183,0.512509818244,5.8,232164,41.6,45.2,115301,1356924
38,988,331,14255,15056,74.652791386,0.463642358158,10.4,69819,38.1,30.5,63636,471519
39,4411,535,21468,15993,287.22956575,0.523983533245,14.0,301845,37.1,23.9,57155,2266715
40,6967,918,461890,159527,2762.5492191,0.54223505185,16.5,452327,33.3,31.0,60241,4713325
41,431,28,58838,38360,409.03186847,0.296007640879,3.8,27140,39.2,59.0,115930,238412
42,15757,216,337744,268960,1970.6497636,0.663227499782,7.3,234069,38.5,55.2,100374,1611699
43,5411,150,179278,213804,2130.9408448,0.7586602988,6.9,151809,39.0,59.0,107758,1050688
44,158,16,7801,35923,182.05920707,0.210426388508,9.5,26193,39.7,28.1,69541,184313
45,1431,94,96322,149058,762.59696552,0.490697156002,7.0,88707,40.4,44.1,85550,582881
46,531,54,47964,89579,417.91548841,0.366530357865,2.6,35801,38.4,57.9,120670,351154
47,645,379,85413,23216,1142.9119618,0.355548615533,14.1,87684,35.5,31.2,55796,651552
48,403,4,5570,17017,109.23828497,0.536156601842,9.3,16306,46.7,41.3,73703,74470
49,12144,39,31002,58448,1878.3505416,0.511961143429,13.9,49645,36.1,40.6,88960,325789
